class,precision,recall,f1-score,support
ACC,0.7375,0.8194444444444444,0.7763157894736842,72.0
BLCA,0.3625,0.27884615384615385,0.31521739130434784,104.0
BRCA,0.6404255319148936,0.38295165394402036,0.47929936305732485,786.0
CESC,0.36,0.4064516129032258,0.38181818181818183,155.0
COAD,0.7476190476190476,0.7040358744394619,0.7251732101616628,223.0
DLBC,0.3333333333333333,0.39473684210526316,0.3614457831325301,38.0
GBMLGG,0.45161290322580644,0.24295010845986983,0.3159379407616361,461.0
HNSC,0.372972972972973,0.3094170403587444,0.3382352941176471,223.0
KIPAN,0.24277456647398843,0.16310679611650486,0.1951219512195122,515.0
KIRC,0.17613636363636365,0.18562874251497005,0.18075801749271136,334.0
LAML,0.3201320132013201,0.6139240506329114,0.420824295010846,158.0
LGG,0.40298507462686567,0.5895196506550219,0.4787234042553192,229.0
LIHC,0.3829787234042553,0.45569620253164556,0.4161849710982659,158.0
LUAD,0.4326241134751773,0.33152173913043476,0.37538461538461537,184.0
LUSC,0.5210526315789473,0.5561797752808989,0.5380434782608695,178.0
OV,0.34349030470914127,0.4901185770750988,0.40390879478827363,253.0
PAAD,0.25943396226415094,0.4583333333333333,0.3313253012048193,120.0
PCPG,0.22764227642276422,0.38095238095238093,0.28498727735368956,147.0
PRAD,0.28835978835978837,0.40977443609022557,0.3385093167701863,266.0
SARC,0.17674418604651163,0.1919191919191919,0.18401937046004843,198.0
SKCM,0.944206008583691,0.7971014492753623,0.8644400785854617,276.0
STES,0.587360594795539,0.41688654353562005,0.4876543209876543,379.0
TGCT,0.4722222222222222,0.6854838709677419,0.5592105263157895,124.0
THCA,0.8245614035087719,0.5802469135802469,0.6811594202898551,324.0
THYM,0.06725146198830409,0.23469387755102042,0.10454545454545454,98.0
UCEC,0.5608465608465608,0.5353535353535354,0.5478036175710594,198.0
