class,precision,recall,f1-score,support
ACC,0.7534246575342466,0.7638888888888888,0.7586206896551724,72.0
BLCA,0.4358974358974359,0.3269230769230769,0.37362637362637363,104.0
BRCA,0.6519823788546255,0.37659033078880405,0.4774193548387097,786.0
CESC,0.3567251461988304,0.3935483870967742,0.37423312883435583,155.0
COAD,0.7666666666666667,0.7219730941704036,0.74364896073903,223.0
DLBC,0.37209302325581395,0.42105263157894735,0.3950617283950617,38.0
GBMLGG,0.4555984555984556,0.2559652928416486,0.3277777777777778,461.0
HNSC,0.3783783783783784,0.31390134529147984,0.3431372549019608,223.0
KIPAN,0.2616279069767442,0.17475728155339806,0.20954598370197905,515.0
KIRC,0.18435754189944134,0.19760479041916168,0.1907514450867052,334.0
LAML,0.29874213836477986,0.6012658227848101,0.39915966386554624,158.0
LGG,0.4078549848942598,0.5895196506550219,0.48214285714285715,229.0
LIHC,0.40229885057471265,0.4430379746835443,0.42168674698795183,158.0
LUAD,0.46853146853146854,0.3641304347826087,0.40978593272171254,184.0
LUSC,0.5314285714285715,0.5224719101123596,0.5269121813031161,178.0
OV,0.339572192513369,0.5019762845849802,0.405103668261563,253.0
PAAD,0.29493087557603687,0.5333333333333333,0.3798219584569733,120.0
PCPG,0.23333333333333334,0.38095238095238093,0.28940568475452194,147.0
PRAD,0.272264631043257,0.40225563909774437,0.32473444613050073,266.0
SARC,0.18636363636363637,0.20707070707070707,0.19617224880382775,198.0
SKCM,0.9259259259259259,0.8152173913043478,0.8670520231213873,276.0
STES,0.5871886120996441,0.43535620052770446,0.5,379.0
TGCT,0.45652173913043476,0.6774193548387096,0.5454545454545454,124.0
THCA,0.8296943231441049,0.5864197530864198,0.6871609403254972,324.0
THYM,0.08201892744479496,0.2653061224489796,0.12530120481927712,98.0
UCEC,0.5775401069518716,0.5454545454545454,0.561038961038961,198.0
