class,precision,recall,f1-score,support
ACC,0.7777777777777778,0.7777777777777778,0.7777777777777778,72.0
BLCA,0.3855421686746988,0.3076923076923077,0.3422459893048128,104.0
BRCA,0.665158371040724,0.37404580152671757,0.4788273615635179,786.0
CESC,0.34615384615384615,0.4064516129032258,0.37388724035608306,155.0
COAD,0.7535545023696683,0.7130044843049327,0.7327188940092166,223.0
DLBC,0.38095238095238093,0.42105263157894735,0.4,38.0
GBMLGG,0.46215139442231074,0.25162689804772237,0.3258426966292135,461.0
HNSC,0.37566137566137564,0.3183856502242152,0.3446601941747573,223.0
KIPAN,0.25757575757575757,0.1650485436893204,0.20118343195266272,515.0
KIRC,0.1778975741239892,0.19760479041916168,0.18723404255319148,334.0
LAML,0.3111888111888112,0.5632911392405063,0.4009009009009009,158.0
LGG,0.40853658536585363,0.5851528384279476,0.48114901256732495,229.0
LIHC,0.3804347826086957,0.4430379746835443,0.4093567251461988,158.0
LUAD,0.4413793103448276,0.34782608695652173,0.3890577507598784,184.0
LUSC,0.5266272189349113,0.5,0.5129682997118156,178.0
OV,0.33421750663129973,0.4980237154150198,0.4,253.0
PAAD,0.3004484304932735,0.5583333333333333,0.39067055393586003,120.0
PCPG,0.2037037037037037,0.4489795918367347,0.2802547770700637,147.0
PRAD,0.27722772277227725,0.42105263157894735,0.33432835820895523,266.0
SARC,0.1703056768558952,0.19696969696969696,0.18266978922716628,198.0
SKCM,0.9218106995884774,0.8115942028985508,0.8631984585741811,276.0
STES,0.5833333333333334,0.44327176781002636,0.5037481259370314,379.0
TGCT,0.46994535519125685,0.6935483870967742,0.5602605863192183,124.0
THCA,0.8538812785388128,0.5771604938271605,0.6887661141804788,324.0
THYM,0.15853658536585366,0.3979591836734694,0.22674418604651161,98.0
UCEC,0.5777777777777777,0.5252525252525253,0.5502645502645502,198.0
