class,precision,recall,f1-score,support
ACC,0.725,0.8055555555555556,0.7631578947368421,72.0
BLCA,0.3614457831325301,0.28846153846153844,0.32085561497326204,104.0
BRCA,0.6541850220264317,0.37786259541984735,0.4790322580645161,786.0
CESC,0.3465909090909091,0.3935483870967742,0.3685800604229607,155.0
COAD,0.75,0.6860986547085202,0.7166276346604216,223.0
DLBC,0.32558139534883723,0.3684210526315789,0.345679012345679,38.0
GBMLGG,0.4393939393939394,0.25162689804772237,0.32,461.0
HNSC,0.37433155080213903,0.31390134529147984,0.34146341463414637,223.0
KIPAN,0.23119777158774374,0.16116504854368932,0.18993135011441648,515.0
KIRC,0.16034985422740525,0.16467065868263472,0.16248153618906944,334.0
LAML,0.3272058823529412,0.5632911392405063,0.413953488372093,158.0
LGG,0.3970149253731343,0.5807860262008734,0.4716312056737589,229.0
LIHC,0.3556701030927835,0.43670886075949367,0.39204545454545453,158.0
LUAD,0.42857142857142855,0.3423913043478261,0.3806646525679758,184.0
LUSC,0.5163043478260869,0.5337078651685393,0.5248618784530387,178.0
OV,0.3504273504273504,0.48616600790513836,0.40728476821192056,253.0
PAAD,0.2651162790697674,0.475,0.3402985074626866,120.0
PCPG,0.20795107033639143,0.46258503401360546,0.2869198312236287,147.0
PRAD,0.28865979381443296,0.42105263157894735,0.3425076452599388,266.0
SARC,0.18269230769230768,0.1919191919191919,0.18719211822660098,198.0
SKCM,0.9330543933054394,0.8079710144927537,0.8660194174757282,276.0
STES,0.5860805860805861,0.42216358839050133,0.49079754601226994,379.0
TGCT,0.45789473684210524,0.7016129032258065,0.554140127388535,124.0
THCA,0.8111587982832618,0.5833333333333334,0.6786355475763016,324.0
THYM,0.15413533834586465,0.41836734693877553,0.22527472527472528,98.0
UCEC,0.5752688172043011,0.5404040404040404,0.5572916666666666,198.0
