class,class_f1_mean,class_f1_std,support
SKCM,0.8662045291836279,0.0031027706518471187,276.0
ACC,0.7725105936755972,0.02196869208100965,72.0
COAD,0.7309084464615533,0.001876642634057248,223.0
THCA,0.6834219353738176,0.006339976967958394,324.0
UCEC,0.5501887487808338,0.008596138916080019,198.0
TGCT,0.5446047257122176,0.020671700300738022,124.0
LUSC,0.5284181604613631,0.014565686355872064,178.0
STES,0.5004173220609357,0.007756760084134657,379.0
BRCA,0.4837047948997896,0.006050960542298633,786.0
LGG,0.4711774146512928,0.010561467836328995,229.0
LAML,0.41763181405213734,0.020791944960933926,158.0
OV,0.408192129117065,0.007721339683994173,253.0
LIHC,0.4053685542079321,0.013977409996614669,158.0
LUAD,0.3878811624263832,0.001175402858595848,184.0
CESC,0.3710937265833408,0.012360282063379205,155.0
PAAD,0.36538569879297467,0.0231477988422199,120.0
DLBC,0.36165903731446797,0.04335801700841272,38.0
PRAD,0.3380275350021658,0.005211601149217835,266.0
BLCA,0.3362917751584213,0.005449836938105461,104.0
HNSC,0.33610046944759575,0.012834853859229943,223.0
GBMLGG,0.32972203189387866,0.01267076372223523,461.0
PCPG,0.2800713755545199,0.01168807110067669,147.0
THYM,0.2356284876230386,0.017778086448190157,98.0
KIPAN,0.19434747234909552,0.006805290745701133,515.0
SARC,0.19148067418722306,0.007936169302072917,198.0
KIRC,0.18000480519215978,0.015033916279911574,334.0
