class,precision,recall,f1-score,support
ACC,0.7777777777777778,0.7777777777777778,0.7777777777777778,72.0
BLCA,0.37349397590361444,0.2980769230769231,0.3315508021390374,104.0
BRCA,0.668918918918919,0.37786259541984735,0.48292682926829267,786.0
CESC,0.3425414364640884,0.4,0.36904761904761907,155.0
COAD,0.7417840375586855,0.7085201793721974,0.7247706422018348,223.0
DLBC,0.37209302325581395,0.42105263157894735,0.3950617283950617,38.0
GBMLGG,0.44274809160305345,0.25162689804772237,0.32088520055325037,461.0
HNSC,0.3723404255319149,0.31390134529147984,0.340632603406326,223.0
KIPAN,0.2613981762917933,0.1669902912621359,0.2037914691943128,515.0
KIRC,0.1766304347826087,0.19461077844311378,0.18518518518518517,334.0
LAML,0.3167259786476868,0.5632911392405063,0.4054669703872437,158.0
LGG,0.40425531914893614,0.5807860262008734,0.4767025089605735,229.0
LIHC,0.3763440860215054,0.4430379746835443,0.4069767441860465,158.0
LUAD,0.4305555555555556,0.33695652173913043,0.3780487804878049,184.0
LUSC,0.5174418604651163,0.5,0.5085714285714286,178.0
OV,0.336,0.4980237154150198,0.4012738853503185,253.0
PAAD,0.29411764705882354,0.5416666666666666,0.3812316715542522,120.0
PCPG,0.2080745341614907,0.4557823129251701,0.2857142857142857,147.0
PRAD,0.27970297029702973,0.424812030075188,0.3373134328358209,266.0
SARC,0.16740088105726872,0.1919191919191919,0.17882352941176471,198.0
SKCM,0.9218106995884774,0.8115942028985508,0.8631984585741811,276.0
STES,0.578397212543554,0.43799472295514513,0.4984984984984985,379.0
TGCT,0.4594594594594595,0.6854838709677419,0.5501618122977346,124.0
THCA,0.8355555555555556,0.5802469135802469,0.6848816029143898,324.0
THYM,0.16182572614107885,0.3979591836734694,0.23008849557522124,98.0
UCEC,0.5738636363636364,0.51010101010101,0.5401069518716578,198.0
