class,precision,recall,f1-score,support
ACC,0.7160493827160493,0.8055555555555556,0.7581699346405228,72.0
BLCA,0.3780487804878049,0.2980769230769231,0.3333333333333333,104.0
BRCA,0.6571428571428571,0.38040712468193383,0.48186946011281223,786.0
CESC,0.3502824858757062,0.4,0.37349397590361444,155.0
COAD,0.7524271844660194,0.695067264573991,0.7226107226107226,223.0
DLBC,0.34146341463414637,0.3684210526315789,0.35443037974683544,38.0
GBMLGG,0.4474708171206226,0.24945770065075923,0.3203342618384401,461.0
HNSC,0.3783783783783784,0.31390134529147984,0.3431372549019608,223.0
KIPAN,0.2346368715083799,0.16310679611650486,0.19243986254295534,515.0
KIRC,0.16279069767441862,0.16766467065868262,0.16519174041297935,334.0
LAML,0.3236363636363636,0.5632911392405063,0.4110854503464203,158.0
LGG,0.4024024024024024,0.5851528384279476,0.47686832740213525,229.0
LIHC,0.3556701030927835,0.43670886075949367,0.39204545454545453,158.0
LUAD,0.43537414965986393,0.34782608695652173,0.3867069486404834,184.0
LUSC,0.5133689839572193,0.5393258426966292,0.5260273972602739,178.0
OV,0.35327635327635326,0.4901185770750988,0.4105960264900662,253.0
PAAD,0.271889400921659,0.49166666666666664,0.35014836795252224,120.0
PCPG,0.21212121212121213,0.47619047619047616,0.29350104821802936,147.0
PRAD,0.2857142857142857,0.42105263157894735,0.3404255319148936,266.0
SARC,0.18137254901960784,0.18686868686868688,0.18407960199004975,198.0
SKCM,0.9369747899159664,0.8079710144927537,0.867704280155642,276.0
STES,0.5854545454545454,0.42480211081794195,0.4923547400611621,379.0
TGCT,0.45789473684210524,0.7016129032258065,0.554140127388535,124.0
THCA,0.8146551724137931,0.5833333333333334,0.6798561151079137,324.0
THYM,0.15471698113207547,0.41836734693877553,0.22589531680440772,98.0
UCEC,0.5783783783783784,0.5404040404040404,0.5587467362924282,198.0
