class,precision,recall,f1-score,support
ACC,0.8235294117647058,0.7777777777777778,0.8,72.0
BLCA,0.367816091954023,0.3076923076923077,0.33507853403141363,104.0
BRCA,0.6491596638655462,0.3931297709923664,0.4896988906497623,786.0
CESC,0.3352272727272727,0.38064516129032255,0.3564954682779456,155.0
COAD,0.7535545023696683,0.7130044843049327,0.7327188940092166,223.0
DLBC,0.27450980392156865,0.3684210526315789,0.3146067415730337,38.0
GBMLGG,0.45864661654135336,0.2646420824295011,0.3356258596973865,461.0
HNSC,0.3435897435897436,0.3004484304932735,0.32057416267942584,223.0
KIPAN,0.2344213649851632,0.1533980582524272,0.18544600938967137,515.0
KIRC,0.1833810888252149,0.19161676646706588,0.18740849194729137,334.0
LAML,0.3464285714285714,0.6139240506329114,0.4429223744292237,158.0
LGG,0.4,0.5502183406113537,0.4632352941176471,229.0
LIHC,0.39655172413793105,0.43670886075949367,0.41566265060240964,158.0
LUAD,0.43448275862068964,0.3423913043478261,0.3829787234042553,184.0
LUSC,0.5414364640883977,0.550561797752809,0.5459610027855153,178.0
OV,0.3467741935483871,0.5098814229249012,0.4128,253.0
PAAD,0.2814070351758794,0.4666666666666667,0.3510971786833856,120.0
PCPG,0.19130434782608696,0.4489795918367347,0.2682926829268293,147.0
PRAD,0.2764423076923077,0.4323308270676692,0.33724340175953077,266.0
SARC,0.18636363636363637,0.20707070707070707,0.19617224880382775,198.0
SKCM,0.9449152542372882,0.8079710144927537,0.87109375,276.0
STES,0.5802047781569966,0.44854881266490765,0.5059523809523809,379.0
TGCT,0.4371584699453552,0.6451612903225806,0.5211726384364821,124.0
THCA,0.8295964125560538,0.5709876543209876,0.676416819012797,324.0
THYM,0.1810344827586207,0.42857142857142855,0.2545454545454545,98.0
UCEC,0.5847953216374269,0.5050505050505051,0.5420054200542005,198.0
