class,precision,recall,f1-score,support
ACC,0.725,0.8055555555555556,0.7631578947368421,72.0
BLCA,0.3614457831325301,0.28846153846153844,0.32085561497326204,104.0
BRCA,0.6614699331848553,0.37786259541984735,0.48097165991902835,786.0
CESC,0.3485714285714286,0.3935483870967742,0.3696969696969697,155.0
COAD,0.7560975609756098,0.695067264573991,0.7242990654205608,223.0
DLBC,0.34146341463414637,0.3684210526315789,0.35443037974683544,38.0
GBMLGG,0.4496124031007752,0.25162689804772237,0.3226703755215577,461.0
HNSC,0.3783783783783784,0.31390134529147984,0.3431372549019608,223.0
KIPAN,0.23055555555555557,0.16116504854368932,0.18971428571428572,515.0
KIRC,0.1608187134502924,0.16467065868263472,0.16272189349112426,334.0
LAML,0.3236363636363636,0.5632911392405063,0.4110854503464203,158.0
LGG,0.4006024096385542,0.5807860262008734,0.4741532976827095,229.0
LIHC,0.3556701030927835,0.43670886075949367,0.39204545454545453,158.0
LUAD,0.43243243243243246,0.34782608695652173,0.3855421686746988,184.0
LUSC,0.5161290322580645,0.5393258426966292,0.5274725274725275,178.0
OV,0.3492957746478873,0.4901185770750988,0.40789473684210525,253.0
PAAD,0.2706422018348624,0.49166666666666664,0.34911242603550297,120.0
PCPG,0.21492537313432836,0.4897959183673469,0.2987551867219917,147.0
PRAD,0.28535353535353536,0.424812030075188,0.3413897280966767,266.0
SARC,0.178743961352657,0.18686868686868688,0.18271604938271604,198.0
SKCM,0.9330543933054394,0.8079710144927537,0.8660194174757282,276.0
STES,0.5818181818181818,0.42216358839050133,0.4892966360856269,379.0
TGCT,0.45263157894736844,0.6935483870967742,0.5477707006369427,124.0
THCA,0.8454545454545455,0.5740740740740741,0.6838235294117647,324.0
THYM,0.15298507462686567,0.41836734693877553,0.22404371584699453,98.0
UCEC,0.572972972972973,0.5353535353535354,0.5535248041775457,198.0
