class,precision,recall,f1-score,support
ACC,0.7341772151898734,0.8055555555555556,0.7682119205298014,72.0
BLCA,0.36585365853658536,0.28846153846153844,0.3225806451612903,104.0
BRCA,0.6577777777777778,0.37659033078880405,0.47896440129449835,786.0
CESC,0.34444444444444444,0.4,0.3701492537313433,155.0
COAD,0.7560975609756098,0.695067264573991,0.7242990654205608,223.0
DLBC,0.34146341463414637,0.3684210526315789,0.35443037974683544,38.0
GBMLGG,0.45348837209302323,0.25379609544468545,0.325452016689847,461.0
HNSC,0.3791208791208791,0.3094170403587444,0.34074074074074073,223.0
KIPAN,0.22905027932960895,0.15922330097087378,0.18785796105383734,515.0
KIRC,0.1729106628242075,0.17964071856287425,0.1762114537444934,334.0
LAML,0.32592592592592595,0.5569620253164557,0.411214953271028,158.0
LGG,0.4036144578313253,0.5851528384279476,0.47771836007130125,229.0
LIHC,0.3520408163265306,0.43670886075949367,0.3898305084745763,158.0
LUAD,0.43243243243243246,0.34782608695652173,0.3855421686746988,184.0
LUSC,0.518918918918919,0.5393258426966292,0.5289256198347108,178.0
OV,0.34831460674157305,0.4901185770750988,0.4072249589490969,253.0
PAAD,0.2681818181818182,0.49166666666666664,0.34705882352941175,120.0
PCPG,0.21364985163204747,0.4897959183673469,0.2975206611570248,147.0
PRAD,0.2912371134020619,0.424812030075188,0.345565749235474,266.0
SARC,0.17757009345794392,0.1919191919191919,0.18446601941747573,198.0
SKCM,0.9330543933054394,0.8079710144927537,0.8660194174757282,276.0
STES,0.5845588235294118,0.41952506596306066,0.48847926267281105,379.0
TGCT,0.45789473684210524,0.7016129032258065,0.554140127388535,124.0
THCA,0.8454545454545455,0.5740740740740741,0.6838235294117647,324.0
THYM,0.15413533834586465,0.41836734693877553,0.22527472527472528,98.0
UCEC,0.5698924731182796,0.5353535353535354,0.5520833333333334,198.0
