class,precision,recall,f1-score,support
ACC,0.7307692307692307,0.7916666666666666,0.76,72.0
BLCA,0.3780487804878049,0.2980769230769231,0.3333333333333333,104.0
BRCA,0.6600441501103753,0.38040712468193383,0.4826472962066182,786.0
CESC,0.3539325842696629,0.4064516129032258,0.3783783783783784,155.0
COAD,0.748792270531401,0.695067264573991,0.7209302325581395,223.0
DLBC,0.3333333333333333,0.3684210526315789,0.35,38.0
GBMLGG,0.4470588235294118,0.2472885032537961,0.31843575418994413,461.0
HNSC,0.3791208791208791,0.3094170403587444,0.34074074074074073,223.0
KIPAN,0.23333333333333334,0.16310679611650486,0.192,515.0
KIRC,0.16184971098265896,0.16766467065868262,0.16470588235294117,334.0
LAML,0.32234432234432236,0.5569620253164557,0.40835266821345706,158.0
LGG,0.4024024024024024,0.5851528384279476,0.47686832740213525,229.0
LIHC,0.3520408163265306,0.43670886075949367,0.3898305084745763,158.0
LUAD,0.43537414965986393,0.34782608695652173,0.3867069486404834,184.0
LUSC,0.5163043478260869,0.5337078651685393,0.5248618784530387,178.0
OV,0.34831460674157305,0.4901185770750988,0.4072249589490969,253.0
PAAD,0.27102803738317754,0.48333333333333334,0.3473053892215569,120.0
PCPG,0.21194029850746268,0.48299319727891155,0.2946058091286307,147.0
PRAD,0.289002557544757,0.424812030075188,0.3439878234398782,266.0
SARC,0.17475728155339806,0.18181818181818182,0.1782178217821782,198.0
SKCM,0.9330543933054394,0.8079710144927537,0.8660194174757282,276.0
STES,0.5818181818181818,0.42216358839050133,0.4892966360856269,379.0
TGCT,0.45789473684210524,0.7016129032258065,0.554140127388535,124.0
THCA,0.8416289592760181,0.5740740740740741,0.6825688073394496,324.0
THYM,0.15018315018315018,0.41836734693877553,0.2210242587601078,98.0
UCEC,0.572972972972973,0.5353535353535354,0.5535248041775457,198.0
