class,precision,recall,f1-score,support
ACC,0.7857142857142857,0.7638888888888888,0.7746478873239436,72.0
BLCA,0.36470588235294116,0.2980769230769231,0.328042328042328,104.0
BRCA,0.6471861471861472,0.38040712468193383,0.4791666666666667,786.0
CESC,0.35911602209944754,0.41935483870967744,0.3869047619047619,155.0
COAD,0.75,0.7130044843049327,0.7310344827586207,223.0
DLBC,0.27450980392156865,0.3684210526315789,0.3146067415730337,38.0
GBMLGG,0.49624060150375937,0.28633405639913234,0.3631361760660248,461.0
HNSC,0.3645833333333333,0.31390134529147984,0.3373493975903614,223.0
KIPAN,0.24024024024024024,0.1553398058252427,0.18867924528301888,515.0
KIRC,0.2136986301369863,0.23353293413173654,0.22317596566523606,334.0
LAML,0.3712121212121212,0.620253164556962,0.46445497630331756,158.0
LGG,0.3968253968253968,0.5458515283842795,0.45955882352941174,229.0
LIHC,0.3898305084745763,0.43670886075949367,0.41194029850746267,158.0
LUAD,0.4482758620689655,0.3532608695652174,0.3951367781155015,184.0
LUSC,0.5542857142857143,0.5449438202247191,0.5495750708215298,178.0
OV,0.32997481108312343,0.5177865612648221,0.40307692307692305,253.0
PAAD,0.28431372549019607,0.48333333333333334,0.35802469135802467,120.0
PCPG,0.20118343195266272,0.46258503401360546,0.2804123711340206,147.0
PRAD,0.27923627684964203,0.4398496240601504,0.3416058394160584,266.0
SARC,0.1778846153846154,0.18686868686868688,0.18226600985221675,198.0
SKCM,0.9291666666666667,0.8079710144927537,0.8643410852713178,276.0
STES,0.5880281690140845,0.44063324538258575,0.5037707390648567,379.0
TGCT,0.42,0.6774193548387096,0.5185185185185185,124.0
THCA,0.8258928571428571,0.5709876543209876,0.6751824817518248,324.0
THYM,0.19111111111111112,0.4387755102040816,0.26625386996904027,98.0
UCEC,0.6035502958579881,0.5151515151515151,0.555858310626703,198.0
