class,precision,recall,f1-score,support
ACC,0.9016393442622951,0.7638888888888888,0.8270676691729323,72.0
BLCA,0.5294117647058824,0.4326923076923077,0.47619047619047616,104.0
BRCA,0.766497461928934,0.3842239185750636,0.511864406779661,786.0
CESC,0.375,0.4838709677419355,0.4225352112676056,155.0
COAD,0.8163265306122449,0.7174887892376681,0.7637231503579952,223.0
DLBC,0.53125,0.4473684210526316,0.4857142857142857,38.0
GBMLGG,0.57847533632287,0.279826464208243,0.37719298245614036,461.0
HNSC,0.40816326530612246,0.35874439461883406,0.3818615751789976,223.0
KIPAN,0.2849462365591398,0.2058252427184466,0.23900789177001128,515.0
KIRC,0.23333333333333334,0.25149700598802394,0.2420749279538905,334.0
LAML,0.44502617801047123,0.5379746835443038,0.4871060171919771,158.0
LGG,0.4471299093655589,0.6462882096069869,0.5285714285714286,229.0
LIHC,0.41040462427745666,0.44936708860759494,0.42900302114803623,158.0
LUAD,0.46616541353383456,0.33695652173913043,0.3911671924290221,184.0
LUSC,0.5611111111111111,0.5674157303370787,0.5642458100558659,178.0
OV,0.3648960739030023,0.6245059288537549,0.4606413994169096,253.0
PAAD,0.3333333333333333,0.5916666666666667,0.4264264264264264,120.0
PCPG,0.21330275229357798,0.6326530612244898,0.3190394511149228,147.0
PRAD,0.2744630071599045,0.4323308270676692,0.3357664233576642,266.0
SARC,0.25333333333333335,0.1919191919191919,0.21839080459770116,198.0
SKCM,0.9578059071729957,0.822463768115942,0.884990253411306,276.0
STES,0.6071428571428571,0.49340369393139843,0.5443959243085881,379.0
TGCT,0.36363636363636365,0.7741935483870968,0.4948453608247423,124.0
THCA,0.9068627450980392,0.5709876543209876,0.7007575757575758,324.0
THYM,0.19457013574660634,0.4387755102040816,0.26959247648902823,98.0
UCEC,0.6137566137566137,0.5858585858585859,0.599483204134367,198.0
