class,precision,recall,f1-score,support
ACC,0.8656716417910447,0.8055555555555556,0.8345323741007195,72.0
BLCA,0.45544554455445546,0.4423076923076923,0.44878048780487806,104.0
BRCA,0.7336683417085427,0.37150127226463103,0.49324324324324326,786.0
CESC,0.3691588785046729,0.5096774193548387,0.4281842818428184,155.0
COAD,0.8190954773869347,0.7309417040358744,0.7725118483412322,223.0
DLBC,0.6060606060606061,0.5263157894736842,0.5633802816901409,38.0
GBMLGG,0.5461847389558233,0.2950108459869848,0.38309859154929576,461.0
HNSC,0.4270833333333333,0.36771300448430494,0.39518072289156625,223.0
KIPAN,0.2737752161383285,0.18446601941747573,0.22041763341067286,515.0
KIRC,0.21024258760107817,0.23353293413173654,0.22127659574468084,334.0
LAML,0.38738738738738737,0.5443037974683544,0.45263157894736844,158.0
LGG,0.4316109422492401,0.6200873362445415,0.5089605734767025,229.0
LIHC,0.40331491712707185,0.4620253164556962,0.4306784660766962,158.0
LUAD,0.4583333333333333,0.358695652173913,0.4024390243902439,184.0
LUSC,0.5404040404040404,0.601123595505618,0.5691489361702128,178.0
OV,0.35877862595419846,0.5573122529644269,0.43653250773993807,253.0
PAAD,0.3039647577092511,0.575,0.3976945244956772,120.0
PCPG,0.21584699453551912,0.5374149659863946,0.3079922027290448,147.0
PRAD,0.2923076923076923,0.42857142857142855,0.3475609756097561,266.0
SARC,0.21505376344086022,0.20202020202020202,0.20833333333333334,198.0
SKCM,0.9497907949790795,0.822463768115942,0.8815533980582524,276.0
STES,0.5993485342019544,0.48548812664907653,0.5364431486880467,379.0
TGCT,0.4085106382978723,0.7741935483870968,0.5348189415041783,124.0
THCA,0.8899521531100478,0.5740740740740741,0.6979362101313321,324.0
THYM,0.20276497695852536,0.4489795918367347,0.27936507936507937,98.0
UCEC,0.6203208556149733,0.5858585858585859,0.6025974025974026,198.0
