class,precision,recall,f1-score,support
ACC,0.75,0.7916666666666666,0.7702702702702703,72.0
BLCA,0.4852941176470588,0.3173076923076923,0.38372093023255816,104.0
BRCA,0.6860986547085202,0.3893129770992366,0.4967532467532468,786.0
CESC,0.36597938144329895,0.45806451612903226,0.4068767908309456,155.0
COAD,0.8112244897959183,0.7130044843049327,0.7589498806682577,223.0
DLBC,0.4,0.42105263157894735,0.41025641025641024,38.0
GBMLGG,0.5450819672131147,0.2885032537960954,0.3773049645390071,461.0
HNSC,0.3627450980392157,0.33183856502242154,0.34660421545667447,223.0
KIPAN,0.2776203966005666,0.19029126213592232,0.22580645161290322,515.0
KIRC,0.226890756302521,0.24251497005988024,0.23444283646888567,334.0
LAML,0.4155251141552511,0.5759493670886076,0.4827586206896552,158.0
LGG,0.4325153374233129,0.6157205240174672,0.5081081081081081,229.0
LIHC,0.4161849710982659,0.45569620253164556,0.4350453172205438,158.0
LUAD,0.4305555555555556,0.33695652173913043,0.3780487804878049,184.0
LUSC,0.5405405405405406,0.5617977528089888,0.5509641873278237,178.0
OV,0.3553921568627451,0.5731225296442688,0.43872919818456885,253.0
PAAD,0.3148148148148148,0.5666666666666667,0.40476190476190477,120.0
PCPG,0.19896640826873385,0.5238095238095238,0.2883895131086142,147.0
PRAD,0.3051643192488263,0.48872180451127817,0.37572254335260113,266.0
SARC,0.20540540540540542,0.1919191919191919,0.19843342036553524,198.0
SKCM,0.9574468085106383,0.8152173913043478,0.8806262230919765,276.0
STES,0.6051660516605166,0.43271767810026385,0.5046153846153846,379.0
TGCT,0.46733668341708545,0.75,0.5758513931888545,124.0
THCA,0.8726415094339622,0.5709876543209876,0.6902985074626866,324.0
THYM,0.15810276679841898,0.40816326530612246,0.22792022792022792,98.0
UCEC,0.5978260869565217,0.5555555555555556,0.5759162303664922,198.0
