class,precision,recall,f1-score,support
ACC,0.921875,0.8194444444444444,0.8676470588235294,72.0
BLCA,0.4175824175824176,0.36538461538461536,0.38974358974358975,104.0
BRCA,0.7139479905437353,0.3842239185750636,0.49958643507030603,786.0
CESC,0.3761904761904762,0.5096774193548387,0.4328767123287671,155.0
COAD,0.8009708737864077,0.7399103139013453,0.7692307692307693,223.0
DLBC,0.5,0.5263157894736842,0.5128205128205128,38.0
GBMLGG,0.49034749034749037,0.2754880694143167,0.3527777777777778,461.0
HNSC,0.4293193717277487,0.36771300448430494,0.3961352657004831,223.0
KIPAN,0.28869047619047616,0.1883495145631068,0.22796709753231492,515.0
KIRC,0.239247311827957,0.26646706586826346,0.2521246458923513,334.0
LAML,0.38028169014084506,0.5126582278481012,0.4366576819407008,158.0
LGG,0.415625,0.5807860262008734,0.48451730418943534,229.0
LIHC,0.390625,0.47468354430379744,0.42857142857142855,158.0
LUAD,0.46153846153846156,0.358695652173913,0.4036697247706422,184.0
LUSC,0.5544554455445545,0.6292134831460674,0.5894736842105263,178.0
OV,0.3518987341772152,0.549407114624506,0.42901234567901236,253.0
PAAD,0.29906542056074764,0.5333333333333333,0.38323353293413176,120.0
PCPG,0.21428571428571427,0.5306122448979592,0.30528375733855184,147.0
PRAD,0.3181818181818182,0.4473684210526316,0.371875,266.0
SARC,0.22826086956521738,0.21212121212121213,0.2198952879581152,198.0
SKCM,0.95,0.8260869565217391,0.8837209302325582,276.0
STES,0.6188925081433225,0.5013192612137203,0.5539358600583091,379.0
TGCT,0.4279475982532751,0.7903225806451613,0.5552407932011332,124.0
THCA,0.8679245283018868,0.5679012345679012,0.6865671641791045,324.0
THYM,0.1896551724137931,0.4489795918367347,0.26666666666666666,98.0
UCEC,0.6063829787234043,0.5757575757575758,0.5906735751295337,198.0
