class,precision,recall,f1-score,support
ACC,0.9365079365079365,0.8194444444444444,0.8740740740740741,72.0
BLCA,0.5232558139534884,0.4326923076923077,0.47368421052631576,104.0
BRCA,0.7827225130890052,0.38040712468193383,0.511986301369863,786.0
CESC,0.37623762376237624,0.49032258064516127,0.4257703081232493,155.0
COAD,0.8214285714285714,0.7219730941704036,0.7684964200477327,223.0
DLBC,0.5714285714285714,0.5263157894736842,0.547945205479452,38.0
GBMLGG,0.5371900826446281,0.28199566160520606,0.36984352773826457,461.0
HNSC,0.4365482233502538,0.38565022421524664,0.4095238095238095,223.0
KIPAN,0.28651685393258425,0.19805825242718447,0.23421354764638347,515.0
KIRC,0.25761772853185594,0.27844311377245506,0.26762589928057556,334.0
LAML,0.46368715083798884,0.5253164556962026,0.49258160237388726,158.0
LGG,0.43558282208588955,0.6200873362445415,0.5117117117117117,229.0
LIHC,0.4134078212290503,0.46835443037974683,0.4391691394658754,158.0
LUAD,0.4881889763779528,0.33695652173913043,0.3987138263665595,184.0
LUSC,0.5478723404255319,0.5786516853932584,0.5628415300546448,178.0
OV,0.3541666666666667,0.6047430830039525,0.4467153284671533,253.0
PAAD,0.3269230769230769,0.5666666666666667,0.4146341463414634,120.0
PCPG,0.1973392461197339,0.6054421768707483,0.2976588628762542,147.0
PRAD,0.30357142857142855,0.4473684210526316,0.3617021276595745,266.0
SARC,0.22981366459627328,0.18686868686868688,0.20612813370473537,198.0
SKCM,0.9699570815450643,0.8188405797101449,0.888015717092338,276.0
STES,0.6440677966101694,0.5013192612137203,0.5637982195845698,379.0
TGCT,0.3446969696969697,0.7338709677419355,0.4690721649484536,124.0
THCA,0.8985507246376812,0.5740740740740741,0.7005649717514124,324.0
THYM,0.2033195020746888,0.5,0.2890855457227139,98.0
UCEC,0.5959595959595959,0.5959595959595959,0.5959595959595959,198.0
