seed,fold,cancer_pair,rank,gene,support,left_mutation_rate,right_mutation_rate,signed_contrast,selection_source
52,1,KIRC_vs_KIPAN,1,VHL,238,0.44569288389513106,0.28883495145631066,0.1568579324388204,fold_train_only
52,1,KIRC_vs_KIPAN,2,CDC27,18,0.011235955056179775,0.03640776699029126,-0.025171811934111485,fold_train_only
52,1,KIRC_vs_KIPAN,3,TP53,23,0.018726591760299626,0.043689320388349516,-0.02496272862804989,fold_train_only
52,1,KIRC_vs_KIPAN,4,NEFH,10,0.0,0.024271844660194174,-0.024271844660194174,fold_train_only
52,1,KIRC_vs_KIPAN,5,MET,22,0.018726591760299626,0.0412621359223301,-0.022535544162030473,fold_train_only
52,1,LGG_vs_GBMLGG,1,IDH1,290,0.7704918032786885,0.4037940379403794,0.3666977653383091,fold_train_only
52,1,LGG_vs_GBMLGG,2,PTEN,69,0.0273224043715847,0.17344173441734417,-0.14611933004575947,fold_train_only
52,1,LGG_vs_GBMLGG,3,ATRX,145,0.3551912568306011,0.21680216802168023,0.13838908880892087,fold_train_only
52,1,LGG_vs_GBMLGG,4,TP53,230,0.5027322404371585,0.37398373983739835,0.12874850059976012,fold_train_only
52,1,LGG_vs_GBMLGG,5,EGFR,62,0.03278688524590164,0.15176151761517614,-0.1189746323692745,fold_train_only
52,2,KIRC_vs_KIPAN,1,VHL,244,0.45318352059925093,0.29854368932038833,0.1546398312788626,fold_train_only
52,2,KIRC_vs_KIPAN,2,TP53,25,0.0149812734082397,0.050970873786407765,-0.03598960037816806,fold_train_only
52,2,KIRC_vs_KIPAN,3,HELZ2,10,0.0,0.024271844660194174,-0.024271844660194174,fold_train_only
52,2,KIRC_vs_KIPAN,4,NOS1,17,0.03745318352059925,0.01699029126213592,0.02046289225846333,fold_train_only
52,2,KIRC_vs_KIPAN,5,PKD1,13,0.00749063670411985,0.02669902912621359,-0.01920839242209374,fold_train_only
52,2,LGG_vs_GBMLGG,1,IDH1,293,0.7868852459016393,0.4037940379403794,0.38309120796125995,fold_train_only
52,2,LGG_vs_GBMLGG,2,ATRX,146,0.37158469945355194,0.21138211382113822,0.1602025856324137,fold_train_only
52,2,LGG_vs_GBMLGG,3,TP53,227,0.5136612021857924,0.3604336043360434,0.153227597849749,fold_train_only
52,2,LGG_vs_GBMLGG,4,PTEN,66,0.03825136612021858,0.15989159891598917,-0.12164023279577059,fold_train_only
52,2,LGG_vs_GBMLGG,5,EGFR,56,0.03278688524590164,0.13550135501355012,-0.10271446976764848,fold_train_only
52,3,KIRC_vs_KIPAN,1,VHL,248,0.46441947565543074,0.30097087378640774,0.163448601869023,fold_train_only
52,3,KIRC_vs_KIPAN,2,TP53,23,0.0149812734082397,0.04611650485436893,-0.03113523144612923,fold_train_only
52,3,KIRC_vs_KIPAN,3,DOCK4,12,0.0,0.02912621359223301,-0.02912621359223301,fold_train_only
52,3,KIRC_vs_KIPAN,4,CDC27,19,0.011235955056179775,0.038834951456310676,-0.0275989964001309,fold_train_only
52,3,KIRC_vs_KIPAN,5,PKD1,13,0.00749063670411985,0.02669902912621359,-0.01920839242209374,fold_train_only
52,3,LGG_vs_GBMLGG,1,IDH1,301,0.8087431693989071,0.4146341463414634,0.3941090230574437,fold_train_only
52,3,LGG_vs_GBMLGG,2,TP53,219,0.4918032786885246,0.34959349593495936,0.14220978275356522,fold_train_only
52,3,LGG_vs_GBMLGG,3,ATRX,141,0.3442622950819672,0.21138211382113822,0.13288018126082898,fold_train_only
52,3,LGG_vs_GBMLGG,4,PTEN,67,0.03825136612021858,0.16260162601626016,-0.12435025989604158,fold_train_only
52,3,LGG_vs_GBMLGG,5,EGFR,60,0.0273224043715847,0.14905149051490515,-0.12172908614332045,fold_train_only
52,4,KIRC_vs_KIPAN,1,VHL,242,0.45149253731343286,0.2936893203883495,0.15780321692508337,fold_train_only
52,4,KIRC_vs_KIPAN,2,TP53,26,0.018656716417910446,0.050970873786407765,-0.03231415736849732,fold_train_only
52,4,KIRC_vs_KIPAN,3,CDC27,19,0.011194029850746268,0.038834951456310676,-0.02764092160556441,fold_train_only
52,4,KIRC_vs_KIPAN,4,MAML2,19,0.011194029850746268,0.038834951456310676,-0.02764092160556441,fold_train_only
52,4,KIRC_vs_KIPAN,5,MET,19,0.011194029850746268,0.038834951456310676,-0.02764092160556441,fold_train_only
52,4,LGG_vs_GBMLGG,1,IDH1,296,0.782608695652174,0.41304347826086957,0.3695652173913044,fold_train_only
52,4,LGG_vs_GBMLGG,2,ATRX,156,0.391304347826087,0.22826086956521738,0.1630434782608696,fold_train_only
52,4,LGG_vs_GBMLGG,3,TP53,231,0.5217391304347826,0.36684782608695654,0.15489130434782605,fold_train_only
52,4,LGG_vs_GBMLGG,4,PTEN,64,0.02717391304347826,0.16032608695652173,-0.13315217391304346,fold_train_only
52,4,LGG_vs_GBMLGG,5,EGFR,66,0.043478260869565216,0.15760869565217392,-0.1141304347826087,fold_train_only
52,5,KIRC_vs_KIPAN,1,VHL,248,0.44569288389513106,0.3131067961165049,0.13258608777862618,fold_train_only
52,5,KIRC_vs_KIPAN,2,TP53,19,0.00749063670411985,0.0412621359223301,-0.03377149921821025,fold_train_only
52,5,KIRC_vs_KIPAN,3,HLA-A,12,0.003745318352059925,0.02669902912621359,-0.022953710774153667,fold_train_only
52,5,KIRC_vs_KIPAN,4,VCAN,12,0.003745318352059925,0.02669902912621359,-0.022953710774153667,fold_train_only
52,5,KIRC_vs_KIPAN,5,MET,17,0.011235955056179775,0.03398058252427184,-0.02274462746809207,fold_train_only
52,5,LGG_vs_GBMLGG,1,IDH1,296,0.7814207650273224,0.4146341463414634,0.366786618685859,fold_train_only
52,5,LGG_vs_GBMLGG,2,ATRX,140,0.34972677595628415,0.20596205962059622,0.14376471633568794,fold_train_only
52,5,LGG_vs_GBMLGG,3,TP53,233,0.5027322404371585,0.3821138211382114,0.12061841929894707,fold_train_only
52,5,LGG_vs_GBMLGG,4,PTEN,66,0.04371584699453552,0.15718157181571815,-0.11346572482118264,fold_train_only
52,5,LGG_vs_GBMLGG,5,EGFR,56,0.03825136612021858,0.13279132791327913,-0.09453996179306055,fold_train_only
62,1,KIRC_vs_KIPAN,1,VHL,248,0.45692883895131087,0.3058252427184466,0.1511035962328643,fold_train_only
62,1,KIRC_vs_KIPAN,2,DOCK4,11,0.0,0.02669902912621359,-0.02669902912621359,fold_train_only
62,1,KIRC_vs_KIPAN,3,MTOR,33,0.06367041198501873,0.038834951456310676,0.024835460528708053,fold_train_only
62,1,KIRC_vs_KIPAN,4,CELSR2,12,0.003745318352059925,0.02669902912621359,-0.022953710774153667,fold_train_only
62,1,KIRC_vs_KIPAN,5,TP53,22,0.018726591760299626,0.0412621359223301,-0.022535544162030473,fold_train_only
62,1,LGG_vs_GBMLGG,1,IDH1,285,0.7704918032786885,0.3902439024390244,0.3802479008396641,fold_train_only
62,1,LGG_vs_GBMLGG,2,TP53,219,0.5081967213114754,0.34146341463414637,0.16673330667732905,fold_train_only
62,1,LGG_vs_GBMLGG,3,ATRX,141,0.366120218579235,0.2005420054200542,0.16557821315918078,fold_train_only
62,1,LGG_vs_GBMLGG,4,PTEN,71,0.03278688524590164,0.17615176151761516,-0.14336487627171351,fold_train_only
62,1,LGG_vs_GBMLGG,5,EGFR,65,0.03825136612021858,0.15718157181571815,-0.11893020569549957,fold_train_only
62,2,KIRC_vs_KIPAN,1,VHL,257,0.46441947565543074,0.32281553398058255,0.1416039416748482,fold_train_only
62,2,KIRC_vs_KIPAN,2,TP53,21,0.0149812734082397,0.0412621359223301,-0.026280862514090397,fold_train_only
62,2,KIRC_vs_KIPAN,3,MAML2,18,0.011235955056179775,0.03640776699029126,-0.025171811934111485,fold_train_only
62,2,KIRC_vs_KIPAN,4,MET,20,0.0149812734082397,0.038834951456310676,-0.023853678048070974,fold_train_only
62,2,KIRC_vs_KIPAN,5,CDC27,16,0.011235955056179775,0.03155339805825243,-0.020317443002072652,fold_train_only
62,2,LGG_vs_GBMLGG,1,IDH1,300,0.8087431693989071,0.41192411924119243,0.3968190501577147,fold_train_only
62,2,LGG_vs_GBMLGG,2,PTEN,63,0.01639344262295082,0.16260162601626016,-0.14620818339330935,fold_train_only
62,2,LGG_vs_GBMLGG,3,ATRX,149,0.36065573770491804,0.22493224932249323,0.13572348838242482,fold_train_only
62,2,LGG_vs_GBMLGG,4,TP53,232,0.5081967213114754,0.37669376693766937,0.13150295437380605,fold_train_only
62,2,LGG_vs_GBMLGG,5,EGFR,59,0.03278688524590164,0.14363143631436315,-0.1108445510684615,fold_train_only
62,3,KIRC_vs_KIPAN,1,VHL,247,0.45318352059925093,0.3058252427184466,0.14735827788080436,fold_train_only
62,3,KIRC_vs_KIPAN,2,TP53,24,0.018726591760299626,0.04611650485436893,-0.027389913094069306,fold_train_only
62,3,KIRC_vs_KIPAN,3,PKD1,12,0.003745318352059925,0.02669902912621359,-0.022953710774153667,fold_train_only
62,3,KIRC_vs_KIPAN,4,CDC27,17,0.011235955056179775,0.03398058252427184,-0.02274462746809207,fold_train_only
62,3,KIRC_vs_KIPAN,5,MET,21,0.018726591760299626,0.038834951456310676,-0.02010835969601105,fold_train_only
62,3,LGG_vs_GBMLGG,1,IDH1,298,0.7868852459016393,0.4173441734417344,0.3695410724599049,fold_train_only
62,3,LGG_vs_GBMLGG,2,ATRX,142,0.3442622950819672,0.2140921409214092,0.130170154160558,fold_train_only
62,3,LGG_vs_GBMLGG,3,EGFR,62,0.0273224043715847,0.15447154471544716,-0.12714914034386246,fold_train_only
62,3,LGG_vs_GBMLGG,4,TP53,232,0.5027322404371585,0.3794037940379404,0.12332844639921808,fold_train_only
62,3,LGG_vs_GBMLGG,5,PTEN,69,0.04371584699453552,0.16531165311653118,-0.12159580612199566,fold_train_only
62,4,KIRC_vs_KIPAN,1,VHL,236,0.44029850746268656,0.28640776699029125,0.15389074047239532,fold_train_only
62,4,KIRC_vs_KIPAN,2,TP53,24,0.007462686567164179,0.05339805825242718,-0.045935371685263,fold_train_only
62,4,KIRC_vs_KIPAN,3,MET,17,0.011194029850746268,0.03398058252427184,-0.022786552673525577,fold_train_only
62,4,KIRC_vs_KIPAN,4,DOCK4,11,0.0037313432835820895,0.024271844660194174,-0.020540501376612084,fold_train_only
62,4,KIRC_vs_KIPAN,5,PLEC,21,0.018656716417910446,0.038834951456310676,-0.02017823503840023,fold_train_only
62,4,LGG_vs_GBMLGG,1,IDH1,300,0.8043478260869565,0.41304347826086957,0.391304347826087,fold_train_only
62,4,LGG_vs_GBMLGG,2,ATRX,150,0.3858695652173913,0.21467391304347827,0.17119565217391303,fold_train_only
62,4,LGG_vs_GBMLGG,3,TP53,229,0.5054347826086957,0.3695652173913043,0.13586956521739135,fold_train_only
62,4,LGG_vs_GBMLGG,4,PTEN,62,0.03804347826086957,0.14945652173913043,-0.11141304347826086,fold_train_only
62,4,LGG_vs_GBMLGG,5,EGFR,52,0.03260869565217391,0.125,-0.09239130434782608,fold_train_only
62,5,KIRC_vs_KIPAN,1,VHL,232,0.44569288389513106,0.27427184466019416,0.1714210392349369,fold_train_only
62,5,KIRC_vs_KIPAN,2,TP53,25,0.0149812734082397,0.050970873786407765,-0.03598960037816806,fold_train_only
62,5,KIRC_vs_KIPAN,3,CDC27,18,0.00749063670411985,0.038834951456310676,-0.03134431475219083,fold_train_only
62,5,KIRC_vs_KIPAN,4,MET,20,0.0149812734082397,0.038834951456310676,-0.023853678048070974,fold_train_only
62,5,KIRC_vs_KIPAN,5,MAML2,17,0.011235955056179775,0.03398058252427184,-0.02274462746809207,fold_train_only
62,5,LGG_vs_GBMLGG,1,IDH1,293,0.7595628415300546,0.4173441734417344,0.3422186680883202,fold_train_only
62,5,LGG_vs_GBMLGG,2,TP53,228,0.5081967213114754,0.36585365853658536,0.14234306277489006,fold_train_only
62,5,LGG_vs_GBMLGG,3,ATRX,146,0.3551912568306011,0.21951219512195122,0.13567906170864988,fold_train_only
62,5,LGG_vs_GBMLGG,4,PTEN,67,0.04371584699453552,0.15989159891598917,-0.11617575192145366,fold_train_only
62,5,LGG_vs_GBMLGG,5,EGFR,62,0.04371584699453552,0.14634146341463414,-0.10262561642009863,fold_train_only
31415,1,KIRC_vs_KIPAN,1,VHL,250,0.47191011235955055,0.30097087378640774,0.1709392385731428,fold_train_only
31415,1,KIRC_vs_KIPAN,2,TP53,24,0.0149812734082397,0.04854368932038835,-0.033562415912148647,fold_train_only
31415,1,KIRC_vs_KIPAN,3,AHNAK,15,0.00749063670411985,0.03155339805825243,-0.024062761354132576,fold_train_only
31415,1,KIRC_vs_KIPAN,4,CDC27,19,0.0149812734082397,0.03640776699029126,-0.021426493582051558,fold_train_only
31415,1,KIRC_vs_KIPAN,5,MET,19,0.0149812734082397,0.03640776699029126,-0.021426493582051558,fold_train_only
31415,1,LGG_vs_GBMLGG,1,IDH1,296,0.7814207650273224,0.4146341463414634,0.366786618685859,fold_train_only
31415,1,LGG_vs_GBMLGG,2,ATRX,146,0.37158469945355194,0.21138211382113822,0.1602025856324137,fold_train_only
31415,1,LGG_vs_GBMLGG,3,TP53,229,0.5081967213114754,0.3685636856368564,0.13963303567461904,fold_train_only
31415,1,LGG_vs_GBMLGG,4,PTEN,64,0.03825136612021858,0.15447154471544716,-0.11622017859522858,fold_train_only
31415,1,LGG_vs_GBMLGG,5,EGFR,56,0.03825136612021858,0.13279132791327913,-0.09453996179306055,fold_train_only
31415,2,KIRC_vs_KIPAN,1,VHL,237,0.44569288389513106,0.28640776699029125,0.15928511690483982,fold_train_only
31415,2,KIRC_vs_KIPAN,2,TP53,23,0.011235955056179775,0.04854368932038835,-0.037307734264208574,fold_train_only
31415,2,KIRC_vs_KIPAN,3,MET,21,0.0149812734082397,0.0412621359223301,-0.026280862514090397,fold_train_only
31415,2,KIRC_vs_KIPAN,4,MYO15A,13,0.003745318352059925,0.02912621359223301,-0.025380895240173087,fold_train_only
31415,2,KIRC_vs_KIPAN,5,MAML2,20,0.0149812734082397,0.038834951456310676,-0.023853678048070974,fold_train_only
31415,2,LGG_vs_GBMLGG,1,IDH1,295,0.7814207650273224,0.41192411924119243,0.36949664578612995,fold_train_only
31415,2,LGG_vs_GBMLGG,2,PTEN,66,0.03278688524590164,0.16260162601626016,-0.1298147407703585,fold_train_only
31415,2,LGG_vs_GBMLGG,3,TP53,233,0.5081967213114754,0.3794037940379404,0.12879292727353503,fold_train_only
31415,2,LGG_vs_GBMLGG,4,ATRX,153,0.36065573770491804,0.23577235772357724,0.1248833799813408,fold_train_only
31415,2,LGG_vs_GBMLGG,5,EGFR,58,0.02185792349726776,0.14634146341463414,-0.12448353991736638,fold_train_only
31415,3,KIRC_vs_KIPAN,1,VHL,237,0.4419475655430712,0.28883495145631066,0.15311261408676052,fold_train_only
31415,3,KIRC_vs_KIPAN,2,TP53,21,0.0149812734082397,0.0412621359223301,-0.026280862514090397,fold_train_only
31415,3,KIRC_vs_KIPAN,3,MET,18,0.011235955056179775,0.03640776699029126,-0.025171811934111485,fold_train_only
31415,3,KIRC_vs_KIPAN,4,NEFH,10,0.0,0.024271844660194174,-0.024271844660194174,fold_train_only
31415,3,KIRC_vs_KIPAN,5,SKI,10,0.0,0.024271844660194174,-0.024271844660194174,fold_train_only
31415,3,LGG_vs_GBMLGG,1,IDH1,291,0.7868852459016393,0.3983739837398374,0.38851126216180193,fold_train_only
31415,3,LGG_vs_GBMLGG,2,ATRX,143,0.36065573770491804,0.2086720867208672,0.15198365098405084,fold_train_only
31415,3,LGG_vs_GBMLGG,3,TP53,221,0.4918032786885246,0.35501355013550134,0.13678972855302324,fold_train_only
31415,3,LGG_vs_GBMLGG,4,PTEN,68,0.03825136612021858,0.16531165311653118,-0.1270602869963126,fold_train_only
31415,3,LGG_vs_GBMLGG,5,EGFR,63,0.03278688524590164,0.15447154471544716,-0.12168465946954551,fold_train_only
31415,4,KIRC_vs_KIPAN,1,VHL,250,0.4626865671641791,0.3058252427184466,0.15686132444573253,fold_train_only
31415,4,KIRC_vs_KIPAN,2,CDC27,16,0.007462686567164179,0.03398058252427184,-0.026517895957107664,fold_train_only
31415,4,KIRC_vs_KIPAN,3,TP53,23,0.018656716417910446,0.043689320388349516,-0.02503260397043907,fold_train_only
31415,4,KIRC_vs_KIPAN,4,MET,20,0.014925373134328358,0.038834951456310676,-0.023909578321982317,fold_train_only
31415,4,KIRC_vs_KIPAN,5,DOCK4,12,0.0037313432835820895,0.02669902912621359,-0.0229676858426315,fold_train_only
31415,4,LGG_vs_GBMLGG,1,IDH1,293,0.7771739130434783,0.4076086956521739,0.3695652173913044,fold_train_only
