cancer_pair,gene,selection_count,seed_count,fold_count,mean_rank,mean_abs_contrast,selection_rate
KIRC_vs_KIPAN,AHNAK,1,1,1,3.0,0.024062761354132576,0.06666666666666667
KIRC_vs_KIPAN,CDC27,9,3,5,3.3333333333333335,0.02559572234460583,0.6
KIRC_vs_KIPAN,CELSR2,1,1,1,4.0,0.022953710774153667,0.06666666666666667
KIRC_vs_KIPAN,DOCK4,5,3,4,3.8,0.024721054919576876,0.3333333333333333
KIRC_vs_KIPAN,HELZ2,1,1,1,3.0,0.024271844660194174,0.06666666666666667
KIRC_vs_KIPAN,HLA-A,1,1,1,3.0,0.022953710774153667,0.06666666666666667
KIRC_vs_KIPAN,MAML2,4,3,3,4.25,0.024852759763959738,0.26666666666666666
KIRC_vs_KIPAN,MET,11,3,5,4.181818181818182,0.023664737095781933,0.7333333333333333
KIRC_vs_KIPAN,MTOR,1,1,1,3.0,0.024835460528708053,0.06666666666666667
KIRC_vs_KIPAN,MYO15A,1,1,1,4.0,0.025380895240173087,0.06666666666666667
KIRC_vs_KIPAN,NEFH,2,2,2,4.0,0.024271844660194174,0.13333333333333333
KIRC_vs_KIPAN,NOS1,1,1,1,4.0,0.02046289225846333,0.06666666666666667
KIRC_vs_KIPAN,PKD1,4,3,3,4.25,0.021687847714628557,0.26666666666666666
KIRC_vs_KIPAN,PLEC,1,1,1,5.0,0.02017823503840023,0.06666666666666667
KIRC_vs_KIPAN,SKI,1,1,1,5.0,0.024271844660194174,0.06666666666666667
KIRC_vs_KIPAN,TP53,15,3,5,2.3333333333333335,0.03163184839411538,1.0
KIRC_vs_KIPAN,VCAN,1,1,1,4.0,0.022953710774153667,0.06666666666666667
KIRC_vs_KIPAN,VHL,15,3,5,1.0,0.1530671340580831,1.0
LGG_vs_GBMLGG,ATRX,15,3,5,2.533333333333333,0.14767824754156308,1.0
LGG_vs_GBMLGG,EGFR,15,3,5,4.866666666666666,0.11040441311398147,1.0
LGG_vs_GBMLGG,IDH1,15,3,5,1.0,0.3760450087275879,1.0
LGG_vs_GBMLGG,PTEN,15,3,5,3.6666666666666665,0.12775248193798167,1.0
LGG_vs_GBMLGG,TP53,15,3,5,2.933333333333333,0.13995100027621804,1.0
