candidate,fold,fold_macro_f1,fold_accuracy,masked_train_cell_count,validation_masked_cell_count
lgbm_native_baseline,1,0.340792658995665,0.34891216760676874,0,0
lgbm_native_baseline,2,0.3058464633202068,0.31129032258064515,0,0
lgbm_native_baseline,3,0.34211175260901455,0.33145161290322583,0,0
lgbm_native_baseline,4,0.304093825937492,0.3241935483870968,0,0
lgbm_native_baseline,5,0.32727650018956456,0.3379032258064516,0,0
lgbm_mask_noise_0p001,1,0.3163504278547906,0.33521353746978244,21745,0
lgbm_mask_noise_0p001,2,0.325836185567601,0.3346774193548387,21749,0
lgbm_mask_noise_0p001,3,0.3286248607403029,0.33548387096774196,21749,0
lgbm_mask_noise_0p001,4,0.31715292335755507,0.34516129032258064,21749,0
lgbm_mask_noise_0p001,5,0.3191108717762613,0.3395161290322581,21749,0
