class,precision,recall,f1-score,support
ACC,0.9375,0.8333333333333334,0.8823529411764706,72.0
BLCA,0.5238095238095238,0.4230769230769231,0.46808510638297873,104.0
BRCA,0.7798408488063661,0.37404580152671757,0.5055889939810834,786.0
CESC,0.34545454545454546,0.49032258064516127,0.4053333333333333,155.0
COAD,0.803030303030303,0.7130044843049327,0.7553444180522565,223.0
DLBC,0.6451612903225806,0.5263157894736842,0.5797101449275363,38.0
GBMLGG,0.5672268907563025,0.2928416485900217,0.38626609442060084,461.0
HNSC,0.4088669950738916,0.3721973094170404,0.38967136150234744,223.0
KIPAN,0.2717948717948718,0.2058252427184466,0.23425414364640884,515.0
KIRC,0.225,0.2694610778443114,0.2452316076294278,334.0
LAML,0.49693251533742333,0.5126582278481012,0.5046728971962616,158.0
LGG,0.44171779141104295,0.62882096069869,0.518918918918919,229.0
LIHC,0.43529411764705883,0.46835443037974683,0.45121951219512196,158.0
LUAD,0.45255474452554745,0.33695652173913043,0.3862928348909657,184.0
LUSC,0.5284974093264249,0.5730337078651685,0.5498652291105122,178.0
OV,0.37410071942446044,0.616600790513834,0.46567164179104475,253.0
PAAD,0.32547169811320753,0.575,0.41566265060240964,120.0
PCPG,0.20246913580246914,0.5578231292517006,0.2971014492753623,147.0
PRAD,0.3050847457627119,0.40601503759398494,0.34838709677419355,266.0
SARC,0.22424242424242424,0.18686868686868688,0.20385674931129477,198.0
SKCM,0.9620253164556962,0.8260869565217391,0.8888888888888888,276.0
STES,0.6312292358803987,0.5013192612137203,0.5588235294117647,379.0
TGCT,0.3223684210526316,0.7903225806451613,0.45794392523364486,124.0
THCA,0.8857142857142857,0.5740740740740741,0.6966292134831461,324.0
THYM,0.1926605504587156,0.42857142857142855,0.26582278481012656,98.0
UCEC,0.625,0.5808080808080808,0.6020942408376964,198.0
