variant,class,precision,recall,f1-score,support
primary,ACC,0.890625,0.7916666666666666,0.8382352941176471,72.0
primary,BLCA,0.5111111111111111,0.4423076923076923,0.4742268041237113,104.0
primary,BRCA,0.782051282051282,0.3880407124681934,0.5187074829931972,786.0
primary,CESC,0.40625,0.5032258064516129,0.4495677233429395,155.0
primary,COAD,0.7969543147208121,0.7040358744394619,0.7476190476190476,223.0
primary,DLBC,0.6206896551724138,0.47368421052631576,0.5373134328358209,38.0
primary,GBMLGG,0.5508474576271186,0.28199566160520606,0.37302725968436157,461.0
primary,HNSC,0.4117647058823529,0.37668161434977576,0.39344262295081966,223.0
primary,KIPAN,0.29213483146067415,0.20194174757281552,0.23880597014925373,515.0
primary,KIRC,0.24645892351274787,0.26047904191616766,0.25327510917030566,334.0
primary,LAML,0.4666666666666667,0.5316455696202531,0.4970414201183432,158.0
primary,LGG,0.42857142857142855,0.6026200873362445,0.5009074410163339,229.0
primary,LIHC,0.4166666666666667,0.5063291139240507,0.45714285714285713,158.0
primary,LUAD,0.4788732394366197,0.3695652173913043,0.4171779141104294,184.0
primary,LUSC,0.5847953216374269,0.5617977528089888,0.5730659025787965,178.0
primary,OV,0.3556581986143187,0.6086956521739131,0.4489795918367347,253.0
primary,PAAD,0.32432432432432434,0.6,0.42105263157894735,120.0
primary,PCPG,0.20568927789934355,0.6394557823129252,0.31125827814569534,147.0
primary,PRAD,0.2765432098765432,0.42105263157894735,0.33383010432190763,266.0
primary,SARC,0.22839506172839505,0.18686868686868688,0.20555555555555555,198.0
primary,SKCM,0.9456066945606695,0.8188405797101449,0.8776699029126214,276.0
primary,STES,0.6387959866220736,0.503957783641161,0.5634218289085545,379.0
primary,TGCT,0.375,0.75,0.5,124.0
primary,THCA,0.8899521531100478,0.5740740740740741,0.6979362101313321,324.0
primary,THYM,0.19469026548672566,0.4489795918367347,0.2716049382716049,98.0
primary,UCEC,0.6338797814207651,0.5858585858585859,0.6089238845144357,198.0
soft_specialist,ACC,0.890625,0.7916666666666666,0.8382352941176471,72.0
soft_specialist,BLCA,0.5111111111111111,0.4423076923076923,0.4742268041237113,104.0
soft_specialist,BRCA,0.7806122448979592,0.3893129770992366,0.5195246179966044,786.0
soft_specialist,CESC,0.40625,0.5032258064516129,0.4495677233429395,155.0
soft_specialist,COAD,0.7969543147208121,0.7040358744394619,0.7476190476190476,223.0
soft_specialist,DLBC,0.6206896551724138,0.47368421052631576,0.5373134328358209,38.0
soft_specialist,GBMLGG,0.5508474576271186,0.28199566160520606,0.37302725968436157,461.0
soft_specialist,HNSC,0.4117647058823529,0.37668161434977576,0.39344262295081966,223.0
soft_specialist,KIPAN,0.2949438202247191,0.20388349514563106,0.24110218140068887,515.0
soft_specialist,KIRC,0.2471590909090909,0.26047904191616766,0.2536443148688047,334.0
soft_specialist,LAML,0.4666666666666667,0.5316455696202531,0.4970414201183432,158.0
soft_specialist,LGG,0.42857142857142855,0.6026200873362445,0.5009074410163339,229.0
soft_specialist,LIHC,0.418848167539267,0.5063291139240507,0.4584527220630373,158.0
soft_specialist,LUAD,0.4788732394366197,0.3695652173913043,0.4171779141104294,184.0
soft_specialist,LUSC,0.5847953216374269,0.5617977528089888,0.5730659025787965,178.0
soft_specialist,OV,0.3556581986143187,0.6086956521739131,0.4489795918367347,253.0
soft_specialist,PAAD,0.32432432432432434,0.6,0.42105263157894735,120.0
soft_specialist,PCPG,0.20568927789934355,0.6394557823129252,0.31125827814569534,147.0
soft_specialist,PRAD,0.2765432098765432,0.42105263157894735,0.33383010432190763,266.0
soft_specialist,SARC,0.22839506172839505,0.18686868686868688,0.20555555555555555,198.0
soft_specialist,SKCM,0.9456066945606695,0.8188405797101449,0.8776699029126214,276.0
soft_specialist,STES,0.6387959866220736,0.503957783641161,0.5634218289085545,379.0
soft_specialist,TGCT,0.375,0.75,0.5,124.0
soft_specialist,THCA,0.8899521531100478,0.5740740740740741,0.6979362101313321,324.0
soft_specialist,THYM,0.19469026548672566,0.4489795918367347,0.2716049382716049,98.0
soft_specialist,UCEC,0.6338797814207651,0.5858585858585859,0.6089238845144357,198.0
