variant,class,precision,recall,f1-score,support
fm,ACC,0.22727272727272727,0.7638888888888888,0.3503184713375796,72.0
fm,BLCA,0.25225225225225223,0.2692307692307692,0.26046511627906976,104.0
fm,BRCA,0.6923076923076923,0.32061068702290074,0.43826086956521737,786.0
fm,CESC,0.2214765100671141,0.2129032258064516,0.21710526315789475,155.0
fm,COAD,0.3,0.20179372197309417,0.24128686327077747,223.0
fm,DLBC,0.08771929824561403,0.2631578947368421,0.13157894736842105,38.0
fm,GBMLGG,0.3389121338912134,0.175704989154013,0.23142857142857143,461.0
fm,HNSC,0.3211009174311927,0.15695067264573992,0.21084337349397592,223.0
fm,KIPAN,0.21467391304347827,0.1533980582524272,0.17893544733861835,515.0
fm,KIRC,0.10566037735849057,0.16766467065868262,0.12962962962962962,334.0
fm,LAML,0.36,0.45569620253164556,0.4022346368715084,158.0
fm,LGG,0.23411978221415608,0.5633187772925764,0.33076923076923076,229.0
fm,LIHC,0.24691358024691357,0.25316455696202533,0.25,158.0
fm,LUAD,0.28085106382978725,0.358695652173913,0.315035799522673,184.0
fm,LUSC,0.38953488372093026,0.37640449438202245,0.38285714285714284,178.0
fm,OV,0.26,0.35968379446640314,0.3018242122719735,253.0
fm,PAAD,0.14482758620689656,0.175,0.15849056603773584,120.0
fm,PCPG,0.18518518518518517,0.17006802721088435,0.1773049645390071,147.0
fm,PRAD,0.23972602739726026,0.39473684210526316,0.29829545454545453,266.0
fm,SARC,0.13131313131313133,0.06565656565656566,0.08754208754208755,198.0
fm,SKCM,0.9170506912442397,0.7210144927536232,0.8073022312373225,276.0
fm,STES,0.4918918918918919,0.24010554089709762,0.32269503546099293,379.0
fm,TGCT,0.16862745098039217,0.6935483870967742,0.27129337539432175,124.0
fm,THCA,0.5766016713091922,0.6388888888888888,0.6061493411420205,324.0
fm,THYM,0.0,0.0,0.0,98.0
fm,UCEC,0.42424242424242425,0.1414141414141414,0.21212121212121213,198.0
lr08,ACC,0.8955223880597015,0.8333333333333334,0.8633093525179856,72.0
lr08,BLCA,0.5172413793103449,0.4326923076923077,0.4712041884816754,104.0
lr08,BRCA,0.78,0.3969465648854962,0.5261382799325464,786.0
lr08,CESC,0.36363636363636365,0.5161290322580645,0.4266666666666667,155.0
lr08,COAD,0.803030303030303,0.7130044843049327,0.7553444180522565,223.0
lr08,DLBC,0.6428571428571429,0.47368421052631576,0.5454545454545454,38.0
lr08,GBMLGG,0.5431034482758621,0.27331887201735355,0.36363636363636365,461.0
lr08,HNSC,0.4166666666666667,0.3811659192825112,0.3981264637002342,223.0
lr08,KIPAN,0.24744897959183673,0.1883495145631068,0.21389195148842338,515.0
lr08,KIRC,0.23931623931623933,0.25149700598802394,0.24525547445255474,334.0
lr08,LAML,0.6190476190476191,0.4936708860759494,0.5492957746478874,158.0
lr08,LGG,0.43373493975903615,0.62882096069869,0.5133689839572193,229.0
lr08,LIHC,0.4134078212290503,0.46835443037974683,0.4391691394658754,158.0
lr08,LUAD,0.45925925925925926,0.33695652173913043,0.3887147335423197,184.0
lr08,LUSC,0.5497382198952879,0.5898876404494382,0.5691056910569106,178.0
lr08,OV,0.36342592592592593,0.6205533596837944,0.4583941605839416,253.0
lr08,PAAD,0.3431372549019608,0.5833333333333334,0.43209876543209874,120.0
lr08,PCPG,0.2316715542521994,0.5374149659863946,0.3237704918032787,147.0
lr08,PRAD,0.2754237288135593,0.48872180451127817,0.3523035230352303,266.0
lr08,SARC,0.2553191489361702,0.18181818181818182,0.21238938053097345,198.0
lr08,SKCM,0.9583333333333334,0.8333333333333334,0.8914728682170543,276.0
lr08,STES,0.5987261146496815,0.49604221635883905,0.5425685425685426,379.0
lr08,TGCT,0.3735408560311284,0.7741935483870968,0.5039370078740157,124.0
lr08,THCA,0.9154228855721394,0.5679012345679012,0.700952380952381,324.0
lr08,THYM,0.18796992481203006,0.5102040816326531,0.27472527472527475,98.0
lr08,UCEC,0.5968586387434555,0.5757575757575758,0.5861182519280206,198.0
blend_0p5,ACC,0.7228915662650602,0.8333333333333334,0.7741935483870968,72.0
blend_0p5,BLCA,0.40217391304347827,0.3557692307692308,0.37755102040816324,104.0
blend_0p5,BRCA,0.7732997481108312,0.3905852417302799,0.5190194420963652,786.0
blend_0p5,CESC,0.3516483516483517,0.4129032258064516,0.3798219584569733,155.0
blend_0p5,COAD,0.6990740740740741,0.6771300448430493,0.6879271070615034,223.0
blend_0p5,DLBC,0.2765957446808511,0.34210526315789475,0.3058823529411765,38.0
blend_0p5,GBMLGG,0.5454545454545454,0.28633405639913234,0.3755334281650071,461.0
blend_0p5,HNSC,0.4625,0.33183856502242154,0.38642297650130547,223.0
blend_0p5,KIPAN,0.2335958005249344,0.17281553398058253,0.19866071428571427,515.0
blend_0p5,KIRC,0.16037735849056603,0.20359281437125748,0.17941952506596306,334.0
blend_0p5,LAML,0.48823529411764705,0.5253164556962026,0.5060975609756098,158.0
blend_0p5,LGG,0.3856749311294766,0.611353711790393,0.47297297297297297,229.0
blend_0p5,LIHC,0.39263803680981596,0.4050632911392405,0.3987538940809969,158.0
blend_0p5,LUAD,0.3520408163265306,0.375,0.3631578947368421,184.0
blend_0p5,LUSC,0.4785276073619632,0.43820224719101125,0.4574780058651026,178.0
blend_0p5,OV,0.3530751708428246,0.6126482213438735,0.4479768786127168,253.0
blend_0p5,PAAD,0.3425414364640884,0.5166666666666667,0.4119601328903654,120.0
blend_0p5,PCPG,0.21846153846153846,0.48299319727891155,0.3008474576271186,147.0
blend_0p5,PRAD,0.2777777777777778,0.5075187969924813,0.35904255319148937,266.0
blend_0p5,SARC,0.30357142857142855,0.1717171717171717,0.21935483870967742,198.0
blend_0p5,SKCM,0.9690265486725663,0.7934782608695652,0.8725099601593626,276.0
blend_0p5,STES,0.6394849785407726,0.39313984168865435,0.4869281045751634,379.0
blend_0p5,TGCT,0.31384615384615383,0.8225806451612904,0.45434298440979953,124.0
blend_0p5,THCA,0.8034188034188035,0.5802469135802469,0.6738351254480287,324.0
blend_0p5,THYM,0.20812182741116753,0.41836734693877553,0.27796610169491526,98.0
blend_0p5,UCEC,0.6280487804878049,0.5202020202020202,0.569060773480663,198.0
