fold,baseline_fold_macro_f1,candidate_id,fm_fold_macro_f1,blend_0p25_fold_macro_f1,blend_0p50_fold_macro_f1,paired_delta_0p25,paired_delta_0p50,early_stopping_epoch,loss_finite
1,0.4724201560595004,O0_sklearn_lr,,,,,,,
2,0.4868858284320392,O0_sklearn_lr,,,,,,,
3,0.46853347751182756,O0_sklearn_lr,,,,,,,
4,0.476902766414631,O0_sklearn_lr,,,,,,,
5,0.5040693452846597,O0_sklearn_lr,,,,,,,
1,0.4724201560595004,O0_torch_linear,0.37567223532458,0.470073714770605,0.4603025375672071,-0.0023464412888953845,-0.012117618492293258,14.0,True
2,0.4868858284320392,O0_torch_linear,0.3922087077271061,0.490138312370646,0.4701408072139429,0.003252483938606776,-0.01674502121809629,18.0,True
3,0.46853347751182756,O0_torch_linear,0.36761476754260947,0.47323665911134943,0.45467727984502615,0.004703181599521877,-0.013856197666801406,18.0,True
4,0.476902766414631,O0_torch_linear,0.3914308902727445,0.4802636784664269,0.4475607824295943,0.00336091205179595,-0.02934198398503668,18.0,True
5,0.5040693452846597,O0_torch_linear,0.38412161525733624,0.49666405756630727,0.4926369151998327,-0.007405287718352471,-0.011432430084827028,16.0,True
1,0.4724201560595004,O1_lr_0.0003,0.3596847810053445,0.48752863523244916,0.47874858670630555,0.015108479172948774,0.006328430646805161,4.0,True
2,0.4868858284320392,O1_lr_0.0003,0.34552121219608734,0.4871750894826844,0.4442213320797916,0.00028926105064519536,-0.042664496352247616,5.0,True
3,0.46853347751182756,O1_lr_0.0003,0.3450498989261319,0.4687340467214867,0.4460335572103393,0.0002005692096591627,-0.02249992030148823,5.0,True
4,0.476902766414631,O1_lr_0.0003,0.32899962820379136,0.48480864152664654,0.4215413579617095,0.00790587511201557,-0.05536140845292148,6.0,True
5,0.5040693452846597,O1_lr_0.0003,0.3439713300116427,0.5045173410028343,0.475899682969187,0.0004479957181745542,-0.028169662315472743,5.0,True
1,0.4724201560595004,O1_lr_0.001,0.26608425817519643,0.4779873041713584,0.4492353958894086,0.005567148111857989,-0.0231847601700918,1.0,True
