fold,left,right,inner_oof_two_way_confusion,gate_applied_valid_rows,baseline_pair_macro_f1,specialist_pair_macro_f1,baseline_left_to_right,specialist_left_to_right,baseline_right_to_left,specialist_right_to_left,left_index,right_index
1,KIPAN,KIRC,252,165,0.22987012987012986,0.2220555138784696,50,50,31,32,8,9
1,GBMLGG,LGG,178,89,0.4401230498791474,0.4401230498791474,36,36,9,9,6,11
1,BRCA,OV,94,92,0.6190476190476191,0.6190476190476191,15,15,3,3,2,15
2,KIPAN,KIRC,263,168,0.24666823640216623,0.23295940678771748,53,52,33,35,8,9
2,GBMLGG,LGG,179,88,0.46316964285714285,0.4711866768866281,36,36,11,10,6,11
2,BRCA,OV,89,97,0.4908126293995859,0.4847925079474182,32,33,2,2,2,15
3,KIPAN,KIRC,276,159,0.2640625,0.24867724867724866,44,44,36,38,8,9
3,GBMLGG,LGG,178,92,0.45168667810177243,0.44548872180451127,33,32,14,15,6,11
3,BRCA,OV,96,95,0.5852933574567072,0.5819629565518435,23,23,2,2,2,15
4,KIPAN,KIRC,268,145,0.22268539961916525,0.22268539961916525,46,46,34,34,8,9
4,GBMLGG,LGG,184,100,0.47976612797267115,0.47976612797267115,42,42,8,8,6,11
4,BRCA,OV,100,107,0.6235220125786163,0.614098319433385,21,22,1,1,2,15
5,KIPAN,KIRC,280,165,0.304179104477612,0.304179104477612,45,45,26,26,8,9
5,GBMLGG,LGG,171,88,0.4470246734397678,0.4470246734397678,33,33,13,13,6,11
5,BRCA,OV,100,92,0.6002155172413793,0.6031760435571688,18,17,1,1,2,15
