variant,fold,fold_macro_f1,feature_count
baseline,1,0.4724201560595004,8134
locus,1,0.4738123196859877,10544
position_bin,1,0.47851002633773143,40683
signature,1,0.480046120924908,35069
all_ontology,1,0.4764502889981149,70028
baseline,2,0.4868858284320392,8177
locus,2,0.4899865382146874,10724
position_bin,2,0.4757149083027036,40251
signature,2,0.47960236894267144,34448
all_ontology,2,0.46716093041092527,69069
baseline,3,0.46853347751182756,8143
locus,3,0.4767271006533319,10592
position_bin,3,0.48499500854758204,40267
signature,3,0.4845146427455213,34446
all_ontology,3,0.493860125322069,69019
baseline,4,0.476902766414631,8223
locus,4,0.4762162419110089,10994
position_bin,4,0.48221676611795555,41975
signature,4,0.48140416385315216,36640
all_ontology,4,0.48510594848297184,73163
baseline,5,0.5040693452846597,8199
locus,5,0.5054616235516415,10799
position_bin,5,0.49402029711880285,40812
signature,5,0.5038693524378903,35312
all_ontology,5,0.4825275812165769,70525
