label,nearest_label_match,mean_jaccard,mean_cosine,rows
ACC,0.8333333333333334,0.07567638,0.14920183,72
BLCA,0.0673076923076923,0.015287562,0.0545378,104
BRCA,0.42366412213740456,0.05288627,0.11295653,786
CESC,0.11612903225806452,0.018986924,0.051203784,155
COAD,0.16143497757847533,0.029025197,0.08218403,223
DLBC,0.2631578947368421,0.017644998,0.045003597,38
GBMLGG,0.2039045553145336,0.40651578,0.4448246,461
HNSC,0.026905829596412557,0.02357849,0.06861465,223
KIPAN,0.20776699029126214,0.5449231,0.55978006,515
KIRC,0.029940119760479042,0.8248292,0.83043283,334
LAML,0.4177215189873418,0.17125359,0.26516756,158
LGG,0.034934497816593885,0.7873925,0.8166887,229
LIHC,0.05063291139240506,0.017405223,0.04387851,158
LUAD,0.03260869565217391,0.016517062,0.049963206,184
LUSC,0.028089887640449437,0.013401263,0.04590735,178
OV,0.1383399209486166,0.04112568,0.08997384,253
PAAD,0.13333333333333333,0.037683208,0.08774369,120
PCPG,0.22448979591836735,0.054058205,0.106271446,147
PRAD,0.07518796992481203,0.016805341,0.03579288,266
SARC,0.03535353535353535,0.022840314,0.04698285,198
SKCM,0.10869565217391304,0.017322399,0.07967733,276
STES,0.079155672823219,0.018419739,0.057423595,379
TGCT,0.3225806451612903,0.03711143,0.07263707,124
THCA,0.6203703703703703,0.20097129,0.33205763,324
THYM,0.02040816326530612,0.007975416,0.022732716,98
UCEC,0.21717171717171718,0.037972298,0.09534168,198
