group,label,size
1_to_2_mutated_genes,BRCA,32
1_to_2_mutated_genes,CESC,5
1_to_2_mutated_genes,GBMLGG,11
1_to_2_mutated_genes,HNSC,3
1_to_2_mutated_genes,KIPAN,24
1_to_2_mutated_genes,KIRC,21
1_to_2_mutated_genes,LAML,63
1_to_2_mutated_genes,LGG,8
1_to_2_mutated_genes,LIHC,1
1_to_2_mutated_genes,OV,5
1_to_2_mutated_genes,PCPG,32
1_to_2_mutated_genes,PRAD,35
1_to_2_mutated_genes,SARC,9
1_to_2_mutated_genes,STES,1
1_to_2_mutated_genes,TGCT,1
1_to_2_mutated_genes,THCA,90
1_to_2_mutated_genes,THYM,29
3plus_mutated_genes,ACC,72
3plus_mutated_genes,BLCA,104
3plus_mutated_genes,BRCA,749
3plus_mutated_genes,CESC,147
3plus_mutated_genes,COAD,223
3plus_mutated_genes,DLBC,38
3plus_mutated_genes,GBMLGG,448
3plus_mutated_genes,HNSC,220
3plus_mutated_genes,KIPAN,487
3plus_mutated_genes,KIRC,311
3plus_mutated_genes,LAML,83
3plus_mutated_genes,LGG,218
3plus_mutated_genes,LIHC,157
3plus_mutated_genes,LUAD,184
3plus_mutated_genes,LUSC,176
3plus_mutated_genes,OV,248
3plus_mutated_genes,PAAD,119
3plus_mutated_genes,PCPG,112
3plus_mutated_genes,PRAD,227
3plus_mutated_genes,SARC,186
3plus_mutated_genes,SKCM,276
3plus_mutated_genes,STES,376
3plus_mutated_genes,TGCT,123
3plus_mutated_genes,THCA,216
3plus_mutated_genes,THYM,39
3plus_mutated_genes,UCEC,198
WT_only,BRCA,5
WT_only,CESC,3
WT_only,GBMLGG,2
WT_only,KIPAN,4
WT_only,KIRC,2
WT_only,LAML,12
WT_only,LGG,3
WT_only,LUSC,2
WT_only,PAAD,1
WT_only,PCPG,3
WT_only,PRAD,4
WT_only,SARC,3
WT_only,STES,2
WT_only,THCA,18
WT_only,THYM,30
