row,jaccard_neighbor,cosine_similarity,jaccard_similarity,label,neighbor_label,label_match
0,1,0.0,0.0,KIPAN,SARC,False
1,5505,0.09166986,0.04347826,SARC,PRAD,False
2,1356,0.08980265,0.008064516,SKCM,LAML,False
3,5645,1.0000001,1.0,KIRC,KIPAN,False
4,2825,0.045834925,0.021276595,GBMLGG,PAAD,False
5,48,0.027083963,0.0065789474,STES,STES,True
6,496,0.28867513,0.16666667,BRCA,UCEC,False
7,0,0.0,0.0,THCA,KIPAN,False
8,0,0.0,0.0,LIHC,KIPAN,False
9,1429,0.04152274,0.020833334,STES,STES,True
10,5935,0.13608275,0.071428575,STES,UCEC,False
11,3198,0.019968076,0.009259259,HNSC,CESC,False
12,0,0.0,0.0,KIRC,KIPAN,False
13,175,0.046524208,0.02173913,PAAD,PAAD,True
14,4641,0.025318485,0.003164557,SKCM,OV,False
15,0,0.0,0.0,OV,KIPAN,False
16,0,0.0,0.0,KIPAN,KIPAN,True
17,5767,1.0,1.0,KIPAN,KIRC,False
18,0,0.0,0.0,BRCA,KIPAN,False
19,730,0.20412415,0.1,PRAD,THCA,False
20,1877,0.14433756,0.020833334,GBMLGG,BLCA,False
21,4051,0.2236068,0.09090909,UCEC,LGG,False
22,1765,0.096225046,0.05,GBMLGG,UCEC,False
23,5969,0.31622776,0.16666667,LAML,LAML,True
24,811,0.05976143,0.0035714286,COAD,THCA,False
25,2581,0.050832856,0.019607844,STES,BRCA,False
26,4721,0.28867513,0.14285715,BRCA,BRCA,True
27,811,0.70710677,0.5,THCA,THCA,True
28,0,0.0,0.0,BRCA,KIPAN,False
29,1356,0.08543577,0.00729927,SKCM,LAML,False
30,2669,0.1924501,0.10638298,ACC,ACC,True
31,4613,1.0,1.0,GBMLGG,LGG,False
32,2259,0.061545745,0.025,HNSC,SARC,False
33,224,1.0,1.0,KIRC,KIPAN,False
34,1913,1.0,1.0,KIRC,KIPAN,False
35,0,0.0,0.0,PRAD,KIPAN,False
36,5404,1.0000001,1.0,LGG,GBMLGG,False
37,4641,0.059761424,0.016666668,LUSC,OV,False
38,6103,0.089087084,0.022727273,LUSC,LAML,False
39,0,0.0,0.0,BRCA,KIPAN,False
40,1957,0.28867513,0.083333336,BRCA,OV,False
41,5100,0.03526728,0.007194245,UCEC,UCEC,True
42,1252,1.0,1.0,KIRC,KIPAN,False
43,2891,1.0,1.0,GBMLGG,LGG,False
44,890,0.11891288,0.061728396,ACC,ACC,True
45,5378,0.029000739,0.014492754,LUAD,KIPAN,False
46,4888,0.25000003,0.11111111,BRCA,BRCA,True
47,3348,0.015253404,0.003125,SKCM,COAD,False
48,563,0.047836483,0.024390243,STES,STES,True
49,1327,0.062017366,0.017857144,LUSC,OV,False
50,5429,0.18430245,0.1,ACC,ACC,True
51,5748,0.010818558,0.0013831259,BRCA,LUSC,False
52,4207,1.0,1.0,KIRC,KIPAN,False
53,277,0.08164965,0.041666668,GBMLGG,PAAD,False
54,728,0.02372895,0.006289308,UCEC,KIRC,False
55,1896,0.052270833,0.015151516,PRAD,BRCA,False
56,4721,0.25000003,0.11111111,BRCA,BRCA,True
57,0,0.0,0.0,BRCA,KIPAN,False
58,753,0.024332413,0.0051107327,STES,STES,True
59,870,0.99999994,1.0,KIPAN,KIRC,False
60,1767,0.093658574,0.041666668,UCEC,BRCA,False
61,2088,1.0,1.0,KIRC,KIPAN,False
62,225,0.059234884,0.030303031,KIRC,KIPAN,False
63,4306,0.061545745,0.030303031,BRCA,COAD,False
64,3722,0.0860663,0.032258064,OV,OV,True
65,1624,0.15430336,0.083333336,BRCA,BRCA,True
66,0,0.0,0.0,KIPAN,KIPAN,True
67,121,0.09759001,0.027027028,BRCA,LGG,False
68,5821,0.019381883,0.0070422534,OV,SKCM,False
69,2223,0.99999994,1.0,LGG,GBMLGG,False
70,4701,0.26726124,0.125,BRCA,BRCA,True
71,3463,0.01479413,0.0006557377,UCEC,KIRC,False
72,5895,0.05,0.025,GBMLGG,HNSC,False
73,698,0.015430336,0.0034013605,SKCM,SKCM,True
74,121,0.03857584,0.0044247787,STES,LGG,False
75,0,0.0,0.0,BRCA,KIPAN,False
76,0,0.0,0.0,LUSC,KIPAN,False
77,3443,0.12500001,0.06666667,PRAD,PRAD,True
78,3058,0.013961798,0.0058139535,SKCM,STES,False
79,2519,0.056343615,0.028571429,KIPAN,BRCA,False
80,2224,0.032410186,0.012345679,UCEC,SARC,False
81,0,0.0,0.0,LAML,KIPAN,False
82,4081,0.0060280357,0.00036218762,BRCA,COAD,False
83,2086,0.083333336,0.041666668,GBMLGG,GBMLGG,True
84,5018,0.06262243,0.032258064,OV,OV,True
85,2233,0.08703882,0.037037037,STES,OV,False
86,109,0.15430336,0.083333336,BRCA,BRCA,True
87,2772,0.029617444,0.004310345,PRAD,CESC,False
88,6,0.14433756,0.06666667,BRCA,BRCA,True
89,6140,0.0039344477,0.0005173306,BRCA,UCEC,False
90,2261,0.060192928,0.013888889,LUSC,PCPG,False
91,3302,0.048112523,0.024390243,KIPAN,TGCT,False
92,4641,0.027628947,0.0037593986,KIPAN,OV,False
93,2875,0.017039955,0.006666667,CESC,SKCM,False
94,2375,0.028171808,0.00390625,UCEC,BRCA,False
95,4288,0.014967109,0.002610966,KIPAN,UCEC,False
96,1528,0.048911598,0.020833334,STES,CESC,False
97,5126,0.99999994,1.0,KIPAN,KIRC,False
98,0,0.0,0.0,KIPAN,KIPAN,True
99,1388,0.31622776,0.16666667,PCPG,PCPG,True
100,811,0.28867513,0.083333336,SKCM,THCA,False
101,1939,0.07715168,0.030303031,BRCA,BRCA,True
102,0,0.0,0.0,THYM,KIPAN,False
103,403,0.19069251,0.08,BRCA,BRCA,True
104,3993,0.14433756,0.06666667,BRCA,GBMLGG,False
105,811,0.096225046,0.009259259,SKCM,THCA,False
106,1868,0.2519763,0.14285715,LGG,GBMLGG,False
107,811,0.70710677,0.5,THCA,THCA,True
108,0,0.0,0.0,KIPAN,KIPAN,True
109,2261,0.18898225,0.1,BRCA,PCPG,False
110,4721,0.08111071,0.012987013,BRCA,BRCA,True
111,6151,0.027116308,0.010416667,SKCM,SKCM,True
112,255,1.0,1.0,GBMLGG,LGG,False
113,1069,0.023262106,0.0056179776,LUSC,LGG,False
114,3096,0.020261023,0.0028248588,PRAD,STES,False
115,0,0.0,0.0,BRCA,KIPAN,False
116,5956,0.039223228,0.0074626864,BLCA,THCA,False
117,4198,0.083333336,0.041666668,GBMLGG,GBMLGG,True
118,2049,0.05063697,0.020833334,BRCA,STES,False
119,1861,0.1490712,0.05882353,TGCT,LAML,False
120,5703,1.0000001,1.0,KIPAN,KIRC,False
121,2874,1.0,1.0,LGG,GBMLGG,False
122,0,0.0,0.0,THCA,KIPAN,False
123,402,0.03711348,0.018518519,KIPAN,KIPAN,True
124,3543,0.02620712,0.008547009,OV,SKCM,False
125,1902,0.039344475,0.018518519,STES,HNSC,False
126,2011,0.16903086,0.09090909,THYM,THYM,True
127,2133,0.024633233,0.008474576,LUSC,GBMLGG,False
128,848,0.14433756,0.055555556,HNSC,SARC,False
129,0,0.0,0.0,LUSC,KIPAN,False
130,5174,0.11952286,0.0625,PCPG,GBMLGG,False
131,3176,0.04767313,0.02,KIRC,HNSC,False
132,811,0.12309149,0.015151516,SKCM,THCA,False
133,0,0.0,0.0,SARC,KIPAN,False
134,5679,0.02051525,0.0067114094,DLBC,STES,False
135,4641,0.08451543,0.03125,LUAD,OV,False
136,0,0.0,0.0,BRCA,KIPAN,False
137,4888,0.13867505,0.037037037,BRCA,BRCA,True
138,5616,1.0000001,1.0,KIRC,KIPAN,False
139,4721,0.073323555,0.010638298,LUSC,BRCA,False
140,0,0.0,0.0,THCA,KIPAN,False
141,1982,0.068041384,0.01754386,LUSC,PCPG,False
142,1356,0.07412493,0.0054945056,SKCM,LAML,False
143,5105,0.035805743,0.01724138,KIRC,HNSC,False
144,1803,0.08451542,0.04347826,BRCA,GBMLGG,False
145,3993,0.07808688,0.022727273,STES,GBMLGG,False
146,1427,0.06052275,0.030303031,LUAD,KIRC,False
147,4676,0.13608277,0.035714287,STES,LAML,False
148,5810,1.0,1.0,LGG,GBMLGG,False
149,4234,1.0,1.0,KIRC,KIPAN,False
150,1978,0.0625,0.014925373,BLCA,THCA,False
151,1594,1.0,1.0,GBMLGG,LGG,False
152,2845,0.050251894,0.025641026,LIHC,COAD,False
153,4633,0.17677669,0.09090909,BRCA,BRCA,True
154,3207,0.045175392,0.009803922,SARC,LUSC,False
155,0,0.0,0.0,BRCA,KIPAN,False
156,3018,0.12403473,0.05882353,KIPAN,BRCA,False
157,3040,1.0,1.0,GBMLGG,LGG,False
158,4486,0.06085806,0.02,OV,BRCA,False
159,2836,0.18257418,0.1,BRCA,PRAD,False
160,5888,1.0,1.0,LGG,GBMLGG,False
161,2070,0.011032395,0.0015527951,KIPAN,COAD,False
162,245,0.069337524,0.035714287,GBMLGG,UCEC,False
163,0,0.0,0.0,PRAD,KIPAN,False
164,4888,0.20412415,0.07692308,BRCA,BRCA,True
165,4365,0.031311214,0.0121951215,SARC,BLCA,False
166,811,0.35355338,0.125,THCA,THCA,True
167,4721,0.06772855,0.009090909,BRCA,BRCA,True
168,0,0.0,0.0,PRAD,KIPAN,False
169,3991,1.0,1.0,KIRC,KIPAN,False
170,0,0.0,0.0,THYM,KIPAN,False
171,0,0.0,0.0,BRCA,KIPAN,False
172,1983,0.0860663,0.04347826,BRCA,BRCA,True
173,1435,0.034045327,0.01369863,SKCM,SKCM,True
174,3896,0.08333334,0.04,CESC,PCPG,False
175,5574,0.12309149,0.029411765,PAAD,LAML,False
176,0,0.0,0.0,THCA,KIPAN,False
177,4888,0.28867513,0.14285715,BRCA,BRCA,True
178,4888,0.15811388,0.04761905,CESC,BRCA,False
179,6197,0.99999994,1.0,GBMLGG,LGG,False
180,4336,0.06622662,0.033333335,BRCA,STES,False
181,1421,0.058025885,0.024390243,KIPAN,LIHC,False
182,811,0.1490712,0.022222223,SKCM,THCA,False
183,890,0.1469988,0.077922076,ACC,ACC,True
184,2324,0.090909086,0.04761905,PAAD,BRCA,False
185,0,0.0,0.0,OV,KIPAN,False
186,519,0.07537784,0.03448276,KIPAN,STES,False
187,1038,0.051298916,0.02631579,CESC,UCEC,False
188,2902,0.02311251,0.011627907,LUAD,BLCA,False
189,4721,0.26726124,0.125,BRCA,BRCA,True
190,121,0.23570225,0.125,BRCA,LGG,False
191,0,0.0,0.0,LUSC,KIPAN,False
192,6163,1.0,1.0,KIRC,KIPAN,False
193,1705,0.053452246,0.022727273,KIPAN,STES,False
194,4435,0.045175392,0.009803922,UCEC,LAML,False
195,0,0.0,0.0,OV,KIPAN,False
196,3528,0.024883632,0.003058104,LAML,STES,False
197,0,0.0,0.0,BRCA,KIPAN,False
198,3651,0.13363062,0.03448276,LIHC,PCPG,False
199,811,0.40824828,0.16666667,THCA,THCA,True
200,0,0.0,0.0,PRAD,KIPAN,False
201,4420,0.13867505,0.0625,BRCA,BRCA,True
202,3394,1.0,1.0,KIRC,KIPAN,False
203,4763,0.08451543,0.03125,LIHC,DLBC,False
204,1664,0.026745234,0.004201681,BRCA,STES,False
205,0,0.0,0.0,SARC,KIPAN,False
206,2498,1.0,1.0,KIPAN,KIRC,False
207,4984,0.005389602,0.00040453076,SARC,UCEC,False
208,1605,0.058025885,0.024390243,BRCA,COAD,False
209,3651,0.11470787,0.025641026,LUSC,PCPG,False
210,0,0.0,0.0,SKCM,KIPAN,False
211,834,0.06085806,0.02,UCEC,OV,False
212,480,0.10910894,0.041666668,OV,OV,True
213,0,0.0,0.0,THYM,KIPAN,False
214,0,0.0,0.0,THCA,KIPAN,False
215,811,0.09325048,0.008695652,SKCM,THCA,False
216,4721,0.10783278,0.022727273,STES,BRCA,False
217,2061,0.028116079,0.012987013,LUAD,OV,False
218,2360,1.0,1.0,KIPAN,KIRC,False
219,0,0.0,0.0,CESC,KIPAN,False
220,689,0.07715168,0.04,KIPAN,KIPAN,True
221,848,0.12038585,0.04,COAD,SARC,False
222,811,0.12126782,0.014705882,SKCM,THCA,False
223,0,0.0,0.0,BRCA,KIPAN,False
224,33,1.0,1.0,KIPAN,KIRC,False
225,2098,0.99999994,1.0,KIPAN,KIRC,False
226,0,0.0,0.0,THCA,KIPAN,False
227,5989,0.0766965,0.03846154,KIPAN,KIPAN,True
