model,fold,profile_fold_macro_f1,blend_0.25_fold_macro_f1,blend_0.50_fold_macro_f1
bernoulli_nb,1,0.13699680750485135,0.3822445500477417,0.1614233476553902
complement_nb,1,0.2786811728850841,0.4824438631987536,0.46542221383151605
multinomial_nb,1,0.19862775202250185,0.4025181126128387,0.24251323938510722
prototype_cosine,1,0.3806633265803135,0.4749263268700875,0.47753136711934846
bernoulli_nb,2,0.13353007986704826,0.40017650681545003,0.16322560096622227
complement_nb,2,0.2748153666161556,0.49331484230083483,0.4688080016039183
multinomial_nb,2,0.22015548747488342,0.42140597224649345,0.2709424436970292
prototype_cosine,2,0.40619417464652524,0.4888344108563479,0.49144671777287835
bernoulli_nb,3,0.1230114281073489,0.359780730324436,0.13939869756942913
complement_nb,3,0.29237500504916536,0.4837074791652839,0.4858442551356467
multinomial_nb,3,0.20995666534546495,0.3958967929850323,0.24147130779015683
prototype_cosine,3,0.3683883569215546,0.4698818798029863,0.4725585381859145
bernoulli_nb,4,0.1438792234602216,0.38023583869588923,0.1613420175119255
complement_nb,4,0.26996731580567185,0.48005842758741285,0.4714469303423137
multinomial_nb,4,0.2368618840488691,0.41778709087991506,0.26871434069063055
prototype_cosine,4,0.3743631983985155,0.4777013923435154,0.4801155265403571
bernoulli_nb,5,0.13573813463003528,0.3926783297774032,0.1630177525895623
complement_nb,5,0.27231387700690557,0.5058529343203062,0.48856400870325223
multinomial_nb,5,0.2062409761562946,0.4188980442087597,0.2400196782915155
prototype_cosine,5,0.3838051177003298,0.5045956667892356,0.5051057012812341
