variant,fold,fold_macro_f1,fold_accuracy,feature_count,selected_raw_gene_count,signature_feature_count
structured_core,1,0.43800383534327525,0.42224012892828366,8134,1000,26935
structured_core_signature,1,0.4424342922278607,0.4246575342465753,35069,1000,26935
reduced_raw_gene_1000,1,0.4496300517780616,0.43110394842868655,4904,1000,26935
structured_core,2,0.4714238486587081,0.43870967741935485,8177,1000,26271
structured_core_signature,2,0.4758170383725112,0.4467741935483871,34448,1000,26271
reduced_raw_gene_1000,2,0.4662819689852201,0.43870967741935485,4948,1000,26271
structured_core,3,0.4413011196361205,0.4346774193548387,8143,1000,26303
structured_core_signature,3,0.4397294187458182,0.43951612903225806,34446,1000,26303
reduced_raw_gene_1000,3,0.4382839810351606,0.43629032258064515,4913,1000,26303
structured_core,4,0.4648433136876718,0.4467741935483871,8223,1000,28417
structured_core_signature,4,0.4744729707112242,0.4532258064516129,36640,1000,28417
reduced_raw_gene_1000,4,0.4685308505404603,0.4532258064516129,4995,1000,28417
structured_core,5,0.47589942525607665,0.4653225806451613,8199,1000,27113
structured_core_signature,5,0.48278864833876256,0.4645161290322581,35312,1000,27113
reduced_raw_gene_1000,5,0.4867363238811935,0.47096774193548385,4973,1000,27113
