true_class,predicted_class,count
GBMLGG,LGG,120
BRCA,OV,91
KIPAN,KIRC,75
BRCA,PRAD,65
PRAD,PCPG,44
THCA,THYM,41
THCA,PCPG,38
LGG,GBMLGG,38
KIPAN,LIHC,38
BRCA,SARC,37
BRCA,CESC,36
KIRC,KIPAN,36
LAML,THYM,35
LUAD,LUSC,35
BRCA,PCPG,34
BRCA,THYM,32
SARC,OV,32
STES,HNSC,31
THCA,PRAD,29
KIPAN,PRAD,27
BRCA,HNSC,26
KIPAN,TGCT,26
STES,COAD,25
SARC,PRAD,24
GBMLGG,UCEC,24
HNSC,LUSC,24
PRAD,THYM,23
KIRC,PRAD,23
STES,PAAD,23
LUSC,LUAD,22
PCPG,PRAD,21
GBMLGG,SARC,21
HNSC,CESC,20
BLCA,HNSC,20
COAD,STES,19
HNSC,STES,18
LUAD,LIHC,17
PCPG,THYM,17
UCEC,STES,16
STES,LUSC,16
BRCA,KIPAN,16
BRCA,UCEC,16
KIPAN,PCPG,15
BRCA,STES,15
PRAD,SARC,15
STES,UCEC,15
THYM,PCPG,15
SARC,PCPG,15
PAAD,OV,14
OV,BRCA,14
KIPAN,OV,14
BRCA,PAAD,14
HNSC,PAAD,13
OV,PAAD,13
STES,LUAD,13
UCEC,OV,13
OV,SARC,13
BRCA,LIHC,13
BRCA,KIRC,13
LAML,PCPG,13
PRAD,OV,12
PCPG,SARC,12
LUAD,CESC,12
UCEC,BRCA,12
BRCA,LUAD,12
LUSC,HNSC,11
SARC,BRCA,11
COAD,PAAD,11
LUSC,STES,11
KIPAN,SARC,11
GBMLGG,PAAD,11
GBMLGG,BRCA,11
HNSC,OV,10
CESC,SARC,10
SARC,THYM,10
OV,LUSC,10
GBMLGG,PRAD,10
STES,LIHC,10
CESC,BLCA,10
LIHC,LUSC,10
THYM,PRAD,10
PRAD,KIPAN,10
BLCA,LUSC,9
LUAD,STES,9
SARC,PAAD,9
BRCA,LUSC,9
KIRC,SARC,9
SARC,LIHC,9
OV,LIHC,9
THCA,LAML,9
BLCA,CESC,8
PRAD,LAML,8
KIRC,TGCT,8
SKCM,PRAD,8
DLBC,STES,8
STES,BRCA,8
PAAD,STES,8
CESC,UCEC,8
PRAD,BRCA,8
LUSC,LIHC,8
BRCA,GBMLGG,8
LIHC,STES,8
OV,PRAD,8
KIPAN,BRCA,8
HNSC,SARC,7
THYM,LAML,7
CESC,HNSC,7
CESC,BRCA,7
THYM,SARC,7
HNSC,KIPAN,7
KIPAN,STES,7
CESC,PRAD,7
LUAD,SARC,7
PRAD,KIRC,7
LIHC,KIPAN,7
BLCA,STES,7
BRCA,BLCA,7
TGCT,KIPAN,7
OV,TGCT,7
GBMLGG,CESC,7
GBMLGG,KIPAN,7
GBMLGG,LIHC,7
LUAD,HNSC,7
OV,KIPAN,7
LUAD,OV,7
PCPG,LAML,7
HNSC,BLCA,7
BRCA,LAML,6
LUAD,PRAD,6
KIRC,PCPG,6
LAML,OV,6
LIHC,SARC,6
LIHC,LUAD,6
KIRC,LIHC,6
KIPAN,THYM,6
KIPAN,HNSC,6
STES,CESC,6
SKCM,SARC,6
CESC,LUSC,6
COAD,OV,6
CESC,THYM,6
OV,STES,6
STES,PRAD,6
SKCM,THCA,6
GBMLGG,OV,6
GBMLGG,PCPG,6
GBMLGG,TGCT,6
GBMLGG,THYM,6
GBMLGG,LAML,6
SARC,CESC,6
HNSC,LUAD,6
HNSC,GBMLGG,6
BLCA,LIHC,5
LIHC,GBMLGG,5
PAAD,HNSC,5
TGCT,SARC,5
PAAD,COAD,5
UCEC,GBMLGG,5
UCEC,COAD,5
PCPG,KIRC,5
OV,LUAD,5
SKCM,KIPAN,5
STES,OV,5
KIRC,BRCA,5
UCEC,LIHC,5
HNSC,LIHC,5
HNSC,BRCA,5
BLCA,LUAD,5
GBMLGG,LUAD,5
STES,KIPAN,5
LIHC,HNSC,4
PAAD,TGCT,4
PRAD,LIHC,4
OV,KIRC,4
LIHC,UCEC,4
PAAD,CESC,4
LIHC,TGCT,4
PCPG,BRCA,4
LIHC,OV,4
LIHC,PRAD,4
LIHC,BRCA,4
UCEC,PRAD,4
LUSC,OV,4
SARC,TGCT,4
SARC,GBMLGG,4
TGCT,KIRC,4
KIRC,THYM,4
KIRC,OV,4
THCA,SARC,4
LAML,GBMLGG,4
STES,TGCT,4
LAML,PRAD,4
STES,THYM,4
CESC,PCPG,4
LGG,LAML,4
SKCM,LIHC,4
COAD,UCEC,4
THCA,BRCA,4
BRCA,TGCT,4
CESC,KIPAN,3
CESC,PAAD,3
HNSC,UCEC,3
PCPG,TGCT,3
BLCA,BRCA,3
HNSC,COAD,3
ACC,STES,3
KIPAN,GBMLGG,3
PCPG,THCA,3
LGG,THYM,3
OV,HNSC,3
GBMLGG,STES,3
OV,LAML,3
PAAD,PRAD,3
STES,SARC,3
