true_class,eb_ACC,eb_BLCA,eb_BRCA,eb_CESC,eb_COAD,eb_DLBC,eb_GBMLGG,eb_HNSC,eb_KIPAN,eb_KIRC,eb_LAML,eb_LGG,eb_LIHC,eb_LUAD,eb_LUSC,eb_OV,eb_PAAD,eb_PCPG,eb_PRAD,eb_SARC,eb_SKCM,eb_STES,eb_TGCT,eb_THCA,eb_THYM,eb_UCEC
KIPAN,0.00968447358625185,0.01742126680920855,0.016390123284543173,0.026855159690930393,0.026649663378023016,0.03509095086074505,0.03649180893472085,0.04182616352962608,0.05755816775903217,0.03939867139460194,0.00038622876014420216,0.005238510797915578,0.13815834232079255,0.07238159609466564,0.10933104946261642,0.04609814363065209,0.09299978762365843,0.0025751705492242506,0.03965014710006874,0.030281808147523983,0.023991067286222467,0.04514964752860184,0.07293707409543826,0.0014703539421124126,0.002801901713962685,0.009182721718717405
SARC,0.05448385583350342,0.015561994894373108,0.056585292189333135,0.0030636691061228997,0.013239021102048689,0.01621070393882789,0.22858000872696907,0.05915846207776118,0.04012070411683333,0.008301415869654143,0.003731318458665125,0.08172326917918583,0.02237127453606087,0.019887893461258747,0.002241559897343146,0.020308240337072257,0.13103385883629418,0.008141935253181604,0.001528159088348508,0.05636211376238507,0.0025538454097605748,0.11344521279233719,0.013108106012923256,0.0006084637419444807,0.0035381761174783912,0.024111445260333913
SKCM,0.00010180484688175472,0.0037977786378665984,3.4720959894541687e-05,0.0008923129564925204,0.0009201355251146994,0.0001921588040831074,0.0002615007594718554,0.004704514000236171,1.1804867812942054e-05,4.597554329234683e-06,2.098584587341123e-09,6.282397671737053e-06,0.00017960311824026797,0.002257257888809147,0.005062384545272208,1.7063124236956628e-06,0.00013334692211092522,1.565632777240332e-10,2.703106581712652e-07,0.00012524873611778915,0.9752298627187138,0.005898208527902472,5.84123365549553e-07,1.6156009328620996e-08,1.8252792689790484e-09,0.00018389525009442412
KIRC,0.003431800923071242,0.0036577903151301053,0.04298448403265679,0.035111831379779634,0.006985480312236423,0.009083252850624932,0.1022078967118361,0.010297022339251302,0.08989012687154976,0.16515114232366748,0.02460168610330651,0.034806309131380136,0.018067731486732793,0.016703826272374718,0.0033416325952316966,0.047506286324662854,0.015079726281571598,0.037666415801026525,0.18812359312323979,0.04572336229939856,0.011835447168198938,0.005865916900672089,0.019194484708929725,0.03258824137535305,0.014179080496575716,0.01591543187154154
GBMLGG,0.0004878834935709215,0.00717003748701392,0.00896741779201352,0.0007340130624980054,0.026749890872811898,0.002649427729731801,0.15980602031692379,0.030470528104615053,0.008897073138693385,0.0026311474982864407,5.696263268467872e-05,0.014614556212652756,0.024274985068921333,0.01927197631823857,0.13278787689056623,0.1364489728103948,0.20688090222744235,7.94111218033899e-05,0.0017677411983196506,0.021544900617158292,0.008334945486162437,0.06745979610243702,0.010124766711848993,0.00012614821873670396,0.00026705705555954466,0.1073955618309145
STES,8.54983828076486e-05,0.0031094812535841523,0.00012873945806076464,0.00011811385305576658,0.0029514488477366033,0.0058490677151461,4.65976673867219e-05,0.002582428567631061,0.0007532498148863097,1.7588273906170102e-06,3.975002271859117e-12,1.823669433102951e-08,0.0052381503608398975,0.0005437072950880247,0.00048463152382950914,4.410715800112047e-08,7.123070573511248e-07,7.381934309373092e-13,2.7346484008305866e-10,2.1857180365579113e-07,0.001339493930722678,0.9286136233955298,6.520480298217822e-08,3.1006159688990287e-12,7.135437729969361e-09,0.0481529432620716
BRCA,0.0004968623392810643,0.0016419978329949684,0.43420842245694674,0.01569182610403473,0.0037269727288965354,0.0034932689705670225,0.013800002620468146,0.003045025744167625,0.02095627223800782,0.026047127294830004,0.15974529071271287,0.011557118024080435,0.004301536358236517,0.002954960564866673,0.00036033752221230494,0.013412355431663093,0.002591738474709248,0.08282734445241055,0.07517477862329928,0.0226628016449628,0.003065523921183388,0.00201193196494081,0.0025648437414268984,0.03276805203795428,0.02973558191906354,0.031158026276082648
THCA,0.0002167661724721813,8.609741171679352e-05,0.014988988509027319,0.011685292341291138,0.00044595438277359405,0.0002731598604039494,0.010071175391880885,0.0007197668383217146,0.004223239309385674,0.0038577357372343397,0.15441279511197362,0.013785176866712595,0.0005954964596522126,0.0005452162200503555,5.53707865889948e-05,0.003901052944099602,0.006054181177345728,0.22300633700829273,0.1122922892416719,0.061933196425644786,0.001383605198856691,0.0001033626321816713,0.00175148713586472,0.20774546286267637,0.16441323190270316,0.0014535620711772668
LIHC,0.005682589155534304,0.0071033515791739015,0.055221126794944266,0.05117228376203518,0.007967270168629838,0.021523686637034647,0.02427318936117583,0.007728464153665897,0.05856471647825117,0.07558424205276945,0.009799255290889191,0.009043287700604495,0.05932066357943874,0.010214269403800246,0.004391592565910528,0.06784194123928389,0.03661269036459141,0.05650129675938102,0.13400177975841368,0.11470914904501596,0.008944849696097585,0.018154083250955792,0.07362096931537121,0.030015882817474204,0.024292046781114483,0.027715322288443072
STES,0.0024117171909769,0.002552047020139875,0.013403417209653474,0.08789994215006333,0.16959718626929923,0.009037441977516165,0.04127693733080587,0.07708001480905638,0.00826431940884405,0.007523320951172335,0.0005654770318489104,0.00830918028794353,0.04224538619177248,0.06085872549322914,0.03213551411451419,0.015685937136360083,0.14257321398202652,0.0017870867957067427,0.008482730394826167,0.06079725074997936,0.03865614706005813,0.13373320401724006,0.009371839882119162,0.004073173455202721,0.0027164105607363686,0.018962378528908846
