class,event_type,count,rate
ACC,MISSENSE,2393,0.8429024304332512
ACC,OTHER,192,0.06762944698837618
ACC,FRAMESHIFT,160,0.05635787249031349
ACC,NONSENSE,94,0.03311025008805918
BLCA,MISSENSE,6283,0.8570454235438548
BLCA,OTHER,370,0.050470604283181016
BLCA,NONSENSE,467,0.06370208702769063
BLCA,FRAMESHIFT,211,0.028781885145273495
BRCA,MISSENSE,10825,0.7898000875528965
BRCA,FRAMESHIFT,1010,0.073690354589231
BRCA,NONSENSE,804,0.058660440682912596
BRCA,OTHER,1067,0.07784911717495988
CESC,MISSENSE,5747,0.8402046783625731
CESC,FRAMESHIFT,95,0.013888888888888888
CESC,OTHER,480,0.07017543859649122
CESC,NONSENSE,518,0.07573099415204679
COAD,MISSENSE,12982,0.7961486569360972
COAD,OTHER,1484,0.0910094443763032
COAD,NONSENSE,1270,0.07788544094198455
COAD,FRAMESHIFT,570,0.03495645774561511
DLBC,MISSENSE,2173,0.8481654957064794
DLBC,OTHER,272,0.10616705698672912
DLBC,NONSENSE,61,0.023809523809523808
DLBC,FRAMESHIFT,56,0.02185792349726776
GBMLGG,MISSENSE,5076,0.8783526561688874
GBMLGG,OTHER,95,0.016438830247447654
GBMLGG,FRAMESHIFT,311,0.053815539020591795
GBMLGG,NONSENSE,297,0.05139297456307319
HNSC,MISSENSE,7854,0.8681330827898751
HNSC,NONSENSE,542,0.059909362219520285
HNSC,OTHER,287,0.03172322316790096
HNSC,FRAMESHIFT,364,0.04023433182270366
KIPAN,MISSENSE,7033,0.8512466715081094
KIPAN,NONSENSE,362,0.043815056886952315
KIPAN,FRAMESHIFT,738,0.08932461873638345
KIPAN,OTHER,129,0.01561365286855483
KIRC,MISSENSE,3758,0.844115004492363
KIRC,NONSENSE,222,0.04986522911051213
KIRC,FRAMESHIFT,407,0.09141958670260557
KIRC,OTHER,65,0.014600179694519317
LAML,MISSENSE,388,0.8033126293995859
LAML,NONSENSE,22,0.045548654244306416
LAML,FRAMESHIFT,72,0.14906832298136646
LAML,OTHER,1,0.002070393374741201
LGG,MISSENSE,1724,0.8663316582914573
LGG,FRAMESHIFT,133,0.06683417085427136
LGG,NONSENSE,92,0.04623115577889447
LGG,OTHER,41,0.020603015075376884
LIHC,MISSENSE,4470,0.9028479095132297
LIHC,FRAMESHIFT,200,0.040395879620278734
LIHC,NONSENSE,194,0.03918400323167037
LIHC,OTHER,87,0.017572207634821247
LUAD,MISSENSE,9207,0.8620786516853932
LUAD,FRAMESHIFT,444,0.04157303370786517
LUAD,OTHER,429,0.040168539325842696
LUAD,NONSENSE,600,0.056179775280898875
LUSC,MISSENSE,10907,0.8813025210084033
LUSC,NONSENSE,805,0.06504524886877829
LUSC,OTHER,519,0.041936005171299286
LUSC,FRAMESHIFT,145,0.01171622495151907
OV,MISSENSE,3312,0.8970747562296858
OV,FRAMESHIFT,160,0.04333694474539545
OV,NONSENSE,192,0.05200433369447454
OV,OTHER,28,0.007583965330444204
PAAD,MISSENSE,2974,0.6830500689021589
PAAD,NONSENSE,321,0.07372531005971521
PAAD,FRAMESHIFT,51,0.011713367018833257
PAAD,OTHER,1008,0.2315112540192926
PCPG,MISSENSE,535,0.8218125960061444
PCPG,FRAMESHIFT,68,0.10445468509984639
PCPG,NONSENSE,27,0.041474654377880185
PCPG,OTHER,21,0.03225806451612903
PRAD,MISSENSE,1847,0.9014153245485603
PRAD,NONSENSE,77,0.037579306979014154
PRAD,FRAMESHIFT,95,0.04636408003904344
PRAD,OTHER,30,0.014641288433382138
SARC,MISSENSE,2150,0.8461235733963006
SARC,FRAMESHIFT,131,0.051554506099960644
SARC,NONSENSE,130,0.05116096025186934
SARC,OTHER,130,0.05116096025186934
SKCM,MISSENSE,29435,0.8046966838896634
SKCM,NONSENSE,1783,0.048743814757101066
SKCM,OTHER,4975,0.13600699855108123
SKCM,FRAMESHIFT,383,0.010470488531671178
SKCM,INFRAME_DEL,3,8.201427048306405e-05
STES,MISSENSE,24710,0.7966342123928042
STES,OTHER,1781,0.057418273260687346
STES,FRAMESHIFT,3238,0.10439099877490489
STES,NONSENSE,1289,0.041556515571603586
TGCT,MISSENSE,1905,0.918958031837916
TGCT,NONSENSE,93,0.04486251808972504
TGCT,FRAMESHIFT,54,0.02604920405209841
TGCT,OTHER,21,0.010130246020260492
THCA,MISSENSE,1217,0.8838053740014524
THCA,OTHER,74,0.05374001452432825
THCA,NONSENSE,39,0.02832244008714597
THCA,FRAMESHIFT,47,0.03413217138707335
THYM,MISSENSE,360,0.8391608391608392
THYM,FRAMESHIFT,44,0.10256410256410256
THYM,NONSENSE,20,0.046620046620046623
THYM,OTHER,5,0.011655011655011656
UCEC,MISSENSE,19150,0.7219331976174319
UCEC,NONSENSE,2500,0.09424715373595717
UCEC,FRAMESHIFT,355,0.013383095830505919
UCEC,OTHER,4521,0.17043655281610495
