true_class,true_rank,top1_class,top1_probability,margin,entropy,correct
KIPAN,6,LIHC,0.13815834232079255,0.028827292858176132,2.8769308942718754,False
SARC,7,GBMLGG,0.22858000872696907,0.0975461498906749,2.5930689208445554,False
SKCM,1,SKCM,0.9752298627187138,0.9693316541908114,0.1651691786726939,True
KIRC,2,PRAD,0.18812359312323979,0.022972450799572303,2.715606939117437,False
GBMLGG,2,PAAD,0.20688090222744235,0.04707488191051856,2.3567541557871197,False
STES,1,STES,0.9286136233955298,0.8804606801334581,0.34854807865533466,True
BRCA,1,BRCA,0.43420842245694674,0.27446313174423387,2.0532739399168,True
THCA,2,PCPG,0.22300633700829273,0.01526087414561636,2.0348690753204424,False
LIHC,6,PRAD,0.13400177975841368,0.01929263071339772,2.8986854739339205,False
STES,3,COAD,0.16959718626929923,0.027023972287272713,2.625978904473882,False
STES,24,PCPG,0.12673672434697975,0.0035507826318943725,2.8979042343258437,False
HNSC,4,LUAD,0.14739788320979247,0.009899749849711537,2.6704366277597007,False
KIRC,6,BRCA,0.21337414672146507,0.03040003902539773,2.656516758212102,False
PAAD,1,PAAD,0.22744466263169397,0.07752185517565405,2.5688553366218927,True
SKCM,1,SKCM,0.9967077953643076,0.9954636709596743,0.027699871426352572,True
OV,21,KIPAN,0.1269470956899153,0.013283730145505226,2.851682410752822,False
KIPAN,9,STES,0.15576557866306298,0.05724710047478268,2.906640173993264,False
KIPAN,2,KIRC,0.42562463280387014,0.16297731715219177,1.6287096356868886,False
BRCA,7,LAML,0.41899782563314675,0.28824343816429093,1.8969773874821276,False
PRAD,3,BRCA,0.11859613894955848,6.734580359772646e-05,2.919607484410715,False
GBMLGG,13,THYM,0.3653799254112498,0.20850927892007587,2.009855356817581,False
UCEC,4,OV,0.30843171928838,0.0860063893272662,2.1419202038701286,False
GBMLGG,1,GBMLGG,0.41947332055285974,0.25627174661632923,2.0580190538322496,True
LAML,1,LAML,0.17731030832151756,0.053080466545911836,2.7425979717428826,True
COAD,1,COAD,0.7467349305317881,0.5870893702702722,0.8182632663001184,True
STES,1,STES,0.4262331916352026,0.3254536234985291,2.132723583062318,True
BRCA,1,BRCA,0.2776689995208535,0.09377395183181869,2.570365332528794,True
THCA,1,THCA,0.8682856376941808,0.8393747293328496,0.6878747502025911,True
BRCA,7,PCPG,0.17221960191330646,0.011481107118645861,2.5389551377577977,False
SKCM,1,SKCM,0.9785516218348825,0.9716559340145603,0.14514222967520107,True
ACC,1,ACC,0.9779936232790851,0.9723421799226472,0.16150353362073805,True
GBMLGG,2,LGG,0.5556385304185959,0.2418949213311094,1.2564592383424154,False
HNSC,1,HNSC,0.5306853608382186,0.44964128197911357,1.8689564367325293,True
KIRC,1,KIRC,0.3076588906910292,0.14474697869401174,2.503778735952372,True
KIRC,1,KIRC,0.7915807369591455,0.6474148593272465,0.820647933797963,True
PRAD,2,PCPG,0.20124813193948793,0.07167396652228344,2.5366737668145434,False
LGG,1,LGG,0.5313226284106746,0.1733408771577195,1.2363098930075096,True
LUSC,2,STES,0.334318649255442,0.006501823305970156,1.870808753698159,False
LUSC,1,LUSC,0.37469973354356306,0.25415490552436837,2.1856163595582894,True
BRCA,2,OV,0.3343008685115615,0.21414225509283047,2.4538918190697387,False
BRCA,4,OV,0.19907878742460727,0.04858752819854406,2.663159301156144,False
UCEC,1,UCEC,0.9696443166208704,0.9582094457482058,0.1948535559410314,True
KIRC,1,KIRC,0.7602328832565001,0.5467839962552297,0.7032956306903648,True
GBMLGG,2,LGG,0.496049273472072,0.13467809246694656,1.388777770164689,False
ACC,1,ACC,0.6532529072739357,0.48605159528031094,1.290871813885048,True
LUAD,2,LIHC,0.2702244213513132,0.0646654812411521,2.4053954906202963,False
BRCA,1,BRCA,0.5330368707050726,0.47143563620025186,2.061073354105241,True
SKCM,1,SKCM,0.8673320542816726,0.7711126166650707,0.5240701570565839,True
STES,1,STES,0.09458901125319137,0.009471736239688666,2.9554854173292364,True
LUSC,1,LUSC,0.45373093900284556,0.32000397629434674,1.8676348506803124,True
ACC,1,ACC,0.9884919283383858,0.9868745004813404,0.09466620020649759,True
BRCA,2,PRAD,0.0977509479945983,0.0028198510730109982,2.9836895971663617,False
KIRC,1,KIRC,0.4368544017140609,0.20200981747522423,1.680866781815153,True
GBMLGG,1,GBMLGG,0.33949491231460044,0.08853155335362545,2.2031538721030026,True
UCEC,2,COAD,0.5798805707844883,0.3654786790461343,1.2386461773556285,False
PRAD,7,PCPG,0.14069033281295346,0.06338617555156931,2.935345873320578,False
BRCA,1,BRCA,0.20395876752155043,0.06415692061405054,2.828065125022761,True
BRCA,4,PCPG,0.1477895282099876,0.0014812350794758677,2.707121889305096,False
STES,1,STES,0.9925610413078378,0.9900819497908481,0.05428254040958705,True
KIPAN,1,KIPAN,0.5758220034954596,0.2539115880376465,1.1852632460810997,True
UCEC,1,UCEC,0.8893304006393048,0.8652138264172892,0.6398824560530989,True
KIRC,2,PRAD,0.16656226967738505,0.017930000544521013,2.725975219867289,False
KIRC,1,KIRC,0.5650964724137197,0.22616728134830133,1.1813615781730216,True
BRCA,1,BRCA,0.19750858571840804,0.026865558493736424,2.5559951644352306,True
