seed,fold,variant,macro_f1,feature_count
42,1,P1_EB,0.5119123146223086,8160
42,1,selective_EB_gate,0.5098772888112394,8160
42,1,eb_offset_residual,0.5087783843199412,20768
42,2,P1_EB,0.5451421793845814,8203
42,2,selective_EB_gate,0.5427922840363438,8203
42,2,eb_offset_residual,0.5282237852656115,20768
42,3,P1_EB,0.5302623182223564,8169
42,3,selective_EB_gate,0.5380076447413735,8169
42,3,eb_offset_residual,0.5193732280535399,20768
42,4,P1_EB,0.5523581381069783,8249
42,4,selective_EB_gate,0.5538717011271724,8249
42,4,eb_offset_residual,0.5321595577822816,20768
42,5,P1_EB,0.5311088221652434,8225
42,5,selective_EB_gate,0.5355926895965468,8225
42,5,eb_offset_residual,0.527217984628268,20768
