class,recall,f1,support,variant
ACC,0.8333333333333334,0.8695652173913043,72,G0_P1_EB
BLCA,0.49038461538461536,0.4811320754716981,104,G0_P1_EB
BRCA,0.43765903307888043,0.546031746031746,786,G0_P1_EB
CESC,0.4645161290322581,0.4235294117647059,155,G0_P1_EB
COAD,0.7488789237668162,0.7405764966740577,223,G0_P1_EB
DLBC,0.5789473684210527,0.5641025641025641,38,G0_P1_EB
GBMLGG,0.37093275488069416,0.48857142857142855,461,G0_P1_EB
HNSC,0.37668161434977576,0.3888888888888889,223,G0_P1_EB
KIPAN,0.5436893203883495,0.6208425720620843,515,G0_P1_EB
KIRC,0.7395209580838323,0.7169811320754716,334,G0_P1_EB
LAML,0.5506329113924051,0.5454545454545454,158,G0_P1_EB
LGG,0.74235807860262,0.6273062730627307,229,G0_P1_EB
LIHC,0.4810126582278481,0.4233983286908078,158,G0_P1_EB
LUAD,0.32608695652173914,0.3761755485893417,184,G0_P1_EB
LUSC,0.6235955056179775,0.5536159600997507,178,G0_P1_EB
OV,0.5928853754940712,0.4622496147919877,253,G0_P1_EB
PAAD,0.5416666666666666,0.4318936877076412,120,G0_P1_EB
PCPG,0.4217687074829932,0.31876606683804626,147,G0_P1_EB
PRAD,0.5075187969924813,0.38028169014084506,266,G0_P1_EB
SARC,0.25252525252525254,0.24390243902439024,198,G0_P1_EB
SKCM,0.8405797101449275,0.9027237354085603,276,G0_P1_EB
STES,0.5171503957783641,0.5584045584045584,379,G0_P1_EB
TGCT,0.7741935483870968,0.6213592233009708,124,G0_P1_EB
THCA,0.5771604938271605,0.6977611940298507,324,G0_P1_EB
THYM,0.5204081632653061,0.2991202346041056,98,G0_P1_EB
UCEC,0.6161616161616161,0.6115288220551378,198,G0_P1_EB
