class,recall,f1,support,variant
ACC,0.8333333333333334,0.8633093525179856,72,G1_legacy_parser
BLCA,0.4807692307692308,0.4694835680751174,104,G1_legacy_parser
BRCA,0.43638676844783714,0.5435816164817749,786,G1_legacy_parser
CESC,0.4645161290322581,0.4247787610619469,155,G1_legacy_parser
COAD,0.7443946188340808,0.7361419068736141,223,G1_legacy_parser
DLBC,0.5526315789473685,0.5384615384615384,38,G1_legacy_parser
GBMLGG,0.368763557483731,0.4864091559370529,461,G1_legacy_parser
HNSC,0.37668161434977576,0.3853211009174312,223,G1_legacy_parser
KIPAN,0.545631067961165,0.6237513873473918,515,G1_legacy_parser
KIRC,0.7335329341317365,0.7091172214182344,334,G1_legacy_parser
LAML,0.5443037974683544,0.5443037974683544,158,G1_legacy_parser
LGG,0.74235807860262,0.6273062730627307,229,G1_legacy_parser
LIHC,0.4810126582278481,0.4257703081232493,158,G1_legacy_parser
LUAD,0.33152173913043476,0.3836477987421384,184,G1_legacy_parser
LUSC,0.6348314606741573,0.5635910224438903,178,G1_legacy_parser
OV,0.5928853754940712,0.4622496147919877,253,G1_legacy_parser
PAAD,0.5416666666666666,0.429042904290429,120,G1_legacy_parser
PCPG,0.41496598639455784,0.3128205128205128,147,G1_legacy_parser
PRAD,0.49624060150375937,0.37130801687763715,266,G1_legacy_parser
SARC,0.25252525252525254,0.24630541871921183,198,G1_legacy_parser
SKCM,0.8405797101449275,0.9027237354085603,276,G1_legacy_parser
STES,0.5145118733509235,0.5563480741797432,379,G1_legacy_parser
TGCT,0.7741935483870968,0.6233766233766234,124,G1_legacy_parser
THCA,0.5771604938271605,0.6951672862453532,324,G1_legacy_parser
THYM,0.5204081632653061,0.2991202346041056,98,G1_legacy_parser
UCEC,0.6161616161616161,0.6130653266331658,198,G1_legacy_parser
