seed,class,support,P1_non_EB,P1_EB,selective_EB_gate,delta_gate_vs_eb
31415,ACC,72,0.8208955223880597,0.8920863309352518,0.8776978417266187,-0.014388489208633115
31415,BLCA,104,0.45901639344262296,0.5022421524663677,0.5047619047619047,0.0025197522955370255
31415,BRCA,786,0.5291700903861956,0.5366242038216561,0.5306122448979592,-0.006011958923696881
31415,CESC,155,0.4307692307692308,0.4074074074074074,0.4485981308411215,0.041190723433714105
31415,COAD,223,0.755656108597285,0.7612612612612613,0.7625570776255708,0.0012958163643095322
31415,DLBC,38,0.4230769230769231,0.5432098765432098,0.5915492957746479,0.04833941923143803
31415,GBMLGG,461,0.5361366622864652,0.49361702127659574,0.5041322314049587,0.010515210128362928
31415,HNSC,223,0.3778801843317972,0.37850467289719625,0.38571428571428573,0.0072096128170894835
31415,KIPAN,515,0.5689084895259096,0.5977777777777777,0.6010928961748634,0.003315118397085648
31415,KIRC,334,0.6396526772793053,0.6878612716763006,0.6832116788321168,-0.00464959284418387
31415,LAML,158,0.5953177257525084,0.5676567656765676,0.6033898305084746,0.03573306483190697
31415,LGG,229,0.6666666666666666,0.6431226765799256,0.6483516483516484,0.005228971771722768
31415,LIHC,158,0.3979591836734694,0.39572192513368987,0.40318302387267907,0.0074610987389892025
31415,LUAD,184,0.34421364985163205,0.35365853658536583,0.3404255319148936,-0.013233004670472226
31415,LUSC,178,0.5433255269320844,0.5663265306122449,0.5432098765432098,-0.02311665406903507
31415,OV,253,0.46540880503144655,0.459214501510574,0.4574961360123648,-0.001718365498209251
31415,PAAD,120,0.4492753623188406,0.40924092409240925,0.43097643097643096,0.021735506884021705
31415,PCPG,147,0.331002331002331,0.33962264150943394,0.3341404358353511,-0.005482205674082863
31415,PRAD,266,0.3395638629283489,0.36033519553072624,0.3611532625189681,0.0008180669882418834
31415,SARC,198,0.26666666666666666,0.22885572139303484,0.25943396226415094,0.030578240871116102
31415,SKCM,276,0.8936170212765957,0.8953488372093024,0.8949416342412452,-0.00040720296805718537
