seed,variant,fold,macro_f1,feature_count
31415,P1_non_EB,1,0.5184896590875712,8201.2
31415,P1_non_EB,2,0.5207655785583812,8201.2
31415,P1_non_EB,3,0.5207372604269636,8201.2
31415,P1_non_EB,4,0.5223795425966702,8201.2
31415,P1_non_EB,5,0.5183966756203916,8201.2
31415,P1_EB,1,0.5184887411548007,8201.2
31415,P1_EB,2,0.5207496464624675,8201.2
31415,P1_EB,3,0.5262842565698743,8201.2
31415,P1_EB,4,0.5372645392559501,8201.2
31415,P1_EB,5,0.5302766149619047,8201.2
31415,selective_EB_gate,1,0.5206110744821315,8201.2
31415,selective_EB_gate,2,0.529886013073498,8201.2
31415,selective_EB_gate,3,0.5304582652242925,8201.2
31415,selective_EB_gate,4,0.5440599749045354,8201.2
31415,selective_EB_gate,5,0.5400014247041225,8201.2
52,P1_non_EB,1,0.5210506836284596,8201.2
52,P1_non_EB,2,0.5227949752969443,8201.2
52,P1_non_EB,3,0.5214065820552294,8201.2
52,P1_non_EB,4,0.5300269046202464,8201.2
52,P1_non_EB,5,0.5375932569218509,8201.2
52,P1_EB,1,0.5155540230988104,8201.2
52,P1_EB,2,0.5165221105459111,8201.2
52,P1_EB,3,0.5369263508456986,8201.2
52,P1_EB,4,0.5160157143416139,8201.2
52,P1_EB,5,0.5417964216591927,8201.2
52,selective_EB_gate,1,0.5220615285314305,8201.2
52,selective_EB_gate,2,0.5331793861059521,8201.2
52,selective_EB_gate,3,0.5410649119505028,8201.2
52,selective_EB_gate,4,0.5218485671221256,8201.2
52,selective_EB_gate,5,0.5589399367892913,8201.2
62,P1_non_EB,1,0.5444016034652928,8201.2
62,P1_non_EB,2,0.5032482842651951,8201.2
62,P1_non_EB,3,0.5446705892638825,8201.2
62,P1_non_EB,4,0.51193007191501,8201.2
62,P1_non_EB,5,0.5367708747259238,8201.2
62,P1_EB,1,0.5426640935142573,8201.2
62,P1_EB,2,0.5349027799015403,8201.2
62,P1_EB,3,0.5351136635256597,8201.2
62,P1_EB,4,0.5088773718638652,8201.2
62,P1_EB,5,0.5220294853664742,8201.2
62,selective_EB_gate,1,0.5442399966587903,8201.2
62,selective_EB_gate,2,0.5250436810748393,8201.2
62,selective_EB_gate,3,0.5423363443052174,8201.2
62,selective_EB_gate,4,0.5279289008259198,8201.2
62,selective_EB_gate,5,0.5228023084169663,8201.2
