class,evidence_set_network
ACC,0.30196936542669583
BLCA,0.2419753086419753
BRCA,0.47993705743509046
CESC,0.08490566037735849
COAD,0.592156862745098
DLBC,0.24615384615384617
GBMLGG,0.33472803347280333
HNSC,0.282642089093702
KIPAN,0.2575107296137339
KIRC,0.4514003294892916
LAML,0.490272373540856
LGG,0.5772230889235569
LIHC,0.23870967741935484
LUAD,0.09418282548476455
LUSC,0.208067940552017
OV,0.3436123348017621
PAAD,0.041025641025641026
PCPG,0.1762114537444934
PRAD,0.18072289156626506
SARC,0.06688963210702341
SKCM,0.4372093023255814
STES,0.27340267459138184
TGCT,0.21395348837209302
THCA,0.6619217081850534
THYM,0.050314465408805034
UCEC,0.412
