fold,epoch,phase,loss
1,1,train,3.0937185887367495
1,2,train,2.8593064877294725
1,3,train,2.7072826985389957
1,4,train,2.623724454449069
1,5,train,2.625927383668961
1,6,train,2.6077292057775683
1,7,train,2.532945929804156
1,8,train,2.563129178939327
1,9,train,2.5101870275312854
1,10,train,2.4848541505875126
1,11,train,2.494483310945572
1,12,train,2.469535752265684
1,13,train,2.4810025615076863
1,14,train,2.4506003779749714
1,15,train,2.4420120516131
1,16,train,2.4231922165040047
1,17,train,2.4494282522509176
1,18,train,2.416714665197557
1,19,train,2.4363112234300184
1,20,train,2.3858214478338917
1,21,train,2.4128161353449666
1,22,train,2.391730782293504
1,23,train,2.389919662475586
1,24,train,2.408320406944521
1,25,train,2.3806249987694525
1,26,train,2.3839806741283787
1,27,train,2.367478964405675
1,28,train,2.3637336238738027
1,29,train,2.378875593985281
1,30,train,2.35296579945472
1,31,train,2.3602950726785967
1,32,train,2.3661634783590992
1,33,train,2.3456890444601735
1,34,train,2.3352518220101635
1,35,train,2.3480245251809397
1,36,train,2.3311485352054717
1,37,train,2.334497494851389
1,38,train,2.33617733986147
1,39,train,2.3505400596126433
1,40,train,2.359771790043
1,41,train,2.326321344990884
1,42,train,2.3198233819776966
1,43,train,2.3123419069474744
1,44,train,2.3120261884504747
1,45,train,2.312072970790248
1,46,train,2.30930111177506
1,47,train,2.3250635670077417
1,48,train,2.325705341369875
1,49,train,2.339483490297871
1,50,train,2.3143270215680523
1,51,train,2.3120625095982708
1,52,train,2.2917592517791254
1,53,train,2.3001961077413253
1,54,train,2.3053112368429862
1,55,train,2.300441023611253
1,56,train,2.2981989645188854
1,57,train,2.3140368169353853
1,58,train,2.291296314424084
1,59,train,2.302794018099385
1,60,train,2.2875854307605374
2,1,train,3.1072791807355
2,2,train,2.852764679284568
2,3,train,2.680556010104216
2,4,train,2.65941368247972
2,5,train,2.613404543499292
2,6,train,2.5912168952539743
2,7,train,2.579940046665289
2,8,train,2.565342506365631
2,9,train,2.5376817134810272
2,10,train,2.523461555478266
2,11,train,2.497990452890025
2,12,train,2.466174986929068
2,13,train,2.48716995264825
