true_class,evidence_set_network__ACC,evidence_set_network__BLCA,evidence_set_network__BRCA,evidence_set_network__CESC,evidence_set_network__COAD,evidence_set_network__DLBC,evidence_set_network__GBMLGG,evidence_set_network__HNSC,evidence_set_network__KIPAN,evidence_set_network__KIRC,evidence_set_network__LAML,evidence_set_network__LGG,evidence_set_network__LIHC,evidence_set_network__LUAD,evidence_set_network__LUSC,evidence_set_network__OV,evidence_set_network__PAAD,evidence_set_network__PCPG,evidence_set_network__PRAD,evidence_set_network__SARC,evidence_set_network__SKCM,evidence_set_network__STES,evidence_set_network__TGCT,evidence_set_network__THCA,evidence_set_network__THYM,evidence_set_network__UCEC
KIPAN,0.061419178,0.06794842,0.025129711,0.057219293,0.03571035,0.044604216,0.015134289,0.0531386,0.016816214,0.018712303,0.00606,0.006005651,0.08039017,0.051324707,0.06574757,0.02049749,0.04063383,0.007048721,0.005830271,0.036621217,0.14219023,0.040564466,0.018618688,0.0022933593,0.021768864,0.05857224
SARC,0.0040548416,0.021789502,0.0031878517,0.0013956922,0.005182041,0.0014816789,0.38912764,0.02098878,0.0007329049,0.00048602838,0.00066549476,0.4506398,0.004564208,0.006490844,0.00524761,0.029361092,0.0038888776,0.0020937338,0.0005949197,0.036395382,0.0024822527,0.0038886499,0.00057706813,0.00021020076,0.0005020097,0.0039709625
SKCM,0.07390492,0.10423213,0.00056003546,0.002909305,0.009671066,0.02407438,0.0014367821,0.00478131,0.00014899696,6.716248e-05,0.0006952331,0.00268031,0.007228164,0.009830757,0.011695101,0.0001867036,0.010309774,0.0005615185,4.2292446e-05,0.0012380143,0.7016686,0.006675161,0.0069554583,2.9832586e-06,0.005707219,0.012736713
KIRC,0.016716216,0.033254646,0.024328602,0.0071158423,0.009781991,0.021111663,0.45313254,0.030531788,0.015183894,0.03928459,0.031601332,0.029247034,0.03447594,0.019450357,0.012589703,0.04154664,0.036999404,0.016651208,0.032038115,0.02342931,0.011045017,0.0072462386,0.017797522,0.009617002,0.018555755,0.007267679
GBMLGG,0.008237236,0.116873324,0.034265332,0.01005441,0.08127961,0.019278651,0.020810056,0.05527649,0.004311675,0.0012834199,0.0030504675,0.0136677595,0.086061396,0.063181,0.089874476,0.116311185,0.055240586,0.0019196335,0.002077299,0.016279103,0.026533026,0.07560399,0.0028557347,9.3496994e-05,0.0029132422,0.092667334
STES,0.0001195708,0.0061791674,2.1969743e-05,0.0011324002,0.006084506,0.0042892885,2.5905524e-07,0.00042495312,2.735631e-07,1.5130661e-07,7.2561526e-11,1.4062301e-10,0.00047082003,0.00033656848,0.0030884568,3.766143e-08,8.499929e-07,1.3469832e-10,1.3517762e-09,4.285626e-08,0.0038758472,0.94045824,7.396936e-08,9.011944e-12,2.0104952e-08,0.033516526
BRCA,0.007014577,0.02621572,0.5411205,0.046420198,0.002606071,0.008265862,0.021694418,0.0097100455,0.0061489646,0.011723198,0.20416898,0.017710507,0.012692965,0.0044228025,0.007946875,0.005681054,0.007995672,0.006906929,0.0068234964,0.006390751,0.004053068,0.0051621078,0.008173434,0.005987596,0.0067902016,0.008173926
THCA,0.05857903,0.06330566,0.046794273,0.06675699,0.06374794,0.042591948,0.054028366,0.008137398,0.05245853,0.058561817,0.06662648,0.008730206,0.0023568214,0.0019824496,0.0020501674,0.062683806,0.0016166678,0.06716103,0.061960597,0.0053562983,0.008070926,0.0037637742,0.06600058,0.0590048,0.062453516,0.0052200016
LIHC,0.44113457,0.036756217,0.038951322,0.02188946,0.019486966,0.029931037,0.024710434,0.026635678,0.016095357,0.04307563,0.022798134,0.033346076,0.020787757,0.0086773615,0.005764312,0.030050779,0.0067615765,0.03284353,0.030543687,0.03729027,0.011384721,0.0027316348,0.019315211,0.016272835,0.02104019,0.0017251278
STES,0.019962557,0.0644449,0.047593612,0.05785293,0.03574112,0.011254231,0.02965361,0.06377253,0.015288364,0.016221482,0.0029836483,0.013512795,0.07890237,0.07598113,0.08274646,0.029528743,0.035594072,0.004280092,0.014053147,0.018339701,0.22117704,0.020949129,0.012309913,0.003645633,0.0059646256,0.018246211
STES,0.011031412,0.012804053,0.027648019,0.010396424,0.011943281,0.007636167,0.02566905,0.024949262,0.021045221,0.029354107,0.021380158,0.024384039,0.51987773,0.008266612,0.016847653,0.027000418,0.011865216,0.021303818,0.029645966,0.017232645,0.004607091,0.004475516,0.018087287,0.02524246,0.027281636,0.040024698
HNSC,0.023922268,0.07966893,0.02230968,0.08753603,0.050515205,0.02011385,0.0074730343,0.07619821,0.010345178,0.008910638,0.0012345626,0.006084817,0.06579449,0.09552516,0.19454302,0.012813267,0.057488028,0.0020076144,0.0036976072,0.011630627,0.071528405,0.033898335,0.009511732,0.00106627,0.0043154233,0.04186766
KIRC,0.03400381,0.045777764,0.057391614,0.0291592,0.017506192,0.020428063,0.07666193,0.04150381,0.0558539,0.028512564,0.011741685,0.01277045,0.084094055,0.08027027,0.035846937,0.019337555,0.04072914,0.012200307,0.008053639,0.018021232,0.032959953,0.16275191,0.027050195,0.007876878,0.019072307,0.020424636
PAAD,0.030001037,0.037180938,0.14483416,0.003190346,0.032366786,0.0039134417,0.04649976,0.20635368,0.0024959024,0.001733134,0.0353317,0.055827547,0.011218404,0.03745424,0.04471092,0.16875324,0.023098925,0.0023636406,0.004573175,0.057426423,0.0031793434,0.030416306,0.0022097449,0.0019111969,0.008593926,0.0043620565
SKCM,0.015211237,0.10661678,6.2855624e-06,0.007755615,0.04529243,0.04912046,2.1111852e-07,0.017750867,4.7772886e-07,7.283505e-08,4.925957e-07,7.344247e-07,0.004208226,0.08006694,0.078715414,1.920495e-05,0.023888655,2.8875158e-06,7.3907387e-09,9.633749e-06,0.40999842,0.13908778,0.00012298302,2.1860413e-12,0.00030793605,0.021816267
