class,support,H0_f1,specialist_f1,delta
ACC,72,0.8805970149253731,0.8805970149253731,0.0
BLCA,104,0.47619047619047616,0.47619047619047616,0.0
BRCA,786,0.5459088069956277,0.5459088069956277,0.0
CESC,155,0.39285714285714285,0.39285714285714285,0.0
COAD,223,0.7713625866050808,0.7713625866050808,0.0
DLBC,38,0.5263157894736842,0.5263157894736842,0.0
GBMLGG,461,0.571767497034401,0.5781433607520564,0.006375863717655417
HNSC,223,0.39622641509433965,0.39622641509433965,0.0
KIPAN,515,0.6038500506585613,0.6017874875868917,-0.002062563071669632
KIRC,334,0.6757493188010899,0.6694677871148459,-0.006281531686244013
LAML,158,0.5675675675675675,0.5675675675675675,0.0
LGG,229,0.6444007858546169,0.6427145708582834,-0.0016862149963334794
LIHC,158,0.4726027397260274,0.4726027397260274,0.0
LUAD,184,0.40522875816993464,0.4353312302839117,0.03010247211397704
LUSC,178,0.5792079207920792,0.5954198473282443,0.0162119265361651
OV,253,0.4486301369863014,0.4486301369863014,0.0
PAAD,120,0.4473684210526316,0.4473684210526316,0.0
PCPG,147,0.3567567567567568,0.3567567567567568,0.0
PRAD,266,0.39080459770114945,0.39080459770114945,0.0
SARC,198,0.2222222222222222,0.2222222222222222,0.0
SKCM,276,0.8932038834951457,0.8932038834951457,0.0
STES,379,0.5632040050062578,0.5632040050062578,0.0
TGCT,124,0.6885245901639344,0.6885245901639344,0.0
THCA,324,0.6912280701754386,0.6912280701754386,0.0
THYM,98,0.30115830115830117,0.30115830115830117,0.0
UCEC,198,0.6504065040650406,0.6504065040650406,0.0
