fold,variant,macro_f1,accuracy,feature_count,delta_vs_h0
1,H0,0.5363060943550256,0.547945205479452,8152,0.0
1,auto_validated_pair_specialist,0.5358996742354663,0.5471394037066881,8152,-0.00040642011955938084
2,H0,0.5553139557036014,0.5645161290322581,8195,0.0
2,auto_validated_pair_specialist,0.5553139557036014,0.5645161290322581,8195,0.0
3,H0,0.5319122347730254,0.5419354838709678,8161,0.0
3,auto_validated_pair_specialist,0.5357433737311552,0.5443548387096774,8161,0.0038311389581298094
4,H0,0.5457953656186075,0.5596774193548387,8241,0.0
4,auto_validated_pair_specialist,0.5512686858775141,0.5637096774193548,8241,0.005473320258906567
5,H0,0.5492294864782734,0.5637096774193548,8217,0.0
5,auto_validated_pair_specialist,0.5483092055731545,0.5620967741935484,8217,-0.0009202809051188643
