outer_fold,inner_fold,fit_rows,validation_rows,outer_validation_used_for_pair_fit,leakage_check,nan_as_mutation_count
1,1,3306,1654,False,True,0
1,2,3307,1653,False,True,0
1,3,3307,1653,False,True,0
2,1,3307,1654,False,True,0
2,2,3307,1654,False,True,0
2,3,3308,1653,False,True,0
3,1,3307,1654,False,True,0
3,2,3307,1654,False,True,0
3,3,3308,1653,False,True,0
4,1,3307,1654,False,True,0
4,2,3307,1654,False,True,0
4,3,3308,1653,False,True,0
5,1,3307,1654,False,True,0
5,2,3307,1654,False,True,0
5,3,3308,1653,False,True,0
