fold,variant,macro_f1,accuracy,feature_count
1,exp013_LR,0.5017400178890277,0.508460918614021,8152
1,exp014_LGBM_hard_specialist,0.4666134900265978,0.5149073327961321,8152
1,H0_blend_80_20,0.5363060943550256,0.547945205479452,8152
2,exp013_LR,0.5387334596483249,0.5379032258064517,8195
2,exp014_LGBM_hard_specialist,0.5004063826704249,0.5274193548387097,8195
2,H0_blend_80_20,0.5553139557036014,0.5645161290322581,8195
3,exp013_LR,0.5258959168285826,0.5233870967741936,8161
3,exp014_LGBM_hard_specialist,0.49793788252230803,0.5258064516129032,8161
3,H0_blend_80_20,0.5319122347730254,0.5419354838709678,8161
4,exp013_LR,0.5334685930361144,0.542741935483871,8241
4,exp014_LGBM_hard_specialist,0.4925343298101531,0.5290322580645161,8241
4,H0_blend_80_20,0.5457953656186075,0.5596774193548387,8241
5,exp013_LR,0.5306403246883047,0.535483870967742,8217
5,exp014_LGBM_hard_specialist,0.49732178016244916,0.5314516129032258,8217
5,H0_blend_80_20,0.5492294864782734,0.5637096774193548,8217
