class,support,H0_f1,H1_f1,delta
ACC,72,0.8805970149253731,0.8759124087591241,-0.004684606166248995
BLCA,104,0.47619047619047616,0.4632768361581921,-0.012913640032284068
BRCA,786,0.5459088069956277,0.5091210613598673,-0.03678774563576037
CESC,155,0.39285714285714285,0.34017595307917886,-0.05268118977796399
COAD,223,0.7713625866050808,0.7625570776255708,-0.008805508979510046
DLBC,38,0.5263157894736842,0.5573770491803278,0.03106125970664364
GBMLGG,461,0.571767497034401,0.5264452644526445,-0.045322232581756494
HNSC,223,0.39622641509433965,0.32,-0.07622641509433964
KIPAN,515,0.6038500506585613,0.572347266881029,-0.03150278377753235
KIRC,334,0.6757493188010899,0.6367583212735166,-0.03899099752757329
LAML,158,0.5675675675675675,0.5214521452145214,-0.04611542235304611
LGG,229,0.6444007858546169,0.6187624750499002,-0.02563831080471668
LIHC,158,0.4726027397260274,0.3525835866261398,-0.12001915309988759
LUAD,184,0.40522875816993464,0.38219895287958117,-0.023029805290353478
LUSC,178,0.5792079207920792,0.53125,-0.04795792079207917
OV,253,0.4486301369863014,0.4155844155844156,-0.033045721401885775
PAAD,120,0.4473684210526316,0.34959349593495936,-0.09777492511767222
PCPG,147,0.3567567567567568,0.33062330623306235,-0.026133450523694424
PRAD,266,0.39080459770114945,0.36476043276661513,-0.02604416493453432
SARC,198,0.2222222222222222,0.25691699604743085,0.034694773825208636
SKCM,276,0.8932038834951457,0.8923076923076924,-0.0008961911874533213
STES,379,0.5632040050062578,0.49066002490660027,-0.07254398009965751
TGCT,124,0.6885245901639344,0.6130268199233716,-0.07549777024056281
THCA,324,0.6912280701754386,0.654424040066778,-0.036804030108660624
THYM,98,0.30115830115830117,0.29343629343629346,-0.007722007722007707
UCEC,198,0.6504065040650406,0.6046511627906976,-0.045755341274343
