fold,variant,macro_f1,accuracy,feature_count,delta_vs_h0
1,H0,0.5363060943550256,0.547945205479452,8152,0.0
1,H1_auto_confusion_moe,0.4839934765231241,0.492344883158743,8152,-0.05231261783190155
2,H0,0.5553139557036014,0.5645161290322581,8195,0.0
2,H1_auto_confusion_moe,0.5064095194548887,0.5096774193548387,8195,-0.04890443624871277
3,H0,0.5319122347730254,0.5419354838709678,8161,0.0
3,H1_auto_confusion_moe,0.52721149243236,0.521774193548387,8161,-0.00470074234066542
4,H0,0.5457953656186075,0.5596774193548387,8241,0.0
4,H1_auto_confusion_moe,0.5076697371942577,0.5169354838709678,8241,-0.038125628424349856
5,H0,0.5492294864782734,0.5637096774193548,8217,0.0
5,H1_auto_confusion_moe,0.5227594255081611,0.521774193548387,8217,-0.026470060970112286
