class,support,h0_precision,h2_precision,h0_recall,h2_recall,h0_f1,h2_f1,delta_f1
ACC,72,0.9682539682539683,0.9242424242424242,0.8472222222222222,0.8472222222222222,0.9037037037037037,0.8840579710144928,-0.019645732689210882
BLCA,104,0.5352112676056338,0.5405405405405406,0.36538461538461536,0.38461538461538464,0.4342857142857143,0.449438202247191,0.015152487961476724
BRCA,786,0.5541838134430727,0.6021180030257186,0.5139949109414759,0.5063613231552163,0.5333333333333333,0.5501036627505184,0.016770329417185037
CESC,155,0.41,0.4174757281553398,0.2645161290322581,0.27741935483870966,0.3215686274509804,0.3333333333333333,0.0117647058823529
COAD,223,0.75,0.7477477477477478,0.7399103139013453,0.7443946188340808,0.744920993227991,0.7460674157303371,0.0011464225023460894
DLBC,38,0.6666666666666666,0.6086956521739131,0.3684210526315789,0.3684210526315789,0.4745762711864407,0.45901639344262296,-0.01555987774381773
GBMLGG,461,0.6476190476190476,0.6708542713567839,0.5900216919739696,0.579175704989154,0.6174801362088536,0.6216530849825378,0.0041729487736842374
HNSC,223,0.42,0.44387755102040816,0.37668161434977576,0.3901345291479821,0.3971631205673759,0.4152744630071599,0.018111342439784017
KIPAN,515,0.6724137931034483,0.6846846846846847,0.6058252427184466,0.5902912621359223,0.6373850868232891,0.6339937434827946,-0.0033913433404945126
KIRC,334,0.6666666666666666,0.6595174262734584,0.7305389221556886,0.7365269461077845,0.6971428571428572,0.695898161244696,-0.00124469589816123
LAML,158,0.5571428571428572,0.547945205479452,0.4936708860759494,0.5063291139240507,0.5234899328859061,0.5263157894736842,0.0028258565877781194
LGG,229,0.6900826446280992,0.6782945736434108,0.7292576419213974,0.7641921397379913,0.7091295116772823,0.7186858316221766,0.009556319944894254
LIHC,158,0.47183098591549294,0.44666666666666666,0.4240506329113924,0.4240506329113924,0.44666666666666666,0.43506493506493504,-0.011601731601731613
LUAD,184,0.4420289855072464,0.4236111111111111,0.33152173913043476,0.33152173913043476,0.37888198757763975,0.3719512195121951,-0.006930768065444626
LUSC,178,0.4206896551724138,0.41924398625429554,0.6853932584269663,0.6853932584269663,0.5213675213675214,0.5202558635394456,-0.0011116578280757627
OV,253,0.3944099378881988,0.3904494382022472,0.5019762845849802,0.549407114624506,0.44173913043478263,0.45648604269293924,0.014746912258156608
PAAD,120,0.2903225806451613,0.29411764705882354,0.3,0.2916666666666667,0.29508196721311475,0.2928870292887029,-0.0021949379244118328
PCPG,147,0.29797979797979796,0.3062200956937799,0.4013605442176871,0.43537414965986393,0.34202898550724636,0.3595505617977528,0.017521576290506435
PRAD,266,0.31851851851851853,0.31386861313868614,0.3233082706766917,0.3233082706766917,0.3208955223880597,0.31851851851851853,-0.00237700386954115
SARC,198,0.21705426356589147,0.2076923076923077,0.2828282828282828,0.2727272727272727,0.24561403508771928,0.23580786026200873,-0.009806174825710556
SKCM,276,0.9583333333333334,0.9585062240663901,0.8333333333333334,0.8369565217391305,0.8914728682170543,0.8936170212765957,0.0021441530595414093
STES,379,0.5203619909502263,0.5328638497652582,0.6068601583113457,0.5989445910290238,0.5602923264311814,0.5639751552795031,0.0036828288483217175
TGCT,124,0.5522388059701493,0.5306122448979592,0.5967741935483871,0.6290322580645161,0.5736434108527132,0.5756457564575646,0.002002345604851352
THCA,324,0.7677165354330708,0.7768924302788844,0.6018518518518519,0.6018518518518519,0.6747404844290658,0.6782608695652174,0.0035203851361516048
THYM,98,0.22826086956521738,0.2268041237113402,0.42857142857142855,0.4489795918367347,0.2978723404255319,0.3013698630136986,0.0034975225881667127
UCEC,198,0.6863905325443787,0.6685714285714286,0.5858585858585859,0.5909090909090909,0.6321525885558583,0.6273458445040214,-0.004806744051836898
