fold,variant,macro_f1,accuracy,feature_count,alpha
1,H0,0.4971538074816939,0.5253827558420628,8285,0.0
1,H2_S,0.49917335939504487,0.5286059629331185,19,0.2
2,H0,0.5390919122963863,0.5548387096774193,8327,0.0
2,H2_S,0.5420393894685351,0.5596774193548387,19,0.2
3,H0,0.508231464102308,0.5346774193548387,8285,0.0
3,H2_S,0.5077210704547582,0.5362903225806451,19,0.2
4,H0,0.5379841398229701,0.5620967741935484,8382,0.0
4,H2_S,0.5409318114245886,0.5645161290322581,19,0.2
5,H0,0.5342115337772747,0.5491935483870968,8348,0.0
5,H2_S,0.5358676859560334,0.5532258064516129,19,0.2
