true_class,h0__ACC,h0__BLCA,h0__BRCA,h0__CESC,h0__COAD,h0__DLBC,h0__GBMLGG,h0__HNSC,h0__KIPAN,h0__KIRC,h0__LAML,h0__LGG,h0__LIHC,h0__LUAD,h0__LUSC,h0__OV,h0__PAAD,h0__PCPG,h0__PRAD,h0__SARC,h0__SKCM,h0__STES,h0__TGCT,h0__THCA,h0__THYM,h0__UCEC,h2_s__ACC,h2_s__BLCA,h2_s__BRCA,h2_s__CESC,h2_s__COAD,h2_s__DLBC,h2_s__GBMLGG,h2_s__HNSC,h2_s__KIPAN,h2_s__KIRC,h2_s__LAML,h2_s__LGG,h2_s__LIHC,h2_s__LUAD,h2_s__LUSC,h2_s__OV,h2_s__PAAD,h2_s__PCPG,h2_s__PRAD,h2_s__SARC,h2_s__SKCM,h2_s__STES,h2_s__TGCT,h2_s__THCA,h2_s__THYM,h2_s__UCEC
KIPAN,0.0014614752,0.0051830905,0.020465722,0.008343965,0.012316543,0.004881741,0.10935538,0.009932195,0.04716345,0.017944654,1.0513283e-05,0.005844061,0.091131315,0.070094466,0.13903221,0.06024502,0.11936355,1.9450432e-05,0.017781945,0.046447296,0.026470128,0.15395324,0.030087413,0.000100844474,0.00032448638,0.0020458472,0.0009047481,0.0038045538,0.014413917,0.0058513647,0.00915637,0.0037524486,0.11284315,0.0069893985,0.042251267,0.013641103,3.0590832e-06,0.0039528008,0.094340034,0.06582072,0.15666224,0.056793313,0.13953456,6.1496994e-06,0.01432709,0.04101867,0.021340117,0.16364467,0.027443692,3.9229933e-05,0.00016126432,0.0013040679
SARC,0.015705433,0.0023232384,0.024036963,0.0004695441,0.001999097,0.020301206,0.557503,0.022759924,0.043539096,0.007268131,1.28397e-05,0.055830076,0.0032668984,0.0154360635,0.0006523931,0.0011425202,0.07467863,0.0023043249,0.0003719515,0.12343056,0.0014299001,0.016591547,0.0023305276,0.00010806958,0.00038724404,0.00612086,0.009001403,0.001076363,0.012009787,0.00016306617,0.00076446566,0.013730187,0.69478923,0.013695375,0.026044864,0.0037791482,2.5202405e-06,0.04777395,0.0014270989,0.009060736,0.00024068404,0.00048041577,0.0558472,0.0009169241,0.00010918717,0.09502373,0.0005715322,0.0092788255,0.0009935506,2.7772516e-05,0.000118990196,0.003073009
SKCM,4.7161558e-07,9.9042365e-05,1.0310541e-06,3.905882e-05,0.00029757194,3.1959066e-06,9.97274e-06,0.0005739375,1.5969124e-06,7.892535e-09,7.058742e-11,3.8877252e-07,4.003171e-05,0.0017853263,0.008353482,2.5996022e-07,3.3686447e-07,7.729987e-12,5.2908384e-09,1.9709705e-06,0.9882058,0.00058161543,7.4618676e-08,1.5613626e-10,1.2046436e-11,4.8495226e-06,6.286565e-08,2.2996113e-05,9.991252e-08,7.358065e-06,6.745598e-05,5.233514e-07,1.8763485e-06,0.00013639835,1.7113479e-07,4.6991205e-10,2.6664927e-12,6.135072e-08,7.5061957e-06,0.00051103695,0.0027645624,2.3710173e-08,3.2353864e-08,2.303944e-13,3.0353461e-10,2.393969e-07,0.99634385,0.00013511353,6.4120944e-09,6.2410814e-12,3.7575593e-13,6.504263e-07
KIRC,0.0009238321,0.0011064414,0.025918333,0.020724053,0.0011711499,0.014733513,0.05480972,0.007839958,0.13804694,0.3915282,0.014409808,0.010041351,0.005134192,0.0154946735,0.0051159635,0.029602936,0.022887422,0.0148255695,0.08897748,0.09199913,0.0027227346,0.0052439887,0.012663757,0.01511976,0.004547514,0.0044116057,0.00041705344,0.00057912356,0.018690782,0.01384734,0.00052643527,0.012266916,0.06124625,0.0047686244,0.12590213,0.47404075,0.01006769,0.0067286617,0.0028224778,0.01149535,0.0027735198,0.02179244,0.0165102,0.011070152,0.08336252,0.09143676,0.0014619925,0.002705788,0.008999677,0.011421697,0.0026959898,0.002369622
GBMLGG,6.3096326e-05,0.0072786678,0.022245057,0.0010145383,0.003451105,0.0011314856,0.039544106,0.03136835,0.0034025528,0.0009996666,2.3744165e-05,0.0019005862,0.022583628,0.03576192,0.25031906,0.13308357,0.2544257,8.3269715e-06,0.0010610478,0.032068662,0.0044857226,0.13851207,0.0044159805,1.3868287e-05,0.00026017832,0.010577284,2.030635e-05,0.004426927,0.0137216,0.00045462928,0.001876227,0.0006086647,0.033511523,0.023422865,0.0016261046,0.00039518243,6.317494e-06,0.0010065425,0.016016753,0.026536,0.29684475,0.13656786,0.28490883,2.076467e-06,0.00045041429,0.02269191,0.0026006002,0.122701496,0.0026289627,3.4491918e-06,9.3568095e-05,0.0068764295
STES,2.6987161e-06,0.0014799933,0.0018875326,0.0006090359,0.008126861,0.00011796458,6.069262e-06,0.00048287428,0.0010132692,1.0446804e-06,6.0183555e-07,1.0099755e-05,0.0006468986,0.0020821365,0.0012529336,1.9202272e-07,2.3353903e-06,2.8268994e-08,1.2581072e-06,4.0266597e-05,0.0004367437,0.8427075,3.029131e-07,4.1872994e-07,0.00011895046,0.13897197,5.2779876e-07,0.0005997591,0.0005312555,0.00018902734,0.003325611,4.3180677e-05,9.935396e-07,0.00013563536,0.0003234674,1.3552382e-07,9.9662614e-08,2.1675626e-06,0.00020426979,0.00080922357,0.0004444162,2.0259007e-08,4.1716618e-07,3.0515726e-09,1.9877938e-07,9.293902e-06,0.00017000176,0.8747087,3.9766263e-08,5.8827474e-08,3.9812883e-05,0.11846164
BRCA,4.2225314e-05,0.00039921186,0.77810204,0.0035683338,0.0039279237,0.00017065335,0.006588097,0.0025322647,0.0016587202,0.0033984578,0.08954283,0.0060447548,0.0007053827,0.0012079761,9.426777e-05,0.004256419,0.0009607717,0.031408317,0.012667361,0.0046591107,0.00029717956,0.00095339835,0.000111448266,0.01116404,0.0017598316,0.033778954,8.859427e-06,0.00011353518,0.86485106,0.0014593806,0.0015774054,4.5466004e-05,0.002681052,0.00086928945,0.0005267401,0.0012651839,0.068928555,0.002438015,0.00020528295,0.00037510422,2.0622923e-05,0.001739137,0.00032007595,0.018093713,0.005935594,0.0019316493,8.3697065e-05,0.00027392537,2.666927e-05,0.0053730765,0.0006594136,0.020197487
THCA,0.00030834108,0.00010004685,0.015319901,0.0069029396,8.445389e-05,0.00038676453,0.028076535,0.000800936,0.002074993,0.0007784124,0.22772047,0.0047108927,0.0007772813,0.00050908857,8.758629e-05,0.0021293233,0.0051151733,0.1638622,0.10202153,0.13188618,0.0010441224,9.897224e-05,0.0014907356,0.16749752,0.13592744,0.0002881724,0.00012692959,3.5872195e-05,0.011061504,0.0045243036,2.8658593e-05,0.00016505602,0.02192489,0.00033979022,0.0011443236,0.00036971006,0.2586253,0.0025390023,0.00035011725,0.00021424016,2.8732069e-05,0.0011920288,0.0029702294,0.1706185,0.09486622,0.114648536,0.0005240439,3.4032208e-05,0.00078504253,0.17730284,0.13547683,0.00010329848
LIHC,0.0018421683,0.0030062115,0.06848161,0.03452131,0.0016099933,0.016211666,0.007955624,0.008499445,0.09007681,0.17664687,0.0005134137,0.0007960544,0.031512823,0.011045927,0.008196384,0.093461424,0.039940555,0.024332508,0.05705975,0.21548991,0.0019723936,0.0134896,0.064835206,0.012488179,0.00612686,0.009887306,0.0014456324,0.0018542303,0.063728645,0.031048391,0.0008912995,0.016329892,0.0052716625,0.005377021,0.08409121,0.19681183,0.00024516488,0.00037501767,0.026847366,0.007100532,0.005023331,0.087852776,0.0291631,0.019958733,0.053960603,0.26620018,0.0011051638,0.009031042,0.06581232,0.009603716,0.0041824197,0.0066887294
STES,0.0002674944,0.00047380917,0.009354716,0.02625555,0.09137066,0.0018706303,0.06513837,0.06481772,0.0025791433,0.0017195533,5.617574e-06,0.004525106,0.042833697,0.07532702,0.06502119,0.016250802,0.14470309,1.1652623e-05,0.0024335403,0.039850134,0.011105392,0.31768256,0.0037854614,0.00030746678,0.00013459989,0.0121750105,0.00012139378,0.00022760531,0.005811687,0.020520967,0.08472444,0.0011483099,0.059429735,0.057544775,0.0013624546,0.0008698413,1.4164353e-06,0.002729562,0.036354046,0.07683937,0.06595097,0.012213715,0.1402607,3.3717631e-06,0.0013750596,0.03380655,0.008476973,0.3795191,0.0022795822,0.00012891233,5.0512364e-05,0.008248949
