seed,fold,variant,macro_f1,accuracy,feature_count,delta_vs_h0
42,1,H0,0.5363060943550256,0.547945205479452,8152,0.0
42,1,H0_intragenic_architecture_EB,0.5331120832709856,0.5447219983883964,8178,-0.0031940110840400493
42,2,H0,0.5553139557036014,0.5645161290322581,8195,0.0
42,2,H0_intragenic_architecture_EB,0.5347142465352088,0.5620967741935484,8221,-0.0205997091683926
42,3,H0,0.5319122347730254,0.5419354838709678,8161,0.0
42,3,H0_intragenic_architecture_EB,0.5393841214325229,0.55,8187,0.007471886659497495
42,4,H0,0.5457953656186075,0.5596774193548387,8241,0.0
42,4,H0_intragenic_architecture_EB,0.5417609826667362,0.5580645161290323,8267,-0.004034382951871307
42,5,H0,0.5492294864782734,0.5637096774193548,8217,0.0
42,5,H0_intragenic_architecture_EB,0.557328458968753,0.5596774193548387,8243,0.008098972490479639
777,1,H0,0.5493671141810315,0.5584206285253828,8223,0.0
777,1,H0_intragenic_architecture_EB,0.5345787880768128,0.5487510072522159,8249,-0.014788326104218652
777,2,H0,0.4940576151049469,0.5290322580645161,8168,0.0
777,2,H0_intragenic_architecture_EB,0.48762093930908984,0.5290322580645161,8194,-0.00643667579585705
777,3,H0,0.5513872259066684,0.5637096774193548,8224,0.0
777,3,H0_intragenic_architecture_EB,0.5419463974984357,0.557258064516129,8250,-0.009440828408232793
777,4,H0,0.5480872679958364,0.5564516129032258,8170,0.0
777,4,H0_intragenic_architecture_EB,0.5571841947104281,0.5637096774193548,8196,0.009096926714591724
777,5,H0,0.5401769363155237,0.5508064516129032,8157,0.0
777,5,H0_intragenic_architecture_EB,0.5501598824034332,0.5580645161290323,8183,0.009982946087909506
2024,1,H0,0.514097405191915,0.5447219983883964,8195,0.0
2024,1,H0_intragenic_architecture_EB,0.5154611616090559,0.5382755842062853,8221,0.0013637564171408156
2024,2,H0,0.5311357901009897,0.5419354838709678,8181,0.0
2024,2,H0_intragenic_architecture_EB,0.5472354660811267,0.5451612903225806,8207,0.016099675980137063
2024,3,H0,0.5652908345238549,0.5588709677419355,8168,0.0
2024,3,H0_intragenic_architecture_EB,0.5476865006981652,0.5532258064516129,8194,-0.01760433382568971
2024,4,H0,0.5535007395660005,0.567741935483871,8200,0.0
2024,4,H0_intragenic_architecture_EB,0.55254638576827,0.5669354838709677,8226,-0.0009543537977305672
2024,5,H0,0.5475376264671392,0.567741935483871,8221,0.0
2024,5,H0_intragenic_architecture_EB,0.5359440280758316,0.5637096774193548,8247,-0.01159359839130758
