class,support,H0_f1,profile_retrieval_f1,blend_f1,blend_delta_vs_h0
ACC,72,0.8805970149253731,0.0,0.8805970149253731,0.0
BLCA,104,0.47619047619047616,0.0,0.47619047619047616,0.0
BRCA,786,0.5459088069956277,0.25196345568200035,0.54625,0.0003411930043722977
CESC,155,0.39285714285714285,0.0,0.39285714285714285,0.0
COAD,223,0.7713625866050808,0.0,0.7713625866050808,0.0
DLBC,38,0.5263157894736842,0.0,0.5263157894736842,0.0
GBMLGG,461,0.571767497034401,0.0,0.5278450363196125,-0.04392246071478845
HNSC,223,0.39622641509433965,0.0,0.39622641509433965,0.0
KIPAN,515,0.6038500506585613,0.008032128514056224,0.5657370517928287,-0.038112998865732606
KIRC,334,0.6757493188010899,0.0,0.6049723756906077,-0.07077694311048222
LAML,158,0.5675675675675675,0.10778443113772455,0.5714285714285714,0.0038610038610038533
LGG,229,0.6444007858546169,0.0,0.6049149338374291,-0.039485852017187795
LIHC,158,0.4726027397260274,0.0,0.4726027397260274,0.0
LUAD,184,0.40522875816993464,0.0,0.40522875816993464,0.0
LUSC,178,0.5792079207920792,0.0,0.5792079207920792,0.0
OV,253,0.4486301369863014,0.0,0.44939965694682676,0.0007695199605253777
PAAD,120,0.4473684210526316,0.0,0.4473684210526316,0.0
PCPG,147,0.3567567567567568,0.0,0.35967302452316074,0.0029162677664039682
PRAD,266,0.39080459770114945,0.0,0.39209225700164746,0.001287659300498012
SARC,198,0.2222222222222222,0.0,0.22279792746113988,0.0005757052389176731
SKCM,276,0.8932038834951457,0.0,0.8932038834951457,0.0
STES,379,0.5632040050062578,0.0,0.5632040050062578,0.0
TGCT,124,0.6885245901639344,0.0,0.6885245901639344,0.0
THCA,324,0.6912280701754386,0.09941520467836257,0.6912280701754386,0.0
THYM,98,0.30115830115830117,0.0,0.30115830115830117,0.0
UCEC,198,0.6504065040650406,0.0,0.6504065040650406,0.0
