fold,variant,macro_f1,accuracy,feature_count,delta_vs_h0
1,H0,0.5363060943550256,0.547945205479452,8152,0.0
1,profile_retrieval,0.016544423608182847,0.1313456889605157,8152,-0.5197616707468428
1,H0_profile_retrieval_blend,0.5299453306889512,0.5374697824335214,8152,-0.006360763666074409
2,H0,0.5553139557036014,0.5645161290322581,8195,0.0
2,profile_retrieval,0.019687411572599383,0.1314516129032258,8195,-0.5356265441310021
2,H0_profile_retrieval_blend,0.5484136145372012,0.5532258064516129,8195,-0.006900341166400259
3,H0,0.5319122347730254,0.5419354838709678,8161,0.0
3,profile_retrieval,0.015344757816996478,0.12983870967741937,8161,-0.5165674769560289
3,H0_profile_retrieval_blend,0.5229132247372008,0.5274193548387097,8161,-0.008999010035824595
4,H0,0.5457953656186075,0.5596774193548387,8241,0.0
4,profile_retrieval,0.021395626757417494,0.1338709677419355,8241,-0.5243997388611901
4,H0_profile_retrieval_blend,0.5398830735744136,0.5508064516129032,8241,-0.0059122920441939675
5,H0,0.5492294864782734,0.5637096774193548,8217,0.0
5,profile_retrieval,0.016470890105709034,0.13064516129032258,8217,-0.5327585963725644
5,H0_profile_retrieval_blend,0.5421996485819387,0.5524193548387096,8217,-0.007029837896334712
