row_index,matched_profile,profile_support,profile_purity,h0_prediction,retrieval_prediction,blend_prediction,true_class,h0_correct,retrieval_recovers_h0_error,retrieval_breaks_h0_correct
0,False,0,0.0,KIPAN,BRCA,KIPAN,KIPAN,True,False,False
1,False,0,0.0,GBMLGG,BRCA,GBMLGG,SARC,False,False,False
2,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
3,True,1,1.0,KIRC,KIPAN,KIRC,KIRC,True,False,True
4,False,0,0.0,STES,BRCA,STES,GBMLGG,False,False,False
5,False,0,0.0,STES,BRCA,STES,STES,True,False,False
6,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
7,False,0,0.0,THYM,BRCA,THYM,THCA,False,False,False
8,False,0,0.0,SARC,BRCA,SARC,LIHC,False,False,False
9,False,0,0.0,STES,BRCA,STES,STES,True,False,False
10,False,0,0.0,UCEC,BRCA,UCEC,STES,False,False,False
11,False,0,0.0,STES,BRCA,STES,HNSC,False,False,False
12,False,0,0.0,KIPAN,BRCA,KIPAN,KIRC,False,False,False
13,False,0,0.0,PAAD,BRCA,PAAD,PAAD,True,False,False
14,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
15,False,0,0.0,KIPAN,BRCA,KIPAN,OV,False,False,False
16,False,0,0.0,STES,BRCA,STES,KIPAN,False,False,False
17,False,0,0.0,KIRC,BRCA,KIRC,KIPAN,False,False,False
18,False,0,0.0,LAML,BRCA,LAML,BRCA,False,False,False
19,False,0,0.0,BRCA,BRCA,BRCA,PRAD,False,False,False
20,False,0,0.0,BRCA,BRCA,BRCA,GBMLGG,False,False,False
21,False,0,0.0,UCEC,BRCA,UCEC,UCEC,True,False,False
22,False,0,0.0,GBMLGG,BRCA,GBMLGG,GBMLGG,True,False,False
23,False,0,0.0,BRCA,BRCA,BRCA,LAML,False,False,False
24,False,0,0.0,UCEC,BRCA,UCEC,COAD,False,False,False
25,False,0,0.0,STES,BRCA,STES,STES,True,False,False
26,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
27,False,0,0.0,THCA,BRCA,THCA,THCA,True,False,False
28,False,0,0.0,PCPG,BRCA,PCPG,BRCA,False,False,False
29,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
30,False,0,0.0,ACC,BRCA,ACC,ACC,True,False,False
31,False,0,0.0,GBMLGG,BRCA,GBMLGG,GBMLGG,True,False,False
32,False,0,0.0,HNSC,BRCA,HNSC,HNSC,True,False,False
33,True,1,1.0,KIRC,KIPAN,KIRC,KIRC,True,False,True
34,True,1,1.0,KIRC,KIPAN,KIRC,KIRC,True,False,True
35,False,0,0.0,PCPG,BRCA,PCPG,PRAD,False,False,False
36,False,0,0.0,LGG,BRCA,LGG,LGG,True,False,False
37,False,0,0.0,STES,BRCA,STES,LUSC,False,False,False
38,False,0,0.0,LUSC,BRCA,LUSC,LUSC,True,False,False
39,False,0,0.0,OV,BRCA,OV,BRCA,False,False,False
40,False,0,0.0,OV,BRCA,OV,BRCA,False,False,False
41,False,0,0.0,UCEC,BRCA,UCEC,UCEC,True,False,False
42,True,1,1.0,KIRC,KIPAN,KIRC,KIRC,True,False,True
43,True,1,1.0,GBMLGG,LGG,GBMLGG,GBMLGG,True,False,True
44,False,0,0.0,ACC,BRCA,ACC,ACC,True,False,False
45,False,0,0.0,LIHC,BRCA,LIHC,LUAD,False,False,False
46,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
47,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
48,False,0,0.0,GBMLGG,BRCA,GBMLGG,STES,False,False,False
49,False,0,0.0,LUSC,BRCA,LUSC,LUSC,True,False,False
50,False,0,0.0,ACC,BRCA,ACC,ACC,True,False,False
51,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
52,True,1,1.0,KIRC,KIPAN,KIPAN,KIRC,True,False,True
53,False,0,0.0,GBMLGG,BRCA,GBMLGG,GBMLGG,True,False,False
54,False,0,0.0,COAD,BRCA,COAD,UCEC,False,False,False
55,False,0,0.0,SARC,BRCA,SARC,PRAD,False,False,False
56,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
57,False,0,0.0,PRAD,BRCA,PRAD,BRCA,False,False,False
58,False,0,0.0,STES,BRCA,STES,STES,True,False,False
59,True,1,1.0,KIPAN,KIRC,KIPAN,KIPAN,True,False,True
60,False,0,0.0,UCEC,BRCA,UCEC,UCEC,True,False,False
61,True,1,1.0,PRAD,KIPAN,KIPAN,KIRC,False,False,False
62,False,0,0.0,KIRC,BRCA,KIRC,KIRC,True,False,False
63,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
64,False,0,0.0,BRCA,BRCA,BRCA,OV,False,False,False
65,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
66,False,0,0.0,THYM,BRCA,THYM,KIPAN,False,False,False
67,False,0,0.0,HNSC,BRCA,HNSC,BRCA,False,False,False
68,False,0,0.0,LUAD,BRCA,LUAD,OV,False,False,False
69,True,1,1.0,LGG,GBMLGG,LGG,LGG,True,False,True
70,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
71,False,0,0.0,UCEC,BRCA,UCEC,UCEC,True,False,False
72,False,0,0.0,GBMLGG,BRCA,GBMLGG,GBMLGG,True,False,False
73,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
74,False,0,0.0,STES,BRCA,STES,STES,True,False,False
75,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
76,False,0,0.0,LUSC,BRCA,LUSC,LUSC,True,False,False
77,False,0,0.0,PRAD,BRCA,PRAD,PRAD,True,False,False
78,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
79,False,0,0.0,STES,BRCA,STES,KIPAN,False,False,False
80,False,0,0.0,STES,BRCA,STES,UCEC,False,False,False
81,False,0,0.0,LAML,BRCA,LAML,LAML,True,False,False
82,False,0,0.0,SARC,BRCA,SARC,BRCA,False,False,False
83,False,0,0.0,UCEC,BRCA,UCEC,GBMLGG,False,False,False
84,False,0,0.0,OV,BRCA,OV,OV,True,False,False
85,False,0,0.0,HNSC,BRCA,HNSC,STES,False,False,False
86,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
87,False,0,0.0,LUSC,BRCA,LUSC,PRAD,False,False,False
88,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
89,False,0,0.0,STES,BRCA,STES,BRCA,False,False,False
90,False,0,0.0,LUSC,BRCA,LUSC,LUSC,True,False,False
91,False,0,0.0,KIPAN,BRCA,KIPAN,KIPAN,True,False,False
92,False,0,0.0,COAD,BRCA,COAD,KIPAN,False,False,False
93,False,0,0.0,CESC,BRCA,CESC,CESC,True,False,False
94,False,0,0.0,UCEC,BRCA,UCEC,UCEC,True,False,False
95,False,0,0.0,BRCA,BRCA,BRCA,KIPAN,False,False,False
96,False,0,0.0,STES,BRCA,STES,STES,True,False,False
97,True,1,1.0,SARC,KIRC,SARC,KIPAN,False,False,False
98,False,0,0.0,PCPG,BRCA,PCPG,KIPAN,False,False,False
99,False,0,0.0,PCPG,BRCA,PCPG,PCPG,True,False,False
100,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
101,False,0,0.0,PRAD,BRCA,PRAD,BRCA,False,False,False
102,False,0,0.0,THYM,BRCA,THYM,THYM,True,False,False
103,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
104,False,0,0.0,OV,BRCA,OV,BRCA,False,False,False
105,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
106,False,0,0.0,LGG,BRCA,LGG,LGG,True,False,False
107,False,0,0.0,THCA,BRCA,THCA,THCA,True,False,False
108,False,0,0.0,BRCA,BRCA,BRCA,KIPAN,False,False,False
109,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
110,False,0,0.0,CESC,BRCA,CESC,BRCA,False,False,False
111,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
112,False,0,0.0,LGG,BRCA,LGG,GBMLGG,False,False,False
113,False,0,0.0,LUAD,BRCA,LUAD,LUSC,False,False,False
114,False,0,0.0,BRCA,BRCA,BRCA,PRAD,False,False,False
115,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
116,False,0,0.0,BLCA,BRCA,BLCA,BLCA,True,False,False
117,False,0,0.0,GBMLGG,BRCA,GBMLGG,GBMLGG,True,False,False
118,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
119,False,0,0.0,TGCT,BRCA,TGCT,TGCT,True,False,False
120,True,1,1.0,KIPAN,KIRC,KIPAN,KIPAN,True,False,True
121,True,1,1.0,LGG,GBMLGG,LGG,LGG,True,False,True
122,False,0,0.0,THYM,BRCA,THYM,THCA,False,False,False
123,False,0,0.0,LIHC,BRCA,LIHC,KIPAN,False,False,False
124,False,0,0.0,KIPAN,BRCA,KIPAN,OV,False,False,False
125,False,0,0.0,COAD,BRCA,COAD,STES,False,False,False
126,False,0,0.0,PRAD,BRCA,PRAD,THYM,False,False,False
127,False,0,0.0,HNSC,BRCA,HNSC,LUSC,False,False,False
128,False,0,0.0,PAAD,BRCA,PAAD,HNSC,False,False,False
129,False,0,0.0,THYM,BRCA,THYM,LUSC,False,False,False
130,False,0,0.0,BRCA,BRCA,BRCA,PCPG,False,False,False
131,False,0,0.0,SARC,BRCA,SARC,KIRC,False,False,False
132,False,0,0.0,SKCM,BRCA,SKCM,SKCM,True,False,False
133,False,0,0.0,THYM,BRCA,THYM,SARC,False,False,False
134,False,0,0.0,KIPAN,BRCA,KIPAN,DLBC,False,False,False
135,False,0,0.0,BRCA,BRCA,BRCA,LUAD,False,False,False
136,False,0,0.0,SARC,BRCA,SARC,BRCA,False,False,False
137,False,0,0.0,BRCA,BRCA,BRCA,BRCA,True,False,False
138,True,1,1.0,KIRC,KIPAN,KIRC,KIRC,True,False,True
139,False,0,0.0,LUSC,BRCA,LUSC,LUSC,True,False,False
140,False,0,0.0,THYM,BRCA,THYM,THCA,False,False,False
141,False,0,0.0,STES,BRCA,STES,LUSC,False,False,False
