class,support,H0_f1,safe_3way_f1,delta
ACC,72,0.8805970149253731,0.8805970149253731,0.0
BLCA,104,0.47619047619047616,0.4880952380952381,0.011904761904761918
BRCA,786,0.5459088069956277,0.5522012578616352,0.006292450866007493
CESC,155,0.39285714285714285,0.3898916967509025,-0.0029654461062403326
COAD,223,0.7713625866050808,0.7649769585253456,-0.006385628079735195
DLBC,38,0.5263157894736842,0.5172413793103449,-0.00907441016333932
GBMLGG,461,0.571767497034401,0.5668571428571428,-0.004910354177258158
HNSC,223,0.39622641509433965,0.39618138424821003,-4.503084612961228e-05
KIPAN,515,0.6038500506585613,0.564638783269962,-0.03921126738859937
KIRC,334,0.6757493188010899,0.6091954022988506,-0.0665539165022393
LAML,158,0.5675675675675675,0.5589225589225589,-0.008645008645008612
LGG,229,0.6444007858546169,0.5913757700205339,-0.053025015834083034
LIHC,158,0.4726027397260274,0.4726027397260274,0.0
LUAD,184,0.40522875816993464,0.40384615384615385,-0.0013826043237807895
LUSC,178,0.5792079207920792,0.5707196029776674,-0.008488317814411728
OV,253,0.4486301369863014,0.44939965694682676,0.0007695199605253777
PAAD,120,0.4473684210526316,0.4434782608695652,-0.0038901601830663712
PCPG,147,0.3567567567567568,0.3551912568306011,-0.001565499926155678
PRAD,266,0.39080459770114945,0.39144736842105265,0.0006427707199032073
SARC,198,0.2222222222222222,0.21052631578947367,-0.011695906432748537
SKCM,276,0.8932038834951457,0.8949416342412452,0.0017377507460994979
STES,379,0.5632040050062578,0.5594936708860759,-0.0037103341201818463
TGCT,124,0.6885245901639344,0.6942148760330579,0.005690285869123457
THCA,324,0.6912280701754386,0.6912280701754386,0.0
THYM,98,0.30115830115830117,0.3,-0.0011583011583011782
UCEC,198,0.6504065040650406,0.6575342465753424,0.007127742510301793
