fold,variant,macro_f1,accuracy,feature_count,delta_vs_h0
1,H0,0.5363060943550256,0.547945205479452,8152,0.0
1,multinomial_LR,0.5017400178890277,0.508460918614021,8152,-0.034566076465997964
1,OVR_LR,0.5061356226585392,0.5221595487510072,8152,-0.030170471696486456
1,base_LGBM,0.44865246101303574,0.49153908138597907,8152,-0.08765363334198989
1,safe_3way,0.5274051357123934,0.5366639806607575,8152,-0.008900958642632184
2,H0,0.5553139557036014,0.5645161290322581,8195,0.0
2,multinomial_LR,0.5387334596483249,0.5379032258064517,8195,-0.01658049605527656
2,OVR_LR,0.5400524473771883,0.5475806451612903,8195,-0.015261508326413153
2,base_LGBM,0.4870619510749506,0.5064516129032258,8195,-0.06825200462865083
2,safe_3way,0.5471884257389592,0.5524193548387096,8195,-0.00812552996464222
3,H0,0.5319122347730254,0.5419354838709678,8161,0.0
3,multinomial_LR,0.5258959168285826,0.5233870967741936,8161,-0.006016317944442795
3,OVR_LR,0.5023697856351553,0.5096774193548387,8161,-0.029542449137870075
3,base_LGBM,0.48205532770836723,0.5048387096774194,8161,-0.049856907064658174
3,safe_3way,0.5241746772127828,0.5330645161290323,8161,-0.007737557560242636
4,H0,0.5457953656186075,0.5596774193548387,8241,0.0
4,multinomial_LR,0.5334685930361144,0.542741935483871,8241,-0.01232677258249315
4,OVR_LR,0.5350670765284553,0.5532258064516129,8241,-0.010728289090152221
4,base_LGBM,0.48224913274744924,0.5153225806451613,8241,-0.06354623287115829
4,safe_3way,0.5442329922062537,0.5564516129032258,8241,-0.001562373412353879
5,H0,0.5492294864782734,0.5637096774193548,8217,0.0
5,multinomial_LR,0.5306403246883047,0.535483870967742,8217,-0.018589161789968722
5,OVR_LR,0.5371130079210562,0.5459677419354839,8217,-0.012116478557217203
5,base_LGBM,0.47547748931082,0.5016129032258064,8217,-0.0737519971674534
5,safe_3way,0.5401207257736473,0.5508064516129032,8217,-0.009108760704626073
