row_index,truth,gate_uses_non_eb,h0__ACC,h0__BLCA,h0__BRCA,h0__CESC,h0__COAD,h0__DLBC,h0__GBMLGG,h0__HNSC,h0__KIPAN,h0__KIRC,h0__LAML,h0__LGG,h0__LIHC,h0__LUAD,h0__LUSC,h0__OV,h0__PAAD,h0__PCPG,h0__PRAD,h0__SARC,h0__SKCM,h0__STES,h0__TGCT,h0__THCA,h0__THYM,h0__UCEC,candidate__ACC,candidate__BLCA,candidate__BRCA,candidate__CESC,candidate__COAD,candidate__DLBC,candidate__GBMLGG,candidate__HNSC,candidate__KIPAN,candidate__KIRC,candidate__LAML,candidate__LGG,candidate__LIHC,candidate__LUAD,candidate__LUSC,candidate__OV,candidate__PAAD,candidate__PCPG,candidate__PRAD,candidate__SARC,candidate__SKCM,candidate__STES,candidate__TGCT,candidate__THCA,candidate__THYM,candidate__UCEC
0,KIPAN,False,0.010072968,0.008981611,0.06266232,0.025009463,0.0314668,0.0059367176,0.014192356,0.015631199,0.15597662,0.06773197,6.244708e-06,0.0026566794,0.15678993,0.025012497,0.13373576,0.046465736,0.04347329,1.2418221e-05,0.01610817,0.025339823,0.0068480503,0.052049357,0.07605275,0.00024258852,0.0010145222,0.016530128,0.00488503,0.004141301,0.06425879,0.030831207,0.042434245,0.008722706,0.014324556,0.009350031,0.13562392,0.05849757,6.250215e-06,0.0023047698,0.18939084,0.021242253,0.12261036,0.05124093,0.049333904,2.109352e-05,0.012713568,0.019062314,0.01012934,0.0547267,0.08096802,0.00022202414,0.0005785131,0.012379772
1,SARC,False,0.00897899,0.0043023652,0.027030068,0.0032849088,0.00948061,0.0030304512,0.49965158,0.05439689,0.009321557,0.006165107,7.417304e-05,0.11293257,0.012161646,0.008988128,0.0010460062,0.009815358,0.09112377,0.0005117303,0.00081892515,0.05851545,0.0037057947,0.043489307,0.003097104,0.00019610113,0.00034862082,0.027532699,0.015263288,0.0050743935,0.03875849,0.0050082738,0.004352479,0.008107297,0.47078067,0.056714125,0.020986892,0.010228051,0.000104146835,0.13831028,0.011858257,0.009516545,0.00095455826,0.00571711,0.0724037,0.0005906052,0.00092965446,0.038128033,0.0024638325,0.050780155,0.0061449576,0.0002551457,0.00052566547,0.02604331
2,SKCM,False,3.8278915e-05,0.0020082132,1.4831875e-05,0.00031375032,0.0011964918,3.1965785e-05,3.1281535e-05,0.0010549305,2.0691893e-06,1.948829e-07,4.4623372e-10,3.4138739e-06,8.240306e-05,0.0013574567,0.0025035667,1.04518456e-07,4.444306e-06,2.0382215e-10,3.2916173e-08,3.0959225e-05,0.98923534,0.0018120486,9.766054e-09,1.5239982e-08,6.3739584e-08,0.0002781528,4.8292484e-05,0.0009898172,9.279991e-06,0.00010098697,0.0006005889,4.702871e-06,4.1894113e-05,0.00059808244,1.2937189e-06,1.1672518e-07,4.4623372e-10,6.9787684e-06,4.254907e-05,0.0013171367,0.0020164954,6.433053e-08,3.703891e-06,2.0382215e-10,3.2126803e-08,2.2474942e-05,0.9930128,0.0010653111,7.0734423e-09,1.5239982e-08,2.1193177e-08,0.00011738692
3,KIRC,False,0.0019222132,0.0022619627,0.08619549,0.023006205,0.011388379,0.0028457267,0.17675683,0.008698731,0.047847167,0.044213817,0.03377465,0.09546152,0.020559879,0.016618121,0.006412968,0.05134986,0.025324129,0.02669854,0.14110678,0.08618508,0.011750913,0.006135597,0.009385262,0.03335327,0.018221794,0.012525155,0.0010534438,0.0037195538,0.0972311,0.026928216,0.014632339,0.0014190625,0.16390532,0.009003608,0.049382973,0.04115512,0.03469741,0.07946154,0.022072414,0.018682158,0.006148262,0.05742857,0.024405258,0.019631596,0.16621065,0.07775848,0.008143095,0.007298568,0.0050654793,0.030215813,0.014219462,0.020130575
4,GBMLGG,False,0.0022406925,0.00610856,0.017019274,0.002198811,0.07217189,0.01162138,0.06298656,0.019102804,0.011512266,0.0036050044,4.2054626e-07,0.0047627403,0.07464466,0.024310576,0.11799145,0.0963014,0.07417816,1.5326633e-06,0.001896922,0.049504627,0.009316752,0.26563594,0.009715818,2.709596e-06,0.00054704124,0.06262196,0.0002316459,0.0051021716,0.016645128,0.0014274834,0.09071175,0.010192295,0.054874692,0.019139446,0.008974495,0.0033501422,4.2205116e-07,0.0038608245,0.04649663,0.032106467,0.15686406,0.105192006,0.07160822,1.5265653e-06,0.002634376,0.035748783,0.008800964,0.26521942,0.0034932727,2.666696e-06,0.00034672336,0.05697433
5,STES,False,1.5317253e-05,0.0015565803,0.0012468356,1.3022057e-05,0.0054599713,0.0001174517,4.4636117e-06,0.005694477,0.00085579534,8.73564e-07,4.846411e-07,4.547404e-07,0.00039649042,0.002044632,0.00019517819,2.7414814e-07,2.9743585e-06,1.661757e-07,7.970041e-06,5.330946e-05,0.00066210865,0.878219,2.019429e-06,3.1712933e-08,0.00013945317,0.10331068,1.5757258e-05,0.00071442005,0.001352974,1.1950251e-05,0.006280735,7.301196e-05,4.463519e-06,0.0043299077,0.00068846345,8.5294283e-07,4.846411e-07,4.5494565e-07,0.00027343314,0.0019529308,0.00014779957,2.741649e-07,2.9743624e-06,1.661757e-07,7.970041e-06,5.341818e-05,0.000582029,0.8764596,2.019429e-06,3.1712933e-08,0.0001407963,0.10690308
6,BRCA,False,0.00022329164,0.0005421584,0.7502562,0.012828604,0.0026501487,0.0015122854,0.00974738,0.0056335167,0.005976748,0.0066681798,0.04515276,0.008015739,0.0026771391,0.0014113289,0.00039056083,0.006542209,0.00053990533,0.04585373,0.020004844,0.0122578945,0.0015029417,0.0015357551,0.0005250174,0.011976926,0.0053964662,0.040178325,6.324689e-05,0.00022450466,0.77254,0.009674531,0.002287042,0.0005503881,0.009683368,0.0056871143,0.0055432506,0.008645625,0.03920404,0.0077393837,0.002940606,0.0017743501,0.00035344847,0.006467177,0.00025122776,0.033487454,0.026440786,0.0098170275,0.0016337814,0.0013606359,0.0003361886,0.0120210815,0.0030152278,0.03825852
7,THCA,True,0.0006324338,0.00026485132,0.012394979,0.0071405643,0.00043537904,0.0042641754,0.0054578627,0.00085455814,0.0033504644,0.003888321,0.23204134,0.0036156499,0.00059326965,0.0004731975,1.2363234e-05,0.0031297943,0.00507009,0.359733,0.08558932,0.046214346,0.0010793447,0.00016566525,0.0031621698,0.068653256,0.15061632,0.0011673605,0.0006324338,0.00026485132,0.012394979,0.0071405643,0.00043537904,0.0042641754,0.0054578627,0.00085455814,0.0033504644,0.003888321,0.23204134,0.0036156499,0.00059326965,0.0004731975,1.2363234e-05,0.0031297943,0.00507009,0.359733,0.08558932,0.046214346,0.0010793447,0.00016566525,0.0031621698,0.068653256,0.15061632,0.0011673605
8,LIHC,True,0.0045863236,0.0043546474,0.09871648,0.028215965,0.007278416,0.016202014,0.022956967,0.014550303,0.054344468,0.07037664,0.0044454755,0.008113534,0.03700691,0.013242699,0.0025011536,0.0634115,0.06038808,0.023004014,0.2144992,0.12679455,0.009355843,0.016160524,0.032664236,0.025037311,0.020444797,0.021347955,0.0045863236,0.0043546474,0.09871648,0.028215965,0.007278416,0.016202014,0.022956967,0.014550303,0.054344468,0.07037664,0.0044454755,0.008113534,0.03700691,0.013242699,0.0025011536,0.0634115,0.06038808,0.023004014,0.2144992,0.12679455,0.009355843,0.016160524,0.032664236,0.025037311,0.020444797,0.021347955
9,STES,True,0.001537246,0.0068831146,0.008720012,0.030802801,0.18749073,0.0032236476,0.07664089,0.054900367,0.006238143,0.010857039,7.621463e-06,0.004426975,0.04310332,0.025295023,0.024754489,0.021321563,0.12176037,2.5640806e-05,0.0043390617,0.0514958,0.029558677,0.2548295,0.004246649,0.00047427256,0.001990412,0.025076712,0.001537246,0.0068831146,0.008720012,0.030802801,0.18749073,0.0032236476,0.07664089,0.054900367,0.006238143,0.010857039,7.621463e-06,0.004426975,0.04310332,0.025295023,0.024754489,0.021321563,0.12176037,2.5640806e-05,0.0043390617,0.0514958,0.029558677,0.2548295,0.004246649,0.00047427256,0.001990412,0.025076712
