class,support,seed42_f1,bagged_f1,delta_f1
ACC,72,0.8955223880597015,0.8888888888888888,-0.0066334991708126845
BLCA,104,0.5053763440860215,0.532608695652174,0.027232351566152446
BRCA,786,0.5526813880126183,0.560105680317041,0.007424292304422653
CESC,155,0.3925925925925926,0.4492753623188406,0.05668276972624797
COAD,223,0.7643020594965675,0.767816091954023,0.003514032457455518
DLBC,38,0.5666666666666667,0.6349206349206349,0.06825396825396823
GBMLGG,461,0.5871345029239766,0.6058479532163743,0.018713450292397682
HNSC,223,0.391304347826087,0.4057971014492754,0.014492753623188415
KIPAN,515,0.6141078838174274,0.6646026831785345,0.05049479936110712
KIRC,334,0.6847090663058186,0.7379972565157751,0.053288190209956454
LAML,158,0.5752508361204013,0.5629139072847682,-0.012336928835633088
LGG,229,0.6572008113590264,0.6827309236947792,0.025530112335752753
LIHC,158,0.4585987261146497,0.46875,0.01015127388535031
LUAD,184,0.3825503355704698,0.4119601328903654,0.029409797319895625
LUSC,178,0.5784313725490197,0.5714285714285714,-0.007002801120448265
OV,253,0.4475043029259897,0.46598639455782315,0.018482091631833453
PAAD,120,0.4247787610619469,0.45188284518828453,0.027104084126337635
PCPG,147,0.3641304347826087,0.3622448979591837,-0.0018855368234250158
PRAD,266,0.39869281045751637,0.3815580286168522,-0.017134781840664193
SARC,198,0.2210796915167095,0.24415584415584415,0.02307615263913465
SKCM,276,0.8932038834951457,0.8910505836575876,-0.002153299837558076
STES,379,0.5635910224438903,0.581453634085213,0.017862611641322745
TGCT,124,0.6904761904761905,0.6795366795366795,-0.010939510939510955
THCA,324,0.6867256637168142,0.6990990990990991,0.012373435382284859
THYM,98,0.2878787878787879,0.32061068702290074,0.03273189914411284
UCEC,198,0.6612903225806451,0.661498708010336,0.00020838542969081608
