seed,variant,class,f1,support
42,H0,ACC,0.8805970149253731,72
42,H0,BLCA,0.47619047619047616,104
42,H0,BRCA,0.5459088069956277,786
42,H0,CESC,0.39285714285714285,155
42,H0,COAD,0.7713625866050808,223
42,H0,DLBC,0.5263157894736842,38
42,H0,GBMLGG,0.571767497034401,461
42,H0,HNSC,0.39622641509433965,223
42,H0,KIPAN,0.6038500506585613,515
42,H0,KIRC,0.6757493188010899,334
42,H0,LAML,0.5675675675675675,158
42,H0,LGG,0.6444007858546169,229
42,H0,LIHC,0.4726027397260274,158
42,H0,LUAD,0.40522875816993464,184
42,H0,LUSC,0.5792079207920792,178
42,H0,OV,0.4486301369863014,253
42,H0,PAAD,0.4473684210526316,120
42,H0,PCPG,0.3567567567567568,147
42,H0,PRAD,0.39080459770114945,266
42,H0,SARC,0.2222222222222222,198
42,H0,SKCM,0.8932038834951457,276
42,H0,STES,0.5632040050062578,379
42,H0,TGCT,0.6885245901639344,124
42,H0,THCA,0.6912280701754386,324
42,H0,THYM,0.30115830115830117,98
42,H0,UCEC,0.6504065040650406,198
42,XGB_structured,ACC,0.8461538461538461,72
42,XGB_structured,BLCA,0.34838709677419355,104
42,XGB_structured,BRCA,0.5175292153589316,786
42,XGB_structured,CESC,0.38022813688212925,155
42,XGB_structured,COAD,0.7494145199063232,223
42,XGB_structured,DLBC,0.0975609756097561,38
42,XGB_structured,GBMLGG,0.5901639344262295,461
42,XGB_structured,HNSC,0.3497536945812808,223
42,XGB_structured,KIPAN,0.5811965811965812,515
42,XGB_structured,KIRC,0.646795827123696,334
42,XGB_structured,LAML,0.48936170212765956,158
42,XGB_structured,LGG,0.5748792270531401,229
42,XGB_structured,LIHC,0.39855072463768115,158
42,XGB_structured,LUAD,0.4036697247706422,184
42,XGB_structured,LUSC,0.5340314136125655,178
42,XGB_structured,OV,0.3968565815324165,253
42,XGB_structured,PAAD,0.3258426966292135,120
42,XGB_structured,PCPG,0.26373626373626374,147
42,XGB_structured,PRAD,0.3427620632279534,266
42,XGB_structured,SARC,0.22485207100591717,198
42,XGB_structured,SKCM,0.8733459357277883,276
42,XGB_structured,STES,0.5015873015873016,379
42,XGB_structured,TGCT,0.5092592592592593,124
42,XGB_structured,THCA,0.6528662420382165,324
42,XGB_structured,THYM,0.3181818181818182,98
42,XGB_structured,UCEC,0.6575342465753424,198
42,H0_080_XGB_020,ACC,0.8805970149253731,72
42,H0_080_XGB_020,BLCA,0.48484848484848486,104
42,H0_080_XGB_020,BRCA,0.5390672319806178,786
42,H0_080_XGB_020,CESC,0.4169611307420495,155
42,H0_080_XGB_020,COAD,0.7777777777777778,223
42,H0_080_XGB_020,DLBC,0.5,38
42,H0_080_XGB_020,GBMLGG,0.5944700460829493,461
42,H0_080_XGB_020,HNSC,0.3875598086124402,223
42,H0_080_XGB_020,KIPAN,0.6138613861386139,515
42,H0_080_XGB_020,KIRC,0.6835443037974683,334
42,H0_080_XGB_020,LAML,0.5491525423728814,158
42,H0_080_XGB_020,LGG,0.6530612244897959,229
42,H0_080_XGB_020,LIHC,0.4791666666666667,158
42,H0_080_XGB_020,LUAD,0.4169381107491857,184
42,H0_080_XGB_020,LUSC,0.5858585858585859,178
42,H0_080_XGB_020,OV,0.4456140350877193,253
42,H0_080_XGB_020,PAAD,0.43119266055045874,120
42,H0_080_XGB_020,PCPG,0.3418803418803419,147
42,H0_080_XGB_020,PRAD,0.38688524590163936,266
42,H0_080_XGB_020,SARC,0.20580474934036938,198
42,H0_080_XGB_020,SKCM,0.8841698841698842,276
42,H0_080_XGB_020,STES,0.5536585365853659,379
42,H0_080_XGB_020,TGCT,0.6694214876033058,124
42,H0_080_XGB_020,THCA,0.6817391304347826,324
42,H0_080_XGB_020,THYM,0.3170731707317073,98
42,H0_080_XGB_020,UCEC,0.6666666666666666,198
