class,support,h0_f1,candidate_f1,delta_f1
ACC,72,0.9022556390977443,0.8955223880597015,-0.006733251038042787
BLCA,104,0.4756756756756757,0.4787234042553192,0.0030477285796434717
BRCA,786,0.5342639593908629,0.5345501955671447,0.00028623617628176223
CESC,155,0.38267148014440433,0.38571428571428573,0.0030428055698814016
COAD,223,0.7664399092970522,0.7647058823529411,-0.0017340269441110667
DLBC,38,0.65625,0.6461538461538462,-0.01009615384615381
GBMLGG,461,0.599294947121034,0.589622641509434,-0.00967230561160004
HNSC,223,0.3932853717026379,0.38848920863309355,-0.004796163069544335
KIPAN,515,0.6217616580310881,0.6171548117154811,-0.004606846315606927
KIRC,334,0.6875852660300137,0.6821917808219178,-0.005393485208095905
LAML,158,0.5472312703583062,0.5424836601307189,-0.0047476102275872956
LGG,229,0.6626506024096386,0.6586826347305389,-0.003967967679099682
LIHC,158,0.45751633986928103,0.4472843450479233,-0.010231994821357726
LUAD,184,0.35526315789473684,0.36065573770491804,0.005392579810181208
LUSC,178,0.5679611650485437,0.5679611650485437,0.0
OV,253,0.46366782006920415,0.47079037800687284,0.007122557937668694
PAAD,120,0.42105263157894735,0.41379310344827586,-0.007259528130671489
PCPG,147,0.32132963988919666,0.33152173913043476,0.010192099241238095
PRAD,266,0.37666666666666665,0.3639398998330551,-0.012726766833611569
SARC,198,0.22613065326633167,0.23,0.003869346733668344
SKCM,276,0.8932038834951457,0.8932038834951457,0.0
STES,379,0.5914786967418546,0.5895522388059702,-0.001926457935884418
TGCT,124,0.6666666666666666,0.6795366795366795,0.012870012870012881
THCA,324,0.6989247311827957,0.6976744186046512,-0.0012503125781445634
THYM,98,0.31297709923664124,0.32061068702290074,0.007633587786259499
UCEC,198,0.6370757180156658,0.6342710997442456,-0.0028046182714202006
