seed,fold,variant,macro_f1,accuracy,feature_count,alpha
42,1,H0_selective_EB,0.5219837806752279,0.5374697824335214,8178,0.0
42,1,H3_candidate_ranker,0.5229834573095571,0.5390813859790492,19,0.1
42,2,H0_selective_EB,0.5512082787659258,0.557258064516129,8221,0.0
42,2,H3_candidate_ranker,0.5493051514928943,0.5548387096774193,19,0.1
42,3,H0_selective_EB,0.5495351788416102,0.5491935483870968,8187,0.0
42,3,H3_candidate_ranker,0.5496640260989396,0.5467741935483871,19,0.2
42,4,H0_selective_EB,0.5544091639672,0.5758064516129032,8267,0.0
42,4,H3_candidate_ranker,0.5541247391278316,0.5758064516129032,19,0.2
42,5,H0_selective_EB,0.5563353324338317,0.5645161290322581,8243,0.0
42,5,H3_candidate_ranker,0.550714246860617,0.5580645161290323,19,0.2
