true_class,h0__ACC,h0__BLCA,h0__BRCA,h0__CESC,h0__COAD,h0__DLBC,h0__GBMLGG,h0__HNSC,h0__KIPAN,h0__KIRC,h0__LAML,h0__LGG,h0__LIHC,h0__LUAD,h0__LUSC,h0__OV,h0__PAAD,h0__PCPG,h0__PRAD,h0__SARC,h0__SKCM,h0__STES,h0__TGCT,h0__THCA,h0__THYM,h0__UCEC,h3__ACC,h3__BLCA,h3__BRCA,h3__CESC,h3__COAD,h3__DLBC,h3__GBMLGG,h3__HNSC,h3__KIPAN,h3__KIRC,h3__LAML,h3__LGG,h3__LIHC,h3__LUAD,h3__LUSC,h3__OV,h3__PAAD,h3__PCPG,h3__PRAD,h3__SARC,h3__SKCM,h3__STES,h3__TGCT,h3__THCA,h3__THYM,h3__UCEC
KIPAN,0.012448239,0.015325383,0.06251098,0.02235163,0.030487506,0.01288539,0.0354238,0.023958923,0.13031179,0.0745932,5.571225e-06,0.0068739126,0.11954564,0.035723124,0.079982474,0.060321696,0.06983969,2.4312685e-05,0.015808776,0.027194979,0.010245156,0.059163097,0.07823752,0.0001977394,0.0016248978,0.0149145415,0.009507758,0.012212703,0.055992544,0.018038834,0.02648935,0.010555888,0.029270694,0.01917003,0.14528869,0.07430773,1.3194016e-06,0.004272721,0.14308861,0.03205176,0.08901914,0.05717131,0.076948054,7.1008785e-06,0.011619108,0.022583034,0.008420591,0.054526757,0.086984776,7.3093295e-05,0.0009114053,0.011486995
SARC,0.021396596,0.013610777,0.039653186,0.002045677,0.0078417845,0.01023169,0.39789596,0.03204965,0.017837202,0.01028379,0.0001735158,0.05379159,0.017763922,0.018074892,0.0011575471,0.007895452,0.065694556,0.0016045837,0.0012640696,0.15817395,0.0031418165,0.06353215,0.0062305788,0.00031371336,0.00435844,0.04398289,0.014574102,0.009419132,0.025164964,0.0009008707,0.0038285605,0.0062530497,0.5241906,0.023262225,0.011135867,0.006174534,4.9434286e-05,0.0441632,0.010624607,0.012973695,0.00043718008,0.004271738,0.055449914,0.00061514135,0.00044883706,0.1480669,0.0015292863,0.054895714,0.003210637,9.212043e-05,0.0019922154,0.036275476
SKCM,2.3587016e-05,0.0011939395,7.5366524e-06,0.00017997675,0.0008759111,1.3494325e-05,3.8868457e-05,0.0011561392,3.2206528e-06,1.0483095e-07,6.6368064e-11,3.0325357e-06,5.7910776e-05,0.0010951288,0.005285661,1.7315521e-07,1.3431614e-07,3.8793344e-12,7.867149e-09,6.761981e-06,0.9866225,0.0033166418,1.7678953e-08,1.273662e-10,5.3897598e-11,0.00011936152,9.724227e-06,0.00063084706,2.473487e-06,8.0432306e-05,0.0004147927,5.319461e-06,1.5239046e-05,0.0005712371,1.0469913e-06,2.7184871e-08,1.1102989e-11,1.0345871e-06,2.3659442e-05,0.00054431125,0.002910932,4.681286e-08,3.6734253e-08,5.525377e-13,1.7094245e-09,2.3323014e-06,0.99300957,0.0017251685,4.3873727e-09,2.1980822e-11,9.059344e-12,5.1745166e-05
KIRC,0.0013042375,0.0012977596,0.03573477,0.017869074,0.0056032357,0.008608638,0.080462754,0.0077177356,0.07868394,0.355769,0.022692218,0.027132656,0.01473776,0.0125260865,0.003685778,0.03224071,0.016669957,0.018758984,0.14266573,0.05108573,0.007172054,0.0062203147,0.0100987125,0.023735246,0.009014351,0.0085126,0.00088353705,0.0008944373,0.030546809,0.015346527,0.0041856184,0.006935149,0.08058301,0.0058140187,0.08172144,0.40335274,0.019327914,0.023641134,0.011867643,0.01030151,0.002649023,0.028282693,0.013761101,0.015708994,0.14506271,0.047652602,0.0054832236,0.004523018,0.00789309,0.019965922,0.0069898036,0.006626331
GBMLGG,0.0017188941,0.009252377,0.017298939,0.0012598693,0.041875508,0.012291424,0.065432854,0.0338936,0.0075747687,0.002438602,2.3881605e-06,0.007887595,0.045936152,0.019308979,0.10942332,0.11950806,0.25439852,9.744699e-07,0.000935928,0.032061975,0.009078856,0.12578936,0.008974735,3.3701242e-06,0.0015333652,0.07211967,0.0012129006,0.0074514644,0.013540211,0.0008598458,0.03816083,0.010365719,0.06042372,0.030453172,0.005492969,0.0016423484,1.0957423e-06,0.00596729,0.04264137,0.016436316,0.10981476,0.12154555,0.29224885,4.4320538e-07,0.0005828904,0.027339678,0.0073546264,0.12763235,0.0070855757,1.5356461e-06,0.0010267841,0.07071769
STES,4.267882e-05,0.00071564596,0.0008178577,0.00011393953,0.0056684064,0.00024267257,0.00014762468,0.00051289133,0.0015508237,5.964938e-05,4.0828024e-07,7.795155e-06,0.00017099899,0.00041954924,0.00075454626,6.6291086e-08,5.2522714e-06,5.4731925e-07,2.205793e-06,2.3239054e-05,0.0014388759,0.8953145,1.723655e-06,1.9175302e-06,7.3701995e-05,0.09191248,9.178514e-06,0.00021710286,0.00023455174,2.2882063e-05,0.0019778134,7.465679e-05,3.3454056e-05,0.00012685635,0.00051697396,1.1755438e-05,4.0797797e-08,1.1546712e-06,3.7490907e-05,0.00010297258,0.0001976698,4.6678785e-09,7.8650277e-07,5.818439e-08,2.694599e-07,4.0928317e-06,0.00048279922,0.93550134,2.0654335e-07,2.232315e-07,1.6921398e-05,0.06042872
BRCA,8.19774e-05,0.00054951187,0.7806954,0.010038329,0.0019918655,0.0007303103,0.006431481,0.001440288,0.0031150766,0.005844778,0.07390595,0.006525703,0.002987774,0.0013931023,0.00016425052,0.004861992,0.00053434924,0.024455372,0.018421525,0.0073990496,0.0008068002,0.0016565673,0.0003684025,0.010047787,0.0049716257,0.030580686,1.3786073e-05,0.00011909292,0.9041606,0.003688698,0.0005433703,0.00017880542,0.001947924,0.00035049472,0.0008260975,0.0017784755,0.040829293,0.002105282,0.0008319169,0.0003413256,2.8696779e-05,0.0014913204,0.00011171681,0.0105298385,0.007186571,0.002559021,0.00019055889,0.00039231323,7.485746e-05,0.0035039133,0.0016236086,0.014592372
THCA,0.0008089704,0.00026702663,0.122351855,0.008214456,0.0003278196,0.0013357607,0.012941901,0.0006589742,0.0045496956,0.0026080457,0.1876621,0.003899691,0.0006934528,0.00036629252,3.8636234e-05,0.003877879,0.004560985,0.18251652,0.11055245,0.060043298,0.0008368529,0.00010076814,0.0016076353,0.07882011,0.20935349,0.001005246,0.0003534445,9.422368e-05,0.10731898,0.0051879375,0.000115312294,0.00066225097,0.008194736,0.00029687156,0.0024317293,0.0012867074,0.2038864,0.0024442335,0.00033354794,0.00015860752,1.242063e-05,0.0020615214,0.003080508,0.19467708,0.10058309,0.056396056,0.00043337556,3.6832436e-05,0.00078357774,0.066089265,0.2425741,0.00050718174
LIHC,0.005191922,0.004732319,0.10302548,0.024104644,0.008775054,0.01784532,0.02038958,0.0083684325,0.07557456,0.0509247,0.003672975,0.0044397865,0.046734698,0.01791869,0.0063105053,0.08980977,0.035826482,0.03514127,0.13718265,0.17853734,0.0085426895,0.01664408,0.036391933,0.031057015,0.015546658,0.017311446,0.0035400756,0.0027629735,0.10106426,0.020225018,0.0060198996,0.01531335,0.014965118,0.004802997,0.07369754,0.046481572,0.001944066,0.0023295542,0.044698436,0.013206564,0.003937717,0.08916599,0.029298697,0.030730674,0.16005604,0.22876698,0.0058522513,0.014113562,0.034016814,0.025611231,0.011212848,0.016185777
STES,0.0006100936,0.0006711441,0.012389668,0.029453197,0.22037576,0.002794082,0.05466133,0.05441038,0.0033700808,0.0028872103,5.671701e-06,0.0057008215,0.03597729,0.05622903,0.03660145,0.009023931,0.07220627,1.420321e-05,0.0027063056,0.023859894,0.023055077,0.31957796,0.0026686618,0.00083589676,0.00079759967,0.029116977,0.00024290751,0.00029833178,0.006702799,0.021274243,0.24468753,0.001459793,0.040600225,0.045128297,0.0014921172,0.0012861466,1.209584e-06,0.0028992926,0.026244711,0.050068002,0.029441489,0.0051562064,0.063307256,3.5084447e-06,0.0012215541,0.015724236,0.017572908,0.40181404,0.0011993973,0.00031140613,0.00030781698,0.02155459
STES,0.018117633,0.011358192,0.04240013,0.03023138,0.0024379676,0.00604731,0.009207517,0.00800169,0.027228206,0.048067387,0.021316648,0.010269771,0.06612028,0.008393045,0.0022247988,0.012791768,0.0053434307,0.10391095,0.14990158,0.011187915,0.009258817,0.005770379,0.04061872,0.05871394,0.049145333,0.24193521,0.013670042,0.00804772,0.032293577,0.024797965,0.0010702049,0.0034092562,0.004845553,0.004666588,0.018109538,0.03826333,0.014978055,0.0059606577,0.07210041,0.005162573,0.0010279573,0.0077474816,0.0026182958,0.104795404,0.15329576,0.0072817756,0.005390805,0.002990413,0.0354979,0.050745316,0.042571887,0.33866155
HNSC,0.003768174,0.0069921967,0.02524868,0.15984216,0.042287238,0.006366816,0.006096076,0.08732285,0.029519666,0.020296315,2.3968996e-06,0.000694691,0.045789324,0.10003389,0.16946246,0.018424759,0.014321063,2.4292428e-06,0.0046523702,0.06714577,0.03070331,0.13753957,0.0063378974,9.4386945e-05,0.0005407882,0.01651479,0.0020478796,0.004375827,0.015999814,0.185155,0.03426957,0.0041878833,0.0030278198,0.08183637,0.020806622,0.014133873,5.065312e-07,0.0002740329,0.03803367,0.11166873,0.20122002,0.012989144,0.00962119,5.232783e-07,0.0022964722,0.06369582,0.027091073,0.1513455,0.003849146,2.8838616e-05,0.00022105523,0.0118236
KIRC,0.0033155354,0.024544358,0.13357246,0.05762319,0.0075079454,0.004689425,0.020054027,0.019911975,0.3099982,0.12503225,0.0015687923,0.00470429,0.05902897,0.06584311,0.001212318,0.030278774,0.009401142,0.0039086184,0.018726585,0.018098442,0.0116403205,0.021005426,0.023615664,0.0012494519,0.01880545,0.004663301,0.0017885847,0.020205522,0.14049396,0.053481624,0.0044919173,0.0028186473,0.014054894,0.014110382,0.38819993,0.123414114,0.000707495,0.0025028249,0.055156033,0.062576145,0.00051529653,0.023641685,0.006042709,0.002039792,0.01263453,0.012274663,0.0075999815,0.015755681,0.01855836,0.00051659107,0.013804043,0.0026146113
